LSQ14auy 0.0824 217.0471 -4.0549
filter B
 56757.258 19.006 0.016
 56758.257 18.933 0.019
 56758.322 18.990 0.017
 56759.261 18.955 0.028
 56759.264 18.950 0.029
 56760.221 18.870 0.033
 56760.224 18.896 0.032
 56761.234 19.010 0.047
 56761.237 18.942 0.043
 56762.329 18.964 0.015
 56762.333 18.957 0.016
 56765.286 19.036 0.031
 56767.268 19.082 0.019
 56769.305 19.201 0.018
 56771.240 19.303 0.019
 56773.282 19.503 0.020
 56775.298 19.634 0.024
 56782.342 20.485 0.051
 56784.311 20.686 0.045
 56786.273 20.894 0.043
filter i
 56757.271 19.230 0.023
 56758.245 19.201 0.031
 56758.337 19.232 0.036
 56759.277 19.234 0.031
 56759.280 19.248 0.032
 56760.211 19.188 0.033
 56760.213 19.241 0.034
 56761.225 19.189 0.042
 56761.226 19.208 0.044
 56762.311 19.218 0.022
 56762.318 19.254 0.025
 56765.268 19.270 0.034
 56767.282 19.313 0.028
 56769.289 19.337 0.026
 56771.251 19.538 0.031
 56773.294 19.599 0.035
 56775.308 19.761 0.035
 56782.311 19.810 0.046
 56784.303 19.830 0.043
 56786.264 19.825 0.047
 56793.193 19.835 0.054
 56793.196 19.767 0.050
 56795.207 19.922 0.049
 56804.125 20.273 0.038
filter r
 56757.266 18.954 0.014
 56758.332 18.934 0.014
 56759.272 18.862 0.022
 56759.274 18.871 0.023
 56760.205 18.797 0.025
 56760.208 18.777 0.026
 56761.221 18.829 0.029
 56761.223 18.796 0.032
 56762.308 18.779 0.016
 56762.314 18.769 0.017
 56765.272 18.748 0.022
 56767.278 18.805 0.021
 56769.285 18.898 0.016
 56771.248 18.946 0.021
 56773.291 19.063 0.020
 56775.311 19.221 0.018
 56782.319 19.503 0.030
 56784.299 19.596 0.028
 56793.199 19.854 0.048
 56795.210 20.013 0.040
 56804.118 20.541 0.029
filter V
 56757.262 18.927 0.018
 56758.261 18.874 0.021
 56758.327 18.916 0.018
 56759.266 18.866 0.023
 56759.269 18.823 0.025
 56760.216 18.747 0.030
 56760.219 18.802 0.025
 56761.229 18.814 0.033
 56761.232 18.831 0.031
 56762.322 18.831 0.020
 56762.325 18.822 0.019
 56765.277 18.801 0.028
 56767.273 18.882 0.021
 56769.293 18.927 0.019
 56771.244 19.004 0.017
 56773.287 19.093 0.021
 56775.303 19.245 0.020
 56782.323 19.804 0.035
 56782.332 19.592 0.039
 56784.306 19.853 0.029
 56786.268 19.973 0.035
 56793.209 20.325 0.119
 56793.212 20.354 0.118
 56793.215 20.355 0.111
 56795.215 20.571 0.068
 56797.237 20.448 0.098
 56797.244 20.683 0.086
 56808.239 21.049 0.073
filter Y
 56757.240 19.066 0.020
 56758.202 19.201 0.028
 56759.272 19.111 0.026
 56760.273 19.135 0.025
 56761.287 19.461 0.035
filter Jd
 56757.275 19.036 0.022
 56759.304 19.030 0.034
 56760.294 19.124 0.029
