SN2013gy 0.0140 55.5703 -4.7218
filter B
 56633.229 18.249 0.019
 56636.253 16.745 0.010
 56637.108 16.411 0.009
 56639.118 15.815 0.009
 56640.182 15.606 0.009
 56643.158 15.136 0.010
 56644.150 15.052 0.011
 56645.138 14.986 0.010
 56646.112 14.918 0.013
 56647.159 14.910 0.011
 56648.131 14.884 0.011
 56649.109 14.872 0.008
 56650.158 14.909 0.012
 56651.109 14.920 0.010
 56652.096 14.982 0.011
 56653.134 15.039 0.010
 56654.180 15.102 0.008
 56655.182 15.199 0.010
 56656.197 15.268 0.022
 56657.202 15.386 0.012
 56658.144 15.481 0.010
 56659.145 15.574 0.009
 56660.104 15.692 0.009
 56661.149 15.819 0.008
 56662.119 15.941 0.009
 56663.112 16.077 0.012
 56664.105 16.198 0.014
 56665.078 16.298 0.013
 56666.057 16.436 0.016
 56667.061 16.539 0.016
 56669.054 16.761 0.019
 56670.146 16.888 0.022
 56671.061 16.943 0.019
 56672.118 17.075 0.016
 56673.107 17.116 0.019
 56675.042 17.293 0.015
 56676.108 17.342 0.014
 56677.037 17.447 0.016
 56678.100 17.506 0.014
 56679.061 17.533 0.011
 56680.137 17.620 0.011
 56681.061 17.624 0.014
 56684.100 17.783 0.012
 56685.068 17.806 0.012
 56686.047 17.861 0.012
 56687.079 17.900 0.012
 56690.081 17.973 0.015
 56692.090 18.022 0.015
 56694.061 18.022 0.015
 56696.085 18.128 0.019
 56703.086 18.278 0.046
 56708.066 18.308 0.016
 56710.083 18.341 0.015
 56713.067 18.402 0.019
 56724.029 18.542 0.026
 56731.031 18.624 0.041
 56731.035 18.600 0.056
 56741.985 18.791 0.058
 57006.190 22.284 0.088
filter g
 56633.221 18.062 0.011
 56636.256 16.622 0.009
 56637.111 16.330 0.006
 56639.111 15.769 0.008
 56640.167 15.555 0.007
 56643.150 15.104 0.008
 56644.142 15.011 0.007
 56645.131 14.938 0.007
 56646.115 14.890 0.009
 56647.161 14.857 0.007
 56648.125 14.819 0.007
 56649.112 14.826 0.006
 56650.151 14.830 0.007
 56651.102 14.850 0.008
 56652.100 14.895 0.009
 56653.127 14.925 0.005
 56654.177 14.982 0.006
 56655.189 15.040 0.009
 56656.204 15.159 0.009
 56657.208 15.202 0.010
 56658.138 15.266 0.008
 56659.151 15.357 0.006
 56660.111 15.448 0.008
 56661.155 15.534 0.007
 56662.121 15.663 0.007
 56663.114 15.741 0.007
 56664.101 15.870 0.010
 56665.081 15.955 0.008
 56666.058 16.071 0.011
 56667.065 16.154 0.010
 56669.056 16.359 0.013
 56670.142 16.491 0.013
 56671.064 16.562 0.011
 56672.123 16.662 0.009
 56673.091 16.739 0.009
 56675.047 16.893 0.008
 56676.112 16.970 0.007
 56677.042 17.033 0.009
 56678.106 17.089 0.009
 56679.047 17.166 0.006
 56680.121 17.233 0.008
 56681.050 17.293 0.008
