PTF14yy 0.0430 186.5382 9.9789
filter B
 56726.184 19.053 0.020
 56727.203 18.884 0.019
 56728.260 18.780 0.019
 56729.243 18.673 0.022
 56730.249 18.581 0.033
 56735.206 18.574 0.034
 56735.213 18.566 0.036
 56735.215 18.668 0.040
 56736.277 18.733 0.027
 56736.281 18.714 0.032
 56741.192 19.127 0.021
 56742.149 19.216 0.020
 56743.170 19.272 0.113
 56745.177 19.608 0.022
 56749.201 20.166 0.031
 56765.175 21.360 0.148
 56765.181 21.477 0.195
 56772.124 21.732 0.076
 56783.084 21.950 0.135
filter i
 56726.197 18.755 0.022
 56727.194 18.610 0.018
 56728.252 18.503 0.014
 56729.255 18.441 0.020
 56730.263 18.390 0.024
 56731.232 18.392 0.040
 56735.223 18.502 0.028
 56735.226 18.484 0.025
 56736.269 18.496 0.025
 56741.185 18.949 0.021
 56742.141 19.043 0.024
 56743.161 19.073 0.045
 56745.167 19.222 0.020
 56749.218 19.119 0.020
 56751.185 19.075 0.019
 56752.198 19.057 0.022
 56754.180 18.963 0.018
 56755.170 18.953 0.022
 56756.123 18.927 0.022
 56757.147 18.952 0.021
 56758.149 18.979 0.027
 56765.155 19.586 0.033
 56772.145 19.960 0.031
 56783.064 20.446 0.049
filter Hd
 56726.210 17.971 0.040
filter r
 56726.193 18.637 0.017
 56727.190 18.503 0.016
 56728.248 18.370 0.014
 56729.251 18.277 0.013
 56730.259 18.215 0.017
 56731.229 18.135 0.026
 56735.221 18.096 0.020
 56736.265 18.121 0.017
 56741.182 18.404 0.013
 56742.138 18.485 0.014
 56743.157 18.506 0.016
 56745.163 18.646 0.015
 56749.212 18.785 0.016
 56751.175 18.855 0.015
 56752.202 18.857 0.015
 56754.184 18.916 0.014
 56755.175 18.908 0.020
 56756.119 18.997 0.021
 56757.152 19.073 0.018
 56758.145 19.108 0.027
 56765.160 19.674 0.029
 56772.138 19.902 0.025
 56783.059 20.381 0.038
filter V
 56726.188 18.881 0.023
 56727.199 18.703 0.022
 56728.256 18.572 0.021
 56729.247 18.515 0.021
 56730.255 18.417 0.027
 56731.238 18.349 0.045
 56731.241 18.325 0.035
 56735.218 18.331 0.028
 56736.273 18.414 0.030
 56741.189 18.578 0.021
 56742.145 18.646 0.021
 56743.165 18.681 0.056
 56745.172 18.864 0.021
 56749.207 19.179 0.021
 56765.166 20.395 0.077
 56765.170 20.364 0.067
 56772.131 20.579 0.034
 56783.071 20.956 0.063
 56783.075 20.924 0.067
filter Y
 56726.189 18.286 0.014
 56729.218 18.087 0.017
 56732.185 18.227 0.020
filter Jd
 56726.229 18.151 0.014
 56729.243 17.921 0.017
 56732.208 18.148 0.019
