SN2012fr 0.0055 53.4004 -36.1261
filter B
 56230.197 14.071 0.024
 56230.199 14.066 0.027
 56231.197 13.524 0.025
 56232.188 13.126 0.025
 56233.108 12.846 0.026
 56234.174 12.621 0.026
 56235.118 12.455 0.027
 56235.122 12.476 0.027
 56235.123 12.462 0.027
 56235.124 12.479 0.028
 56235.125 12.479 0.028
 56235.126 12.478 0.027
 56235.127 12.465 0.026
 56236.184 12.363 0.028
 56236.185 12.333 0.028
 56238.217 12.151 0.029
 56238.218 12.113 0.030
 56239.189 12.076 0.026
 56239.191 12.109 0.027
 56241.159 12.021 0.025
 56242.149 12.051 0.027
 56243.133 12.018 0.030
 56244.148 12.060 0.028
 56245.115 12.057 0.030
 56246.140 12.102 0.028
 56247.154 12.140 0.029
 56248.116 12.168 0.029
 56249.161 12.237 0.029
 56250.172 12.294 0.030
 56251.136 12.342 0.033
 56252.022 12.399 0.025
 56252.325 12.416 0.025
 56253.019 12.469 0.025
 56253.200 12.480 0.025
 56254.142 12.544 0.026
 56255.156 12.646 0.026
 56256.101 12.745 0.030
 56257.094 12.835 0.028
 56258.128 12.891 0.028
 56259.088 13.000 0.030
 56261.110 13.174 0.027
 56262.151 13.268 0.027
 56263.151 13.392 0.028
 56264.184 13.464 0.027
 56265.125 13.543 0.027
 56266.149 13.642 0.028
 56267.158 13.727 0.037
 56267.160 13.717 0.038
 56267.162 13.719 0.040
 56267.163 13.762 0.038
 56268.242 13.817 0.027
 56269.286 13.900 0.029
 56270.242 13.982 0.027
 56271.246 14.080 0.030
 56272.243 14.105 0.029
 56273.208 14.165 0.028
 56274.188 14.258 0.028
 56275.220 14.340 0.030
 56276.254 14.401 0.030
 56278.110 14.486 0.028
 56279.236 14.545 0.036
 56280.230 14.608 0.026
 56281.177 14.646 0.025
 56282.269 14.730 0.026
 56283.184 14.747 0.026
 56284.213 14.784 0.025
 56285.149 14.828 0.027
 56286.155 14.859 0.027
 56288.236 14.908 0.026
 56289.093 14.906 0.038
 56292.141 14.963 0.027
 56293.186 14.969 0.026
 56294.175 14.999 0.026
 56295.151 15.006 0.026
 56296.108 15.016 0.025
 56297.163 15.039 0.025
 56299.192 15.066 0.024
 56305.109 15.157 0.025
 56308.044 15.205 0.027
 56311.106 15.250 0.028
 56314.089 15.303 0.027
 56315.131 15.335 0.028
 56316.055 15.329 0.028
 56317.088 15.343 0.027
 56320.077 15.408 0.028
 56321.063 15.426 0.028
 56322.100 15.450 0.028
 56323.127 15.439 0.027
 56324.063 15.474 0.027
