LSQ14ba 0.0775 165.3459 -15.6195
filter B
 56666.281 19.380 0.025
 56667.240 19.235 0.022
 56668.259 19.163 0.018
 56669.299 19.095 0.016
 56670.311 19.037 0.016
 56671.279 18.996 0.028
 56672.246 18.995 0.032
 56673.336 19.007 0.039
 56675.271 18.955 0.042
 56677.294 19.136 0.033
 56680.269 19.440 0.040
 56681.279 19.446 0.019
 56684.270 19.784 0.021
 56687.274 20.086 0.024
 56691.147 20.520 0.032
 56691.371 20.501 0.033
 56693.253 20.786 0.039
 56695.250 21.004 0.045
 56697.211 21.109 0.057
 56698.234 21.105 0.081
filter i
 56666.288 19.325 0.025
 56667.251 19.232 0.031
 56668.252 19.223 0.025
 56669.290 19.181 0.025
 56670.303 19.196 0.018
 56671.272 19.270 0.030
 56672.263 19.232 0.029
 56673.324 19.257 0.032
 56675.260 19.283 0.048
 56677.285 19.301 0.032
 56680.274 19.407 0.048
 56681.292 19.480 0.025
 56684.284 19.740 0.027
 56687.264 19.898 0.027
 56691.136 19.909 0.037
 56691.381 19.956 0.029
 56693.240 19.873 0.025
 56695.235 19.793 0.028
 56697.229 19.829 0.030
 56698.221 19.781 0.030
 56699.175 19.764 0.028
 56701.158 19.869 0.043
 56703.226 19.660 0.060
 56707.190 20.035 0.028
 56708.305 20.107 0.043
 56710.254 20.235 0.039
 56711.255 20.364 0.034
 56712.263 20.347 0.041
 56713.251 20.469 0.044
filter Hd
 56679.308 19.820 0.055
filter r
 56666.285 19.241 0.017
 56667.248 19.145 0.016
 56668.248 19.074 0.020
 56669.287 18.999 0.014
 56670.299 18.955 0.016
 56671.269 18.900 0.023
 56672.258 18.885 0.019
 56673.319 18.859 0.021
 56675.256 18.896 0.036
 56677.281 18.870 0.024
 56680.272 18.970 0.036
 56681.288 19.002 0.015
 56684.279 19.144 0.013
 56687.259 19.302 0.014
 56691.132 19.506 0.018
 56691.387 19.536 0.019
 56693.235 19.555 0.020
 56695.229 19.654 0.022
 56697.225 19.749 0.021
 56698.216 19.757 0.027
 56699.171 19.763 0.027
 56701.153 19.898 0.038
 56703.240 19.996 0.096
 56707.185 20.279 0.036
 56708.299 20.320 0.050
 56709.227 20.459 0.032
 56710.249 20.492 0.039
 56711.249 20.497 0.029
 56712.258 20.490 0.025
 56713.246 20.669 0.034
filter V
 56666.278 19.267 0.022
 56667.244 19.124 0.019
 56668.256 19.082 0.020
 56669.295 19.003 0.015
 56670.307 18.908 0.017
 56671.276 18.907 0.024
 56672.251 18.836 0.023
 56673.331 18.784 0.031
 56675.266 18.852 0.037
 56677.290 18.909 0.027
 56680.266 18.937 0.029
 56681.284 19.036 0.019
 56684.274 19.197 0.015
 56687.270 19.359 0.018
 56691.142 19.659 0.021
 56693.247 19.823 0.020
 56695.285 19.921 0.022
 56697.217 20.110 0.032
 56698.226 20.221 0.038
filter Y
 56668.306 19.004 0.019
 56671.201 19.030 0.023
 56674.250 19.254 0.024
 56677.258 19.387 0.027
 56679.294 19.463 0.029
filter Jd
 56668.333 19.080 0.026
 56671.236 19.244 0.039
 56674.290 19.534 0.054
 56677.293 19.689 0.047
 56679.344 19.843 0.035
