ASAS14hu 0.0216 100.8622 -69.6374
filter B
 56928.314 15.963 0.008
 56929.322 15.868 0.006
 56930.339 15.775 0.006
 56931.361 15.714 0.006
 56932.357 15.660 0.008
 56936.338 15.632 0.007
 56937.312 15.657 0.009
 56938.381 15.691 0.008
 56939.356 15.742 0.010
 56942.347 15.877 0.012
 56943.315 15.968 0.010
 56944.347 16.021 0.010
 56948.343 16.357 0.009
 56949.348 16.463 0.009
 56950.304 16.561 0.009
 56954.328 16.965 0.012
 56955.334 17.077 0.011
 56956.338 17.162 0.013
 56958.294 17.340 0.009
 56961.285 17.619 0.011
 56963.280 17.777 0.018
 56964.340 17.845 0.015
 56965.305 17.886 0.023
 56971.343 18.267 0.030
 56972.285 18.381 0.021
 56976.303 18.507 0.018
 56977.303 18.564 0.019
 56978.353 18.587 0.018
 56984.284 18.683 0.012
 56995.224 18.801 0.026
 57001.226 18.957 0.026
 57004.247 18.967 0.020
 57005.263 19.002 0.017
 57013.229 19.115 0.016
 57023.276 19.250 0.024
 57030.215 19.333 0.030
 57036.145 19.506 0.019
 57064.140 19.955 0.029
 57076.149 20.174 0.027
filter g
 56928.316 15.933 0.008
 56929.325 15.817 0.006
 56930.332 15.727 0.005
 56931.353 15.666 0.005
 56932.348 15.617 0.008
 56936.346 15.578 0.007
 56937.307 15.588 0.009
 56938.374 15.617 0.008
 56939.350 15.658 0.009
 56942.340 15.775 0.011
 56943.317 15.827 0.009
 56944.339 16.013 0.025
 56948.338 16.165 0.007
 56949.341 16.251 0.006
 56950.300 16.333 0.008
 56954.320 16.643 0.010
 56955.326 16.735 0.010
 56956.330 16.811 0.013
 56958.297 16.997 0.009
 56961.277 17.231 0.009
 56963.275 17.388 0.011
 56964.333 17.458 0.012
 56965.298 17.516 0.016
 56971.272 17.957 0.048
 56972.274 18.021 0.020
 56976.295 18.199 0.018
 56977.294 18.231 0.019
 56978.344 18.257 0.018
 56984.267 18.417 0.011
 56995.207 18.566 0.021
 57004.254 18.712 0.017
 57005.248 18.738 0.016
 57013.207 18.859 0.013
 57023.259 18.950 0.034
 57030.227 19.092 0.031
 57036.152 19.209 0.016
 57064.147 19.401 0.020
 57076.131 19.790 0.019
filter i
 56928.318 16.449 0.014
 56929.327 16.372 0.010
 56930.334 16.331 0.009
 56931.356 16.309 0.009
 56932.352 16.299 0.011
 56936.343 16.384 0.012
 56937.305 16.423 0.017
 56938.376 16.407 0.014
 56939.351 16.445 0.013
 56942.342 16.587 0.021
 56943.319 16.669 0.015
 56944.341 16.699 0.040
 56948.337 17.104 0.015
 56949.340 17.165 0.013
 56950.298 17.227 0.014
 56954.322 17.171 0.017
 56955.328 17.156 0.017
 56956.332 17.157 0.019
 56958.299 17.089 0.012
 56961.275 17.003 0.011
 56963.274 16.941 0.016
 56964.332 16.919 0.014
 56965.297 16.932 0.021
 56971.274 17.063 0.021
 56972.276 17.207 0.013
 56976.293 17.442 0.018
 56977.293 17.538 0.019
 56978.343 17.554 0.017
 56984.270 17.859 0.016
 56995.211 18.326 0.023
 57001.236 18.509 0.041
 57004.259 18.648 0.021
 57005.246 18.676 0.026
 57013.213 18.973 0.025
 57023.262 19.207 0.048
 57030.230 19.469 0.048
 57036.158 19.724 0.046
 57064.154 20.526 0.065
 57076.137 20.695 0.056
filter Hd
 56929.374 16.420 0.016
 56931.347 16.439 0.017
 56936.327 16.663 0.017
 56942.356 16.876 0.019
 56966.252 16.688 0.024
 56974.333 16.992 0.015
filter r
 56928.317 16.041 0.009
 56929.326 15.941 0.008
 56930.333 15.848 0.008
 56931.355 15.783 0.007
 56932.349 15.738 0.009
 56936.345 15.636 0.007
 56937.306 15.649 0.012
 56938.375 15.631 0.010
 56939.350 15.659 0.009
 56942.341 15.793 0.013
 56943.318 15.841 0.009
 56944.340 15.899 0.035
 56948.336 16.209 0.009
 56949.337 16.264 0.010
 56950.297 16.312 0.013
 56954.321 16.448 0.014
 56955.327 16.451 0.013
 56956.331 16.443 0.012
 56958.298 16.465 0.009
 56961.274 16.490 0.008
 56963.272 16.530 0.012
 56964.331 16.538 0.011
 56965.296 16.581 0.016
 56971.273 16.929 0.015
 56972.275 16.995 0.013
 56976.292 17.200 0.013
 56977.292 17.286 0.014
 56978.341 17.308 0.014
 56984.268 17.537 0.011
 56995.209 17.903 0.015
 57001.234 18.068 0.017
 57004.257 18.212 0.014
 57005.244 18.205 0.013
 57013.210 18.464 0.013
 57023.260 18.782 0.027
 57030.225 18.995 0.026
 57036.155 19.113 0.018
 57064.151 19.962 0.031
 57076.125 20.295 0.036
filter u
 56928.320 16.713 0.016
 56929.329 16.565 0.012
 56930.336 16.456 0.014
 56931.358 16.360 0.015
 56932.353 16.323 0.013
 56936.341 16.386 0.014
 56937.309 16.443 0.017
 56938.378 16.523 0.015
 56939.353 16.596 0.019
 56942.344 16.820 0.024
 56943.321 16.878 0.016
 56944.344 16.922 0.036
 56948.340 17.373 0.024
 56949.343 17.515 0.026
 56950.301 17.690 0.037
 56954.324 18.202 0.042
 56955.331 18.316 0.034
 56956.334 18.424 0.036
 56958.303 18.617 0.032
 56961.280 18.883 0.035
 56963.276 19.090 0.065
 56964.335 19.091 0.042
 56965.301 19.262 0.060
 56971.278 19.611 0.198
 56972.279 19.532 0.063
 56976.298 19.689 0.062
 56977.298 19.865 0.078
 56978.348 19.709 0.069
 56984.273 19.944 0.064
 56995.216 19.938 0.117
 57001.243 19.992 0.136
 57005.253 20.143 0.084
 57013.218 20.503 0.099
 57023.266 20.517 0.089
 57030.234 20.542 0.150
filter V
 56928.315 16.010 0.010
 56929.324 15.911 0.007
 56930.338 15.818 0.008
 56931.360 15.750 0.007
 56932.355 15.696 0.007
 56936.339 15.638 0.009
 56937.311 15.641 0.011
 56938.380 15.657 0.009
 56939.355 15.646 0.008
 56942.345 15.761 0.011
 56943.316 15.803 0.009
 56944.346 15.842 0.010
 56948.342 16.087 0.008
 56949.345 16.140 0.007
 56950.303 16.215 0.008
 56954.326 16.423 0.013
 56955.333 16.446 0.013
 56956.337 16.502 0.013
 56958.295 16.612 0.008
 56961.283 16.753 0.009
 56963.278 16.820 0.012
 56964.338 16.899 0.012
 56965.304 16.953 0.015
