ASAS14lp 0.0051 191.2879 -0.4590
filter B
 57001.346 14.778 0.011
 57002.345 14.293 0.013
 57002.346 14.273 0.012
 57003.367 13.760 0.015
 57004.321 13.440 0.009
 57005.343 13.139 0.008
 57009.349 12.465 0.011
 57010.343 12.400 0.010
 57011.342 12.349 0.008
 57012.337 12.310 0.011
 57013.341 12.281 0.013
 57014.330 12.308 0.011
 57018.319 12.322 0.008
 57019.312 12.350 0.011
 57020.311 12.388 0.012
 57021.311 12.421 0.013
 57022.368 12.466 0.018
 57023.375 12.546 0.016
 57024.373 12.609 0.008
 57025.326 12.687 0.014
 57026.358 12.762 0.013
 57027.367 12.900 0.015
 57028.360 12.940 0.017
 57029.290 13.062 0.011
 57030.320 13.166 0.018
 57031.298 13.286 0.011
 57032.272 13.396 0.010
 57036.322 13.848 0.013
 57037.307 13.942 0.015
 57038.326 14.050 0.017
 57039.341 14.122 0.018
 57040.338 14.229 0.012
 57041.352 14.335 0.011
 57042.347 14.392 0.018
 57043.277 14.484 0.013
 57044.280 14.566 0.012
 57045.247 14.660 0.015
 57046.242 14.688 0.017
 57047.230 14.742 0.018
 57048.272 14.813 0.016
 57049.248 14.880 0.018
 57055.351 15.108 0.009
 57056.356 15.127 0.017
 57057.274 15.159 0.017
 57058.271 15.196 0.018
 57059.276 15.231 0.015
 57064.305 15.300 0.015
 57065.337 15.281 0.016
 57066.334 15.294 0.016
 57067.331 15.312 0.014
 57068.291 15.352 0.017
 57069.310 15.340 0.013
 57075.279 15.439 0.018
 57079.314 15.457 0.013
 57082.265 15.504 0.013
 57084.195 15.546 0.014
 57086.203 15.546 0.011
 57091.212 15.629 0.011
 57093.242 15.624 0.018
 57095.245 15.691 0.016
 57097.264 15.700 0.018
 57099.180 15.716 0.016
 57101.230 15.787 0.010
 57104.201 15.858 0.024
 57109.245 15.850 0.014
 57111.215 15.898 0.020
 57113.190 15.913 0.021
 57120.130 16.023 0.021
 57127.187 16.123 0.021
 57136.248 16.279 0.015
 57153.120 16.531 0.021
 57160.209 16.633 0.014
 57176.113 16.876 0.018
 57179.129 16.951 0.018
 57182.073 16.984 0.025
filter g
 57001.336 14.555 0.017
 57001.341 14.544 0.011
 57002.332 14.026 0.017
 57002.341 14.022 0.012
 57003.361 13.514 0.014
 57004.327 13.266 0.010
 57005.340 12.948 0.010
 57009.343 12.316 0.012
 57010.339 12.261 0.011
 57011.338 12.209 0.011
 57012.338 12.183 0.009
 57013.338 12.182 0.011
 57014.333 12.123 0.012
 57018.313 12.146 0.009
 57019.308 12.183 0.009
 57020.305 12.194 0.013
 57021.307 12.191 0.012
 57022.370 12.273 0.012
 57023.372 12.341 0.011
 57024.370 12.381 0.010
 57025.322 12.431 0.009
 57026.359 12.407 0.019
 57028.363 12.606 0.019
 57029.283 12.741 0.009
 57030.327 12.854 0.016
 57031.303 12.911 0.010
 57032.274 12.977 0.012
 57036.324 13.313 0.016
 57037.310 13.395 0.017
 57038.324 13.480 0.017
 57039.342 13.510 0.019
 57040.335 13.691 0.013
 57041.346 13.790 0.012
 57042.349 13.862 0.013
 57043.271 13.956 0.014
 57044.275 14.046 0.010
 57045.244 14.120 0.013
 57046.245 14.182 0.013
 57047.234 14.255 0.018
 57048.267 14.278 0.019
 57049.244 14.318 0.018
 57055.345 14.627 0.011
 57056.359 14.654 0.011
 57057.277 14.614 0.021
 57058.265 14.749 0.014
 57059.269 14.722 0.011
 57064.298 14.801 0.019
 57065.339 14.833 0.013
 57066.329 14.858 0.011
 57067.325 14.870 0.014
 57068.293 14.832 0.017
 57069.304 14.894 0.013
 57075.270 14.995 0.010
 57079.315 15.043 0.013
 57082.259 15.102 0.014
 57084.197 15.131 0.015
 57086.194 15.157 0.013
 57091.217 15.248 0.011
 57093.233 15.274 0.016
 57095.248 15.300 0.016
 57097.268 15.343 0.016
 57099.185 15.379 0.013
 57101.236 15.416 0.010
 57104.206 15.422 0.017
 57109.233 15.598 0.022
 57111.230 15.570 0.014
 57113.193 15.605 0.013
 57120.118 15.702 0.015
 57127.173 15.804 0.014
 57136.239 15.913 0.014
 57153.124 16.203 0.015
 57160.198 16.271 0.014
 57176.102 16.517 0.014
 57179.123 16.596 0.014
 57182.075 16.581 0.021
filter i
 57001.337 14.535 0.013
 57002.334 14.073 0.013
 57002.342 14.040 0.014
 57003.362 13.661 0.014
 57004.326 13.349 0.011
 57005.339 13.056 0.010
 57009.345 12.508 0.016
 57010.340 12.494 0.009
 57011.340 12.504 0.010
 57012.340 12.471 0.011
 57013.337 12.502 0.011
 57014.335 12.487 0.020
 57018.314 12.634 0.016
 57019.309 12.614 0.014
 57020.307 12.655 0.016
 57021.308 12.688 0.018
 57022.371 12.778 0.014
 57023.373 12.833 0.013
 57024.371 12.891 0.011
 57025.323 12.948 0.011
 57026.360 12.959 0.018
 57027.365 13.141 0.018
 57028.365 13.141 0.019
 57029.284 13.176 0.009
 57030.328 13.226 0.017
 57031.304 13.186 0.014
 57032.274 13.097 0.017
 57036.325 13.020 0.017
 57037.312 13.007 0.020
 57038.324 12.960 0.017
 57039.343 12.944 0.019
 57040.336 12.971 0.018
 57041.348 12.947 0.013
 57042.350 12.940 0.017
 57043.272 12.914 0.012
 57044.276 12.922 0.012
 57045.245 12.978 0.014
 57046.245 13.001 0.013
 57047.235 12.999 0.016
 57048.268 13.122 0.016
 57049.244 13.182 0.018
 57055.342 13.603 0.010
 57056.362 13.646 0.016
 57057.278 13.657 0.019
 57058.266 13.750 0.009
 57059.270 13.789 0.011
 57064.299 13.982 0.011
 57065.340 14.024 0.015
 57066.329 14.084 0.012
 57067.325 14.118 0.011
 57068.294 14.138 0.015
 57069.305 14.199 0.016
 57075.270 14.432 0.010
 57079.317 14.569 0.014
 57082.260 14.674 0.014
 57084.199 14.746 0.017
 57086.195 14.816 0.011
 57091.218 14.982 0.012
 57093.234 15.054 0.016
 57095.251 15.140 0.019
 57097.271 15.181 0.020
 57099.186 15.256 0.016
 57101.238 15.324 0.011
 57104.208 15.379 0.018
 57109.234 15.608 0.018
 57111.233 15.692 0.023
 57113.196 15.713 0.019
 57120.120 15.950 0.032
 57127.175 16.116 0.024
 57136.240 16.380 0.025
 57153.127 16.802 0.031
 57160.199 16.927 0.022
 57176.103 17.277 0.030
 57179.124 17.307 0.031
 57182.078 17.353 0.042
filter Hd
 57002.354 13.700 0.026
 57003.345 13.372 0.025
 57004.359 13.067 0.031
 57005.359 12.860 0.025
 57021.316 12.706 0.026
 57022.312 12.735 0.025
 57022.323 12.787 0.026
 57023.323 12.777 0.025
 57024.356 12.800 0.025
 57029.336 12.782 0.025
 57030.378 12.760 0.025
 57031.381 12.712 0.025
 57032.316 12.688 0.025
 57050.298 12.670 0.033
 57053.386 12.875 0.032
 57060.302 13.246 0.032
 57061.323 13.241 0.032
 57064.302 13.417 0.032
 57086.291 14.305 0.033
 57087.324 14.358 0.033
 57089.284 14.411 0.033
 57092.191 14.509 0.033
 57095.199 14.596 0.032
filter r
 57001.334 14.341 0.009
 57002.330 13.827 0.013
 57002.340 13.819 0.011
 57003.360 13.432 0.013
 57004.325 13.116 0.008
 57005.338 12.844 0.008
 57009.344 12.266 0.013
 57010.340 12.192 0.009
 57011.339 12.127 0.009
 57012.339 12.101 0.011
 57013.335 12.033 0.009
 57014.334 11.970 0.018
 57018.313 11.972 0.009
 57019.308 11.967 0.009
 57020.305 12.008 0.010
 57021.307 11.993 0.015
 57022.370 12.099 0.013
 57023.371 12.166 0.012
 57024.370 12.232 0.009
 57025.321 12.279 0.009
 57026.360 12.303 0.019
 57027.363 12.407 0.019
 57028.364 12.410 0.020
 57029.282 12.541 0.011
 57030.325 12.595 0.014
 57031.302 12.593 0.011
 57032.273 12.585 0.014
 57036.325 12.679 0.016
 57037.311 12.718 0.018
 57038.323 12.716 0.017
 57039.342 12.696 0.022
 57040.334 12.749 0.014
 57041.345 12.774 0.011
 57042.350 12.815 0.013
 57043.269 12.823 0.013
 57044.274 12.903 0.009
 57045.242 12.945 0.010
 57046.244 12.959 0.021
 57047.233 13.081 0.015
 57048.266 13.108 0.016
 57049.243 13.238 0.012
 57055.344 13.584 0.009
 57056.360 13.609 0.012
 57057.277 13.630 0.014
 57058.264 13.674 0.009
 57059.268 13.712 0.011
 57064.297 13.879 0.011
 57065.339 13.923 0.015
 57066.328 13.969 0.011
 57067.324 13.977 0.013
 57068.293 14.018 0.012
 57069.303 14.059 0.013
 57075.269 14.256 0.008
 57079.316 14.381 0.011
 57082.259 14.444 0.012
 57084.198 14.517 0.016
 57086.192 14.595 0.010
 57091.215 14.738 0.010
 57093.232 14.806 0.014
 57095.249 14.869 0.014
 57097.269 14.930 0.015
 57099.184 14.996 0.012
 57101.235 15.051 0.009
 57104.205 15.133 0.017
 57109.232 15.390 0.023
 57111.232 15.397 0.022
 57113.195 15.498 0.026
 57120.117 15.677 0.023
 57127.170 15.852 0.021
 57136.238 16.073 0.015
 57153.125 16.655 0.031
 57160.196 16.706 0.016
 57176.100 17.202 0.024
 57179.122 17.498 0.062
 57182.076 17.139 0.044
filter u
 57002.336 15.208 0.020
 57002.338 15.226 0.018
 57003.363 14.640 0.018
 57004.329 14.144 0.016
 57005.341 13.754 0.014
 57009.346 12.996 0.018
