SN2014dl 0.0329 247.4420 8.6418
filter B
 56926.994 16.652 0.008
 56927.998 16.530 0.009
 56928.988 16.451 0.008
 56929.999 16.365 0.008
 56931.003 16.315 0.009
 56931.995 16.269 0.009
 56935.993 16.262 0.012
 56937.004 16.291 0.012
 56937.993 16.314 0.012
 56938.995 16.335 0.015
 56938.997 16.333 0.015
 56939.985 16.391 0.020
 56939.986 16.409 0.015
 56940.992 16.436 0.018
 56940.994 16.462 0.016
 56941.990 16.498 0.019
 56942.985 16.597 0.029
 56943.986 16.596 0.029
 56945.988 16.809 0.033
 56945.989 16.760 0.026
 56947.989 17.035 0.055
filter i
 56926.989 16.962 0.011
 56927.987 16.855 0.010
 56928.984 16.812 0.013
 56929.994 16.741 0.011
 56931.000 16.700 0.011
 56931.990 16.704 0.013
 56935.989 16.761 0.016
 56937.000 16.790 0.013
 56937.997 16.795 0.013
 56938.990 16.787 0.020
 56938.991 16.788 0.019
 56939.992 16.776 0.015
 56939.993 16.822 0.016
 56940.988 16.844 0.037
 56940.989 16.853 0.032
 56941.988 16.816 0.026
 56942.989 16.947 0.031
 56943.990 16.965 0.031
 56945.985 17.196 0.055
 56946.984 17.065 0.086
 56946.987 17.208 0.066
filter Hd
 56929.996 16.771 0.054
 56931.995 16.757 0.068
 56935.999 16.887 0.059
filter r
 56926.987 16.685 0.006
 56927.985 16.571 0.008
 56928.982 16.492 0.009
 56929.992 16.398 0.008
 56930.998 16.364 0.009
 56931.989 16.297 0.010
 56935.987 16.206 0.010
 56936.992 16.245 0.010
 56937.996 16.198 0.010
 56938.988 16.191 0.011
 56938.989 16.194 0.010
 56939.989 16.203 0.009
 56939.990 16.221 0.009
 56940.983 16.285 0.024
 56940.984 16.217 0.029
 56941.986 16.307 0.017
 56942.988 16.306 0.013
 56943.989 16.331 0.014
 56945.983 16.392 0.024
 56946.985 16.482 0.030
filter V
 56926.991 16.642 0.007
 56927.990 16.516 0.007
 56928.986 16.413 0.008
 56929.997 16.340 0.007
 56931.001 16.287 0.008
 56931.993 16.229 0.009
 56935.991 16.201 0.010
 56937.002 16.191 0.011
 56937.991 16.227 0.011
 56938.992 16.183 0.010
 56938.994 16.200 0.012
 56939.987 16.243 0.013
 56939.988 16.234 0.012
 56940.990 16.261 0.014
 56940.991 16.240 0.012
 56941.989 16.286 0.013
 56942.986 16.314 0.017
 56943.987 16.343 0.018
 56945.986 16.436 0.019
 56947.987 16.537 0.034
filter Y
 56929.982 16.769 0.014
 56931.979 16.809 0.041
 56931.982 16.757 0.014
 56935.988 17.041 0.017
filter Jd
 56930.008 16.569 0.019
 56932.005 16.545 0.016
 56936.010 16.662 0.021
