ASAS15hx 0.0083 205.8195 -31.5560
filter B
 57140.184 14.596 0.008
 57141.198 14.305 0.013
 57142.209 14.059 0.010
 57143.175 13.867 0.009
 57144.237 13.713 0.007
 57148.296 13.385 0.005
 57151.239 13.300 0.008
 57152.284 13.312 0.005
 57153.266 13.345 0.008
 57154.220 13.354 0.009
 57155.237 13.397 0.011
 57156.203 13.400 0.015
 57157.205 13.496 0.012
 57158.208 13.541 0.009
 57159.238 13.614 0.008
 57160.287 13.684 0.009
 57161.222 13.777 0.011
 57162.205 13.839 0.008
 57163.227 13.930 0.005
 57164.195 14.027 0.009
 57165.205 14.127 0.007
 57166.195 14.222 0.005
 57174.124 15.002 0.012
 57175.120 15.071 0.010
 57176.167 15.175 0.010
 57177.189 15.250 0.012
 57178.182 15.344 0.007
 57179.197 15.437 0.008
 57180.168 15.511 0.009
 57181.121 15.589 0.009
 57182.165 15.666 0.009
filter g
 57140.193 14.513 0.005
 57142.203 14.041 0.011
 57143.180 13.855 0.008
 57144.242 13.681 0.005
 57148.290 13.348 0.005
 57151.242 13.259 0.005
 57152.286 13.265 0.005
 57153.268 13.289 0.005
 57154.215 13.310 0.009
 57155.232 13.340 0.007
 57156.199 13.358 0.014
 57157.208 13.399 0.009
 57158.213 13.438 0.005
 57159.240 13.492 0.005
 57160.282 13.557 0.005
 57161.225 13.627 0.009
 57162.200 13.676 0.007
 57163.222 13.747 0.005
 57164.190 13.826 0.008
 57165.201 13.884 0.009
 57166.191 13.974 0.005
 57174.115 14.618 0.010
 57175.110 14.684 0.009
 57176.170 14.769 0.008
 57177.180 14.826 0.009
 57178.186 14.924 0.007
 57179.192 15.009 0.006
 57180.161 15.080 0.006
 57181.124 15.167 0.008
 57182.159 15.253 0.008
filter i
 57140.194 15.004 0.007
 57141.207 14.764 0.020
 57142.204 14.535 0.017
 57143.181 14.357 0.013
 57144.244 14.158 0.006
 57148.291 13.991 0.006
 57151.244 14.039 0.008
 57152.287 14.077 0.008
 57153.270 14.149 0.011
 57154.216 14.173 0.014
 57155.233 14.231 0.012
 57156.199 14.245 0.017
 57157.209 14.278 0.011
 57158.214 14.305 0.006
 57159.241 14.367 0.006
 57160.283 14.446 0.008
 57161.226 14.531 0.012
 57162.201 14.616 0.009
 57163.223 14.682 0.007
 57164.191 14.767 0.010
 57165.202 14.814 0.011
 57166.191 14.818 0.008
 57174.118 14.830 0.018
 57175.113 14.723 0.011
 57176.173 14.742 0.012
 57177.181 14.682 0.011
 57178.188 14.702 0.010
 57179.193 14.669 0.007
 57180.162 14.659 0.007
 57181.127 14.651 0.011
 57182.160 14.689 0.012
filter H
 57140.190 14.784 0.012
 57141.139 14.535 0.021
 57142.183 14.332 0.015
 57143.197 14.230 0.013
 57144.180 14.116 0.010
 57151.240 14.256 0.012
 57153.173 14.346 0.012
 57170.171 14.444 0.013
 57172.161 14.442 0.015
 57173.217 14.375 0.013
filter r
 57140.191 14.672 0.008
 57141.206 14.438 0.016
 57142.199 14.214 0.016
 57143.179 14.014 0.009
 57144.240 13.813 0.005
 57148.289 13.481 0.005
 57151.243 13.376 0.005
 57152.286 13.366 0.005
 57153.269 13.364 0.005
 57154.214 13.371 0.008
 57155.231 13.381 0.008
 57156.198 13.399 0.012
 57157.207 13.439 0.010
 57158.211 13.474 0.006
 57159.239 13.530 0.005
 57160.281 13.581 0.005
 57161.224 13.692 0.010
 57162.199 13.730 0.007
 57163.221 13.804 0.005
 57164.189 13.870 0.008
 57165.200 13.924 0.009
 57166.189 13.986 0.005
 57174.116 14.224 0.014
 57175.112 14.210 0.009
 57176.171 14.219 0.008
 57177.179 14.230 0.007
 57178.187 14.271 0.008
 57179.190 14.294 0.006
 57180.160 14.329 0.006
 57181.125 14.346 0.009
 57182.158 14.417 0.008
filter u
 57140.197 15.415 0.008
 57141.209 14.994 0.016
 57142.205 14.687 0.012
 57143.182 14.422 0.010
 57144.246 14.231 0.008
 57148.293 13.840 0.006
 57151.245 13.844 0.006
 57152.288 13.903 0.006
 57153.271 13.954 0.007
 57154.218 14.014 0.009
 57155.234 14.100 0.010
 57156.201 14.189 0.009
 57157.210 14.249 0.012
 57158.215 14.363 0.007
 57159.243 14.462 0.006
 57160.285 14.583 0.007
 57161.228 14.673 0.016
 57162.203 14.783 0.007
 57163.225 14.920 0.008
 57164.192 15.039 0.009
 57165.203 15.167 0.014
 57166.193 15.304 0.008
 57174.120 16.269 0.017
 57175.115 16.399 0.015
 57176.175 16.486 0.015
 57177.184 16.561 0.024
 57178.191 16.682 0.017
 57179.194 16.735 0.020
 57180.164 16.814 0.016
 57181.128 16.873 0.022
 57182.162 16.930 0.017
filter V
 57141.200 14.368 0.013
 57142.207 14.138 0.014
 57143.177 13.935 0.007
 57144.239 13.773 0.006
 57148.294 13.413 0.005
 57151.240 13.324 0.007
 57152.285 13.310 0.005
 57153.267 13.328 0.008
 57154.219 13.341 0.009
 57155.236 13.350 0.009
 57156.202 13.358 0.014
 57157.205 13.412 0.010
 57158.210 13.422 0.007
 57159.238 13.457 0.005
 57160.286 13.493 0.009
 57161.223 13.550 0.009
 57162.204 13.595 0.007
 57163.227 13.643 0.005
 57164.194 13.727 0.009
 57165.204 13.777 0.009
 57166.194 13.834 0.005
 57174.123 14.260 0.010
 57175.119 14.313 0.007
 57176.168 14.363 0.008
 57177.187 14.405 0.010
 57178.184 14.459 0.007
 57179.196 14.522 0.007
 57180.166 14.586 0.006
filter Y
 57140.171 14.751 0.009
 57141.134 14.521 0.010
 57142.177 14.306 0.009
 57143.192 14.139 0.009
 57144.175 14.028 0.009
 57151.235 14.193 0.009
 57153.168 14.362 0.009
 57170.166 14.652 0.009
 57172.156 14.554 0.009
 57173.212 14.482 0.010
filter Jrc2
 57140.198 14.679 0.008
 57141.145 14.440 0.011
 57142.190 14.215 0.009
 57143.204 14.056 0.009
 57144.186 13.946 0.009
 57151.229 13.975 0.008
 57153.179 14.109 0.008
