SN2013H 0.0155 136.6279 -75.8171
filter B
 56299.114 17.229 0.010
 56300.149 16.947 0.011
 56301.191 16.725 0.010
 56304.243 16.324 0.009
 56305.223 16.241 0.009
 56306.239 16.170 0.009
 56307.196 16.099 0.011
 56308.143 16.092 0.011
 56309.152 16.081 0.011
 56310.161 16.086 0.011
 56311.199 16.093 0.013
 56312.189 16.149 0.011
 56314.203 16.226 0.010
 56315.168 16.253 0.010
 56316.155 16.323 0.011
 56317.179 16.374 0.012
 56318.154 16.452 0.011
 56319.202 16.527 0.012
 56320.176 16.596 0.011
 56321.191 16.693 0.011
 56322.150 16.767 0.011
 56323.174 16.878 0.011
 56323.218 16.854 0.014
 56324.119 16.978 0.011
 56325.144 17.075 0.011
 56326.181 17.165 0.011
 56327.217 17.301 0.012
 56328.182 17.397 0.013
 56329.162 17.517 0.012
 56330.161 17.585 0.014
 56331.115 17.692 0.015
 56332.135 17.778 0.011
 56336.171 18.154 0.014
 56337.180 18.230 0.013
 56338.163 18.317 0.018
 56339.146 18.427 0.022
 56340.179 18.487 0.023
 56341.186 18.574 0.023
 56342.166 18.615 0.017
 56343.173 18.672 0.018
 56344.147 18.738 0.019
 56351.169 19.046 0.030
 56354.170 19.151 0.022
 56358.191 19.236 0.043
 56365.097 19.335 0.023
 56372.045 19.429 0.025
 56379.113 19.513 0.058
 56391.061 19.690 0.032
filter g
 56299.126 17.058 0.009
 56300.160 16.773 0.007
 56301.200 16.547 0.009
 56304.225 16.162 0.007
 56305.232 16.092 0.007
 56306.213 16.025 0.007
 56307.205 15.963 0.009
 56308.151 15.927 0.009
 56309.135 15.931 0.007
 56310.137 15.909 0.014
 56310.141 15.923 0.008
 56311.205 15.937 0.009
 56312.193 15.967 0.010
 56314.211 16.027 0.007
 56315.174 16.055 0.008
 56316.138 16.098 0.006
 56317.185 16.137 0.008
 56318.160 16.192 0.008
 56319.183 16.263 0.008
 56320.157 16.305 0.008
 56321.172 16.373 0.007
 56322.153 16.440 0.008
 56323.181 16.527 0.007
 56323.225 16.540 0.009
 56324.125 16.604 0.006
 56325.150 16.684 0.007
 56326.187 16.765 0.008
 56327.190 16.855 0.006
 56328.188 16.937 0.007
 56329.140 17.015 0.007
 56330.139 17.086 0.009
 56331.120 17.161 0.008
 56332.141 17.251 0.008
 56336.178 17.587 0.009
 56337.190 17.683 0.011
 56338.141 17.753 0.010
 56339.149 17.840 0.013
 56340.156 17.931 0.014
 56341.161 18.015 0.013
 56342.173 18.084 0.013
 56343.142 18.136 0.013
 56344.123 18.198 0.016
 56351.178 18.560 0.032
 56351.183 18.535 0.016
 56354.184 18.624 0.011
 56358.179 18.763 0.038
 56365.071 18.824 0.017
 56372.020 18.958 0.016
 56379.077 19.056 0.025
 56379.100 19.049 0.026
 56387.015 19.196 0.013
 56391.021 19.247 0.017
filter i
 56299.129 17.006 0.010
 56300.169 16.719 0.007
 56301.209 16.498 0.007
 56304.234 16.207 0.007
 56305.241 16.170 0.007
 56306.222 16.156 0.008
 56307.214 16.139 0.016
 56308.157 16.171 0.011
 56309.140 16.202 0.010
 56310.146 16.232 0.010
 56311.210 16.262 0.011
 56312.198 16.301 0.011
 56314.216 16.355 0.009
 56315.179 16.377 0.012
 56316.143 16.433 0.009
 56317.190 16.494 0.011
 56318.165 16.554 0.010
 56319.189 16.641 0.012
 56320.162 16.722 0.009
 56321.178 16.832 0.009
 56322.159 16.913 0.009
 56323.186 16.962 0.010
 56323.230 16.965 0.020
 56324.130 17.022 0.009
 56325.157 17.049 0.011
 56326.192 17.063 0.009
 56327.197 17.060 0.010
 56328.193 17.048 0.012
 56329.145 17.007 0.011
 56330.144 16.976 0.011
 56331.125 16.954 0.011
 56332.147 16.910 0.009
 56336.183 16.799 0.010
 56337.196 16.778 0.012
 56338.146 16.764 0.011
 56339.154 16.753 0.011
 56340.161 16.752 0.013
 56341.169 16.770 0.009
 56342.179 16.809 0.009
 56343.148 16.827 0.011
 56344.128 16.890 0.010
 56351.196 17.362 0.009
 56354.196 17.518 0.011
 56358.172 17.737 0.049
 56365.084 18.000 0.018
 56372.033 18.266 0.020
 56379.093 18.497 0.024
 56387.030 18.781 0.016
 56391.037 18.883 0.022
filter H
 56318.171 16.217 0.018
 56319.134 16.284 0.012
 56320.138 16.283 0.014
 56325.361 16.322 0.022
 56326.141 16.346 0.013
