SN2011iv 0.0065 54.7139 -35.5922
filter B
 55902.185 12.606 0.012
 55902.187 12.611 0.013
 55903.080 12.551 0.009
 55903.218 12.536 0.009
 55904.146 12.524 0.017
 55904.147 12.528 0.014
 55904.150 12.523 0.014
 55905.210 12.502 0.014
 55905.211 12.495 0.012
 55906.218 12.503 0.014
 55906.220 12.514 0.013
 55907.162 12.518 0.012
 55907.163 12.525 0.011
 55915.097 13.336 0.012
 55916.137 13.528 0.009
 55917.120 13.720 0.011
 55918.100 13.867 0.009
 55924.102 14.669 0.013
 55925.061 14.762 0.011
 55926.037 14.867 0.011
 55928.062 15.032 0.009
 55929.069 14.999 0.010
 55930.090 15.185 0.009
 55931.085 15.251 0.010
 55932.088 15.305 0.012
 55933.088 15.361 0.012
 55934.073 15.397 0.012
 55935.068 15.432 0.010
 55937.051 15.511 0.011
 55938.073 15.544 0.015
 55939.057 15.571 0.013
 55940.055 15.587 0.012
 55941.057 15.595 0.010
 55942.045 15.628 0.012
 55943.086 15.646 0.010
 55949.064 15.771 0.013
 55953.136 15.838 0.012
 55955.131 15.864 0.013
 55957.140 15.920 0.010
 55962.087 15.988 0.010
 55963.163 15.996 0.010
 55965.152 16.029 0.011
 55967.137 16.068 0.010
 55969.101 16.088 0.010
 55972.144 16.117 0.011
 55981.119 16.255 0.011
 55985.077 16.309 0.011
 55994.086 16.487 0.014
 55997.042 16.514 0.012
 56001.083 16.578 0.012
 56004.087 16.619 0.012
 56006.077 16.666 0.013
 56008.015 16.696 0.015
 56013.021 16.783 0.013
 56016.023 16.860 0.013
 56019.004 16.937 0.013
 56031.012 17.048 0.016
filter g
 55902.176 12.556 0.014
 55902.179 12.564 0.014
 55903.087 12.491 0.013
 55903.226 12.492 0.013
 55903.228 12.491 0.013
 55904.169 12.434 0.017
 55905.192 12.414 0.014
 55905.193 12.419 0.014
 55906.226 12.478 0.021
 55906.227 12.459 0.014
 55907.169 12.420 0.014
 55907.170 12.424 0.014
 55917.131 13.343 0.014
 55918.106 13.453 0.012
 55925.082 14.295 0.013
 55926.053 14.384 0.013
 55928.071 14.556 0.013
 55928.074 14.603 0.013
 55929.073 14.538 0.013
 55930.105 14.742 0.013
 55931.077 14.764 0.012
 55932.076 14.896 0.017
 55933.076 14.924 0.014
