PTF14yw 0.0170 176.2649 19.9737
filter B
 56725.203 16.008 0.012
 56726.177 15.936 0.017
 56727.174 15.904 0.016
 56728.192 15.858 0.017
 56729.177 15.815 0.015
 56730.204 15.820 0.016
 56734.193 15.993 0.017
 56735.198 16.060 0.016
 56736.188 16.147 0.017
 56741.138 16.670 0.014
 56743.137 16.914 0.022
 56745.140 17.212 0.018
 56751.132 17.916 0.022
 56756.098 18.444 0.026
 56758.124 18.586 0.037
 56761.098 18.603 0.043
 56763.160 18.799 0.036
 56765.116 18.816 0.028
 56765.119 18.838 0.031
 56767.134 18.888 0.022
filter g
 56725.205 15.968 0.011
 56726.170 15.894 0.009
 56727.176 15.805 0.011
 56728.188 15.791 0.013
 56729.170 15.762 0.013
 56730.208 15.808 0.010
 56734.175 15.918 0.011
 56735.192 15.985 0.012
 56736.178 16.055 0.009
 56741.140 16.456 0.014
 56743.130 16.685 0.017
 56745.130 16.880 0.013
 56751.141 17.598 0.022
 56756.102 18.090 0.023
 56758.107 18.154 0.029
 56761.087 18.439 0.036
 56763.144 18.493 0.063
 56765.130 18.499 0.037
 56767.144 18.597 0.028
 56774.109 18.729 0.071
filter i
 56725.208 16.560 0.021
 56726.172 16.461 0.023
 56727.183 16.513 0.024
 56728.187 16.589 0.034
 56729.175 16.583 0.027
 56730.210 16.539 0.020
 56734.178 16.724 0.032
 56735.190 16.835 0.027
 56736.181 16.970 0.026
 56741.142 17.373 0.038
 56743.131 17.363 0.038
 56745.133 17.182 0.033
 56751.138 16.972 0.028
 56756.106 17.248 0.027
 56758.111 17.375 0.019
 56761.090 17.710 0.036
 56765.126 17.927 0.041
 56767.142 17.907 0.051
filter H
 56725.206 16.811 0.305
filter r
 56725.206 16.062 0.016
 56726.171 15.985 0.013
 56727.178 15.944 0.019
 56728.186 15.872 0.021
 56729.171 15.826 0.014
 56730.209 15.856 0.016
 56734.177 15.968 0.016
 56735.191 16.018 0.016
 56736.180 16.101 0.013
 56741.141 16.582 0.018
 56743.130 16.610 0.020
 56745.132 16.648 0.019
 56751.140 16.715 0.019
 56756.104 17.106 0.023
 56758.109 17.202 0.017
 56761.089 17.483 0.027
 56765.129 17.655 0.027
 56767.143 17.748 0.038
filter u
 56725.209 16.440 0.025
 56726.174 16.499 0.026
 56727.180 16.423 0.026
 56728.189 16.431 0.027
 56729.173 16.439 0.031
 56730.211 16.556 0.033
 56734.181 16.897 0.031
 56735.194 16.954 0.030
 56736.183 17.122 0.031
 56741.144 17.741 0.030
 56743.133 18.061 0.080
 56745.136 18.236 0.033
 56751.144 18.913 0.043
 56756.109 19.565 0.057
 56758.116 19.954 0.131
 56761.104 19.865 0.141
 56765.135 19.834 0.118
 56765.143 19.765 0.096
filter V
 56725.204 16.041 0.012
 56726.176 15.951 0.014
 56727.175 15.903 0.011
 56728.191 15.872 0.017
 56729.176 15.852 0.014
 56730.206 15.851 0.013
 56734.190 15.940 0.013
 56735.197 15.969 0.011
 56736.186 16.017 0.010
 56741.139 16.375 0.016
 56743.136 16.541 0.043
 56745.139 16.590 0.017
 56751.135 17.002 0.020
 56756.100 17.426 0.023
 56758.121 17.582 0.017
 56761.096 17.811 0.024
 56765.123 17.968 0.018
 56767.138 18.017 0.023
filter Jrc2
 56725.216 16.440 0.033
