LSQ14ahc 0.0509 205.9510 -32.9098
filter Jrc2
 56726.271 17.998 0.016
 56729.283 17.837 0.015
 56732.314 17.887 0.017
 56760.172 19.025 0.029
filter i
 56726.329 18.162 0.018
 56727.288 18.060 0.017
 56728.343 18.059 0.019
 56729.349 18.003 0.016
 56730.119 18.020 0.016
 56731.152 18.061 0.022
 56732.188 18.033 0.019
 56733.226 18.021 0.022
 56734.295 17.991 0.018
 56741.254 18.145 0.018
 56742.362 18.171 0.016
 56743.286 18.206 0.024
 56744.254 18.309 0.014
 56745.264 18.318 0.013
 56749.226 18.609 0.015
 56750.287 18.669 0.016
 56752.351 18.747 0.025
 56756.187 18.653 0.020
 56757.230 18.643 0.016
 56758.222 18.613 0.024
 56759.244 18.582 0.018
 56760.148 18.610 0.036
 56761.175 18.531 0.024
 56761.176 18.573 0.026
 56762.286 18.523 0.021
 56762.288 18.480 0.024
 56763.220 18.566 0.040
 56764.234 18.493 0.027
 56765.257 18.462 0.028
 56766.229 18.476 0.022
 56767.228 18.497 0.020
 56768.242 18.523 0.018
 56775.276 18.813 0.019
 56785.154 19.333 0.028
 56787.101 19.409 0.084
 56791.200 19.707 0.085
 56791.202 19.551 0.073
filter H
 56726.261 18.138 0.026
 56732.298 18.091 0.030
 56760.162 18.381 0.040
filter r
 56726.332 17.898 0.014
 56727.285 17.787 0.015
 56728.340 17.687 0.016
 56729.347 17.638 0.013
 56730.116 17.600 0.011
 56731.149 17.529 0.012
 56732.185 17.476 0.013
 56733.223 17.443 0.017
 56734.293 17.446 0.017
 56741.252 17.485 0.013
 56742.360 17.484 0.010
 56743.283 17.537 0.012
 56744.252 17.593 0.011
 56745.266 17.623 0.010
 56749.229 17.855 0.009
 56750.289 17.915 0.010
 56752.354 17.988 0.011
 56756.184 18.022 0.014
 56757.226 18.111 0.013
 56758.225 18.100 0.014
 56759.242 18.103 0.013
 56760.146 18.165 0.022
 56761.172 18.149 0.019
 56761.173 18.162 0.019
 56762.283 18.172 0.015
 56762.285 18.188 0.015
 56763.223 18.173 0.024
 56764.232 18.239 0.023
 56765.255 18.261 0.025
 56766.227 18.298 0.018
 56767.230 18.323 0.017
 56768.239 18.358 0.017
 56775.273 18.797 0.020
 56785.151 19.119 0.020
 56787.097 19.043 0.074
 56787.099 19.177 0.060
 56791.205 19.360 0.060
 56791.207 19.338 0.060
filter V
 56726.335 17.844 0.012
 56727.282 17.771 0.012
 56728.337 17.686 0.016
 56729.344 17.605 0.014
 56730.122 17.510 0.012
 56731.146 17.506 0.015
 56732.191 17.476 0.015
 56733.229 17.462 0.016
 56734.290 17.457 0.015
 56741.256 17.524 0.011
 56742.364 17.543 0.011
 56743.280 17.578 0.013
 56744.249 17.639 0.009
 56745.258 17.682 0.009
 56749.233 17.912 0.011
 56750.283 17.972 0.009
 56752.347 18.111 0.015
 56775.281 19.394 0.019
 56785.148 19.690 0.026
 56787.087 19.677 0.099
 56787.092 19.666 0.126
 56791.193 19.815 0.087
 56791.196 19.839 0.100
filter Y
 56726.248 18.018 0.015
 56729.256 17.919 0.015
 56732.277 18.012 0.013
 56760.149 18.148 0.018
filter B
 56726.337 17.809 0.013
 56727.280 17.728 0.011
 56728.334 17.640 0.014
 56729.341 17.625 0.013
 56730.125 17.544 0.014
 56731.141 17.471 0.016
 56732.200 17.509 0.017
 56733.235 17.459 0.016
 56734.287 17.434 0.015
 56741.258 17.651 0.012
 56742.366 17.714 0.012
 56743.278 17.763 0.014
 56744.246 17.842 0.010
 56745.255 17.938 0.011
 56749.236 18.284 0.014
 56750.280 18.369 0.013
 56752.342 18.592 0.019
 56775.285 20.331 0.034
 56775.289 20.302 0.033
 56785.144 20.565 0.042
 56787.082 20.538 0.123
 56787.084 20.498 0.112
 56791.180 20.514 0.160
