SN2011iy 0.0043 197.2432 -15.5178
filter B
 55909.350 13.337 0.006
 55910.360 13.439 0.008
 55916.360 14.037 0.009
 55917.350 14.124 0.006
 55922.370 14.546 0.011
 55923.360 14.632 0.006
 55924.350 14.692 0.006
 55925.370 14.777 0.006
 55926.340 14.832 0.007
 55927.340 14.893 0.006
 55929.360 15.027 0.009
 55931.340 15.237 0.013
 55932.360 15.148 0.009
 55933.370 15.148 0.009
 55935.350 15.210 0.011
 55937.340 15.248 0.006
 55938.360 15.258 0.006
 55939.340 15.288 0.007
 55940.320 15.293 0.007
 55941.340 15.312 0.008
 55942.340 15.328 0.006
 55944.290 15.334 0.008
 55949.300 15.398 0.006
 55955.380 15.470 0.009
 55958.360 15.506 0.009
 55961.330 15.557 0.009
 55962.230 15.555 0.005
 55964.310 15.580 0.007
 55966.340 15.606 0.007
 55967.370 15.641 0.010
 55971.260 15.695 0.009
 55974.350 15.742 0.010
 55979.370 15.807 0.008
 55985.320 15.906 0.007
 55987.360 15.934 0.009
 55988.380 15.947 0.009
 55991.300 15.998 0.008
 55994.250 16.060 0.009
 55996.320 16.080 0.011
 55999.340 16.143 0.011
 56001.260 16.172 0.009
 56003.310 16.207 0.006
 56006.300 16.251 0.008
 56008.210 16.284 0.007
 56012.330 16.372 0.009
 56019.290 16.479 0.008
 56023.140 16.536 0.011
 56032.190 16.692 0.009
 56037.190 16.787 0.011
 56047.210 16.944 0.008
 56056.270 17.084 0.011
filter g
 55909.360 12.939 0.006
 55910.350 13.015 0.008
 55916.360 13.492 0.009
 55917.360 13.590 0.007
 55923.350 14.083 0.006
 55924.330 14.136 0.008
 55925.350 14.228 0.008
 55926.330 14.321 0.006
 55927.350 14.355 0.008
 55929.370 14.519 0.009
 55931.340 14.638 0.009
 55932.370 14.655 0.008
 55933.360 14.686 0.006
 55935.340 14.743 0.009
 55937.350 14.776 0.007
 55938.370 14.797 0.009
 55939.360 14.821 0.008
 55940.340 14.845 0.010
 55941.360 14.868 0.009
 55942.350 14.870 0.007
 55944.280 14.912 0.007
 55949.280 14.981 0.006
 55962.200 15.174 0.006
 55964.280 15.212 0.009
 55966.320 15.260 0.007
 55971.240 15.331 0.009
 55974.350 15.383 0.009
 55979.390 15.460 0.009
 55985.330 15.549 0.007
 55987.380 15.577 0.010
 55988.400 15.606 0.010
 55991.280 15.653 0.011
 55994.220 15.698 0.010
 55996.290 15.759 0.011
 55999.310 15.778 0.011
 56001.230 15.810 0.011
 56003.290 15.849 0.007
 56006.280 15.879 0.012
 56008.220 15.931 0.007
 56012.370 16.001 0.010
 56019.260 16.117 0.010
 56023.170 16.190 0.011
 56032.220 16.314 0.011
 56037.210 16.398 0.010
 56047.190 16.555 0.009
 56056.260 16.717 0.011
filter i
 55909.350 13.623 0.010
 55910.360 13.602 0.010
 55916.350 13.409 0.011
 55917.360 13.363 0.006
 55923.360 13.230 0.011
 55924.350 13.210 0.010
 55925.360 13.259 0.007
 55926.340 13.332 0.008
 55927.360 13.399 0.008
 55929.370 13.576 0.013
 55931.350 13.731 0.010
 55932.370 13.784 0.013
 55933.370 13.850 0.006
 55935.340 13.959 0.009
 55937.340 14.059 0.007
 55938.360 14.071 0.010
 55939.340 14.135 0.011
 55940.330 14.151 0.011
 55941.350 14.240 0.010
 55942.340 14.276 0.007
 55944.270 14.340 0.011
 55949.280 14.538 0.009
 55955.370 14.773 0.010
 55958.370 14.890 0.011
 55961.360 15.012 0.009
 55962.220 15.031 0.007
 55964.290 15.095 0.008
 55966.340 15.183 0.008
 55967.370 15.217 0.011
 55971.250 15.379 0.012
 55974.360 15.467 0.013
 55979.370 15.640 0.009
 55985.330 15.832 0.010
 55987.370 15.901 0.009
 55988.390 15.927 0.010
 55991.300 16.014 0.011
 55994.220 16.119 0.010
 55996.300 16.196 0.015
 55999.320 16.267 0.010
 56001.250 16.305 0.014
 56003.310 16.384 0.009
 56006.290 16.454 0.013
 56008.210 16.520 0.011
 56012.340 16.638 0.013
 56019.270 16.805 0.013
 56023.150 16.915 0.013
 56032.200 17.115 0.013
 56037.190 17.209 0.013
 56047.210 17.425 0.013
 56056.250 17.587 0.014
filter H
 55909.348 13.130 0.008
 55910.344 13.098 0.008
 56029.185 17.045 0.029
filter r
 55909.350 12.799 0.006
 55916.350 12.880 0.007
 55917.360 12.861 0.006
 55923.350 12.980 0.008
 55924.350 13.043 0.010
 55925.360 13.127 0.008
 55926.340 13.195 0.007
 55927.350 13.297 0.009
 55929.370 13.469 0.010
 55931.350 13.585 0.008
 55932.370 13.620 0.008
 55933.360 13.669 0.006
 55935.330 13.768 0.009
 55937.340 13.829 0.007
 55938.360 13.886 0.008
 55939.350 13.894 0.009
 55940.330 13.933 0.010
 55941.350 13.999 0.010
 55942.340 14.021 0.008
 55944.280 14.061 0.008
 55949.280 14.243 0.007
 55955.370 14.444 0.011
 55961.360 14.653 0.009
 55962.220 14.692 0.005
 55964.290 14.767 0.009
 55966.330 14.828 0.008
 55971.250 14.992 0.010
 55974.360 15.089 0.013
 55979.380 15.246 0.009
 55985.330 15.424 0.010
 55987.370 15.492 0.009
 55988.390 15.522 0.010
 55991.290 15.635 0.011
 55994.220 15.729 0.009
 55996.290 15.807 0.011
 55999.320 15.873 0.010
 56001.250 15.931 0.012
 56003.300 15.997 0.009
 56006.290 16.083 0.014
 56008.220 16.154 0.010
 56012.350 16.270 0.011
 56019.270 16.468 0.012
 56023.160 16.597 0.010
 56032.210 16.838 0.013
 56037.200 16.972 0.012
 56047.200 17.225 0.011
 56056.250 17.445 0.012
filter u
