SN2012hd 0.0119 18.5311 -32.6521
filter B
 56253.061 17.147 0.011
 56254.070 16.648 0.010
 56255.084 16.264 0.010
 56256.083 15.946 0.011
 56257.087 15.676 0.011
 56258.076 15.482 0.011
 56259.075 15.347 0.008
 56261.094 15.133 0.008
 56262.081 15.068 0.009
 56263.094 15.012 0.011
 56264.093 14.986 0.009
 56266.065 15.008 0.008
 56267.091 15.031 0.011
 56268.085 15.055 0.008
 56269.110 15.139 0.010
 56270.093 15.181 0.012
 56271.113 15.260 0.009
 56272.099 15.344 0.013
 56273.071 15.430 0.013
 56274.061 15.560 0.011
 56275.098 15.646 0.012
 56276.050 15.774 0.009
 56277.105 15.890 0.013
 56278.083 16.038 0.011
 56280.067 16.305 0.010
 56284.074 16.778 0.012
 56286.033 16.959 0.012
 56292.067 17.487 0.013
 56293.058 17.544 0.016
 56294.063 17.585 0.015
 56295.054 17.703 0.015
 56298.052 17.909 0.018
 56299.080 17.915 0.015
 56304.076 18.039 0.021
 56307.076 18.179 0.018
 56311.058 18.247 0.019
 56312.048 18.202 0.023
 56315.056 18.300 0.023
 56318.046 18.326 0.023
 56320.049 18.409 0.034
 56325.052 18.569 0.025
 56328.050 18.734 0.030
 56336.035 18.841 0.035
filter g
 56255.090 16.090 0.008
 56256.078 15.807 0.010
 56257.079 15.583 0.010
 56258.084 15.387 0.009
 56259.059 15.240 0.008
 56261.077 15.033 0.007
 56262.089 14.956 0.009
 56263.084 14.907 0.009
 56264.100 14.873 0.009
 56265.082 14.855 0.008
 56266.077 14.877 0.009
 56267.141 14.881 0.008
 56268.094 14.918 0.008
 56269.123 14.953 0.008
 56270.099 14.994 0.010
 56271.101 15.068 0.011
 56272.104 15.103 0.011
 56273.075 15.177 0.011
 56274.065 15.249 0.013
 56275.088 15.352 0.013
 56276.055 15.437 0.008
 56277.089 15.549 0.011
 56278.087 15.655 0.009
 56280.049 15.870 0.008
 56284.061 16.304 0.014
 56286.037 16.484 0.009
 56292.050 17.010 0.012
 56293.032 17.067 0.011
 56294.068 17.165 0.012
 56295.061 17.253 0.016
 56298.057 17.377 0.011
 56299.096 17.471 0.013
 56304.080 17.567 0.015
 56307.083 17.656 0.014
 56311.062 17.782 0.015
 56312.053 17.775 0.018
 56315.062 17.837 0.016
 56315.071 17.861 0.013
 56318.052 17.873 0.017
 56320.055 17.926 0.024
 56325.042 18.030 0.015
 56328.056 18.029 0.017
 56336.039 18.333 0.025
filter i
 56253.077 16.974 0.010
 56254.055 16.618 0.011
 56255.097 16.275 0.012
 56256.073 16.032 0.012
 56257.073 15.783 0.011
 56258.089 15.636 0.013
 56259.065 15.517 0.009
 56261.083 15.335 0.008
 56262.096 15.306 0.008
 56263.076 15.377 0.021
 56264.105 15.334 0.009
 56265.076 15.397 0.013
 56266.074 15.418 0.012
 56267.098 15.433 0.013
 56268.092 15.438 0.011
 56269.129 15.445 0.011
 56270.104 15.489 0.017
 56271.105 15.518 0.013
 56272.108 15.598 0.018
 56273.079 15.679 0.019
 56274.069 15.736 0.017
 56275.091 15.818 0.023
 56276.059 15.851 0.015
 56277.093 15.835 0.011
 56278.091 15.865 0.011
 56280.051 15.849 0.014
 56284.056 15.766 0.016
 56286.047 15.759 0.011
 56292.045 15.873 0.016
 56293.039 15.889 0.013
 56293.042 15.900 0.015
 56294.074 15.956 0.012
 56295.064 16.076 0.020
 56298.060 16.314 0.016
 56299.099 16.367 0.013
 56304.085 16.691 0.029
 56307.088 16.789 0.015
 56311.068 16.971 0.015
 56312.058 16.939 0.019
 56315.067 17.135 0.018
 56318.058 17.201 0.017
 56320.060 17.351 0.024
 56325.048 17.448 0.019
 56336.044 17.814 0.024
filter H
 56253.129 16.143 0.018
 56254.145 15.850 0.016
 56258.027 15.277 0.014
 56259.072 15.176 0.014
 56264.064 15.242 0.014
 56266.092 15.363 0.014
 56285.040 15.330 0.014
 56289.136 15.324 0.014
 56294.069 15.423 0.014
 56296.066 15.550 0.014
filter r
 56253.073 16.636 0.009
 56254.059 16.265 0.008
 56255.093 15.958 0.010
 56256.070 15.699 0.009
 56257.076 15.517 0.009
 56258.087 15.322 0.010
 56259.062 15.178 0.007
 56261.080 15.010 0.006
 56262.093 14.934 0.008
 56263.079 14.889 0.012
 56263.082 14.885 0.011
 56264.102 14.861 0.010
 56265.079 14.840 0.010
 56265.085 14.865 0.012
 56266.072 14.843 0.010
 56267.096 14.820 0.009
 56268.089 14.809 0.008
 56269.126 14.833 0.009
 56270.102 14.876 0.011
 56271.103 14.907 0.010
 56272.106 14.945 0.013
 56273.077 15.017 0.012
 56274.067 15.103 0.012
 56275.089 15.150 0.013
 56276.057 15.191 0.009
 56277.091 15.194 0.011
 56278.089 15.316 0.008
 56280.046 15.404 0.009
 56284.059 15.466 0.011
 56286.042 15.560 0.008
 56292.048 15.823 0.010
 56293.036 15.890 0.010
 56294.071 15.960 0.009
 56295.072 16.070 0.009
 56298.073 16.302 0.009
 56299.102 16.379 0.009
 56304.083 16.618 0.014
 56307.085 16.716 0.011
 56311.065 16.866 0.011
 56312.055 16.844 0.015
 56315.065 17.037 0.014
 56318.055 17.096 0.014
 56320.057 17.132 0.013
 56325.045 17.379 0.018
 56328.058 17.566 0.025
 56336.042 17.777 0.025
filter u
 56255.101 17.419 0.023
 56256.075 17.047 0.023
 56257.081 16.710 0.021
 56258.092 16.417 0.020
 56259.067 16.277 0.018
 56261.086 16.023 0.016
 56262.100 15.938 0.018
 56263.087 15.949 0.017
 56264.108 15.914 0.016
 56265.087 15.882 0.019
 56266.080 15.957 0.016
 56267.102 16.061 0.016
 56268.098 16.172 0.014
 56269.133 16.231 0.017
 56270.108 16.430 0.022
 56271.108 16.508 0.021
 56272.110 16.601 0.018
 56273.081 16.720 0.020
 56274.071 16.908 0.019
 56275.094 16.976 0.021
 56276.062 17.118 0.020
 56277.097 17.344 0.021
 56278.095 17.454 0.019
 56280.059 17.726 0.019
 56284.065 18.293 0.031
 56286.053 18.529 0.026
 56292.056 18.899 0.030
 56293.047 19.038 0.041
 56294.079 19.150 0.038
 56295.068 19.030 0.044
 56298.066 19.282 0.035
 56299.091 19.455 0.041
filter V
 56253.067 16.711 0.010
 56254.065 16.335 0.010
 56255.080 16.035 0.009
 56256.081 15.784 0.011
