SN2013aj 0.0091 208.5028 -7.9288
filter Jrc2
 56356.267 14.418 0.008
 56375.330 16.034 0.011
 56377.381 15.991 0.013
 56378.401 15.863 0.013
 56383.275 15.651 0.008
 56385.367 15.574 0.009
 56406.328 17.499 0.038
filter g
 56356.334 14.382 0.012
 56356.336 14.385 0.011
 56357.341 14.279 0.012
 56358.327 14.196 0.013
 56359.357 14.164 0.010
 56360.345 14.141 0.011
 56364.383 14.178 0.010
 56365.361 14.209 0.012
 56366.298 14.348 0.044
 56366.301 14.255 0.016
 56366.403 14.264 0.012
 56367.345 14.332 0.013
 56368.318 14.407 0.013
 56369.306 14.501 0.012
 56370.378 14.608 0.013
 56371.303 14.705 0.013
 56372.332 14.810 0.013
 56373.389 14.923 0.010
 56374.406 15.039 0.011
 56376.387 15.273 0.011
 56377.323 15.405 0.015
 56382.357 15.975 0.013
 56385.378 16.262 0.013
 56386.380 16.337 0.013
 56387.317 16.418 0.013
 56390.248 16.611 0.016
 56393.332 16.745 0.013
 56397.358 16.861 0.015
 56400.346 16.952 0.013
 56403.202 17.008 0.020
 56409.321 17.157 0.019
 56416.234 17.288 0.017
 56419.200 17.340 0.020
 56424.285 17.447 0.014
 56426.127 17.482 0.023
 56437.220 17.678 0.023
 56445.212 17.816 0.016
filter i
 56356.339 14.697 0.011
 56357.344 14.637 0.011
 56358.329 14.631 0.014
 56359.359 14.675 0.010
 56360.347 14.720 0.013
 56364.385 14.891 0.010
 56366.405 15.027 0.011
 56366.409 15.010 0.013
 56367.348 15.123 0.017
 56368.321 15.246 0.018
 56369.309 15.322 0.013
 56370.382 15.388 0.013
 56371.306 15.428 0.019
 56372.334 15.455 0.015
 56373.391 15.446 0.011
 56374.409 15.423 0.011
 56376.390 15.367 0.011
 56377.326 15.311 0.016
 56382.360 15.282 0.012
 56385.381 15.360 0.010
 56386.383 15.459 0.010
 56387.320 15.538 0.011
 56390.251 15.801 0.012
 56393.328 16.043 0.011
 56397.363 16.267 0.014
 56400.342 16.385 0.013
 56403.207 16.562 0.020
 56409.328 16.813 0.014
 56416.240 17.121 0.018
 56419.212 17.232 0.015
 56424.279 17.443 0.016
 56426.133 17.534 0.023
 56437.229 17.921 0.030
 56445.222 18.210 0.022
filter H
 56356.264 14.602 0.015
 56371.419 15.162 0.016
 56375.321 14.961 0.013
 56377.389 14.929 0.014
 56378.410 14.855 0.018
 56383.269 14.874 0.012
 56385.364 14.949 0.013
 56406.308 16.325 0.029
filter J
 56371.418 16.004 0.008
filter r
 56356.338 14.416 0.017
 56357.342 14.330 0.016
 56358.328 14.253 0.017
 56359.358 14.193 0.016
 56360.346 14.183 0.017
 56364.384 14.183 0.015
 56365.362 14.207 0.016
 56366.305 14.277 0.016
 56366.404 14.281 0.017
 56367.346 14.355 0.019
 56368.320 14.438 0.017
 56369.308 14.530 0.017
 56370.380 14.639 0.016
 56371.304 14.675 0.018
 56372.333 14.735 0.017
 56373.390 14.804 0.015
 56374.407 14.826 0.016
 56376.388 14.877 0.016
 56377.325 14.857 0.019
 56382.359 15.089 0.016
 56385.380 15.298 0.016
 56386.381 15.395 0.015
 56387.319 15.467 0.015
 56390.249 15.709 0.016
 56393.330 15.915 0.015
 56397.361 16.127 0.015
 56400.339 16.249 0.016
 56403.205 16.361 0.016
 56409.325 16.602 0.015
 56416.237 16.866 0.017
 56419.209 16.981 0.015
 56424.282 17.193 0.015
 56426.130 17.251 0.019
 56437.224 17.638 0.022
 56445.217 17.943 0.017
filter u
 56357.348 15.012 0.041
 56358.334 14.943 0.033
 56359.361 14.990 0.035
 56360.349 14.985 0.033
 56364.387 15.259 0.032
 56366.407 15.409 0.036
 56367.349 15.538 0.033
 56368.323 15.680 0.032
 56369.311 15.799 0.034
 56370.383 15.885 0.035
 56371.307 16.065 0.035
 56372.336 16.196 0.034
 56373.394 16.392 0.033
 56374.411 16.538 0.035
 56376.392 16.851 0.033
 56377.334 17.015 0.035
 56382.363 17.633 0.038
 56385.384 17.884 0.037
 56386.386 17.918 0.038
 56390.254 18.090 0.035
 56393.335 18.253 0.041
 56393.341 18.247 0.037
 56397.366 18.302 0.044
 56400.350 18.378 0.042
 56403.211 18.519 0.039
 56409.333 18.724 0.126
 56409.339 18.485 0.112
 56416.245 18.756 0.042
 56419.217 18.883 0.039
 56424.291 18.962 0.041
 56426.139 19.058 0.043
 56437.237 19.303 0.117
 56445.229 19.546 0.047
filter V
 56356.340 14.440 0.019
 56357.350 14.334 0.021
 56358.325 14.240 0.019
 56359.363 14.192 0.019
 56360.352 14.165 0.019
 56364.382 14.160 0.018
 56365.359 14.171 0.019
 56366.401 14.222 0.019
 56367.352 14.264 0.019
 56368.325 14.307 0.021
 56370.385 14.461 0.018
 56371.302 14.546 0.020
 56372.338 14.610 0.019
 56373.396 14.718 0.017
 56374.413 14.781 0.017
 56376.386 14.927 0.018
 56377.322 15.010 0.021
 56382.356 15.382 0.018
 56385.387 15.621 0.019
 56386.379 15.731 0.018
 56387.328 15.788 0.019
 56390.246 15.996 0.019
 56393.345 16.182 0.018
 56397.353 16.348 0.019
 56400.330 16.453 0.018
 56403.199 16.544 0.018
 56409.312 16.758 0.022
 56416.252 16.927 0.018
 56419.196 17.023 0.017
 56424.297 17.133 0.017
 56426.124 17.225 0.019
 56437.246 17.492 0.029
 56445.207 17.718 0.018
filter Y
 56356.254 14.585 0.011
 56371.416 15.346 0.012
 56375.316 15.182 0.012
 56377.386 15.066 0.011
 56378.406 14.979 0.009
 56383.257 14.672 0.009
 56385.355 14.614 0.010
 56406.279 15.992 0.011
filter B
 56356.342 14.466 0.023
 56357.351 14.359 0.026
 56358.324 14.309 0.024
 56359.364 14.294 0.029
 56360.353 14.220 0.024
 56364.380 14.322 0.023
 56365.358 14.359 0.024
 56366.400 14.460 0.024
 56367.354 14.510 0.024
 56368.328 14.650 0.025
 56370.386 14.885 0.028
 56371.301 14.968 0.025
 56372.339 15.117 0.025
 56373.399 15.259 0.023
 56374.414 15.416 0.025
 56376.384 15.693 0.024
 56377.320 15.824 0.026
 56382.354 16.410 0.026
 56385.388 16.665 0.025
 56386.377 16.776 0.025
 56387.329 16.832 0.024
 56390.245 17.002 0.024
 56393.346 17.132 0.028
 56397.355 17.262 0.025
 56400.334 17.352 0.027
 56403.196 17.418 0.025
 56409.316 17.543 0.037
 56416.255 17.657 0.023
 56419.193 17.721 0.023
 56424.300 17.816 0.026
 56426.120 17.842 0.026
 56437.250 18.122 0.059
 56445.202 18.142 0.022
