SN2013fy 0.0308 324.3630 -47.0319
filter B
 56594.054 16.539 0.007
 56599.065 16.344 0.010
 56599.068 16.340 0.009
 56599.070 16.341 0.011
 56600.081 16.348 0.011
 56602.075 16.372 0.010
 56603.052 16.406 0.008
 56604.074 16.449 0.010
 56605.057 16.493 0.008
 56607.081 16.602 0.011
 56609.087 16.728 0.009
 56609.093 16.719 0.010
 56611.067 16.892 0.012
 56612.091 16.996 0.014
 56619.042 17.750 0.010
 56620.056 17.858 0.009
 56623.062 18.154 0.015
 56631.031 18.853 0.023
 56636.052 19.071 0.036
 56640.027 19.305 0.040
filter g
 56594.041 16.490 0.008
 56599.049 16.294 0.007
 56600.086 16.280 0.006
 56602.078 16.305 0.009
 56603.039 16.329 0.007
 56604.067 16.332 0.008
 56605.047 16.386 0.006
 56607.085 16.462 0.006
 56609.078 16.570 0.007
 56611.071 16.716 0.009
 56612.099 16.818 0.010
 56619.055 17.440 0.009
 56620.063 17.538 0.009
 56623.047 17.799 0.009
 56631.036 18.454 0.015
 56636.059 18.776 0.021
filter i
 56594.046 17.209 0.012
 56599.055 16.970 0.012
 56602.081 16.978 0.016
 56603.041 17.001 0.015
 56604.070 17.035 0.019
 56605.052 17.072 0.013
 56607.087 17.113 0.015
 56609.076 17.239 0.014
 56611.073 17.412 0.018
 56612.097 17.443 0.017
 56619.057 17.541 0.015
 56620.067 17.522 0.015
 56623.052 17.458 0.013
 56631.040 17.379 0.012
 56636.063 17.637 0.016
 56640.036 17.938 0.017
filter H
 56607.073 17.486 0.025
 56612.055 17.610 0.035
 56617.080 17.573 0.036
filter r
 56594.042 16.611 0.011
 56599.051 16.364 0.010
 56600.088 16.319 0.007
 56602.079 16.310 0.010
 56603.040 16.297 0.009
 56604.069 16.293 0.010
 56605.048 16.319 0.006
 56607.086 16.387 0.007
 56609.075 16.492 0.007
 56611.072 16.602 0.009
 56612.096 16.673 0.009
 56619.053 16.955 0.011
 56620.065 16.959 0.010
 56623.050 17.005 0.009
 56631.038 17.232 0.010
 56636.061 17.561 0.012
 56640.034 17.762 0.014
filter u
 56594.048 17.028 0.015
 56599.060 16.921 0.013
 56602.083 17.057 0.016
 56603.043 17.186 0.019
 56604.071 17.234 0.023
 56605.054 17.297 0.016
 56607.089 17.462 0.021
 56609.081 17.723 0.025
 56611.075 17.973 0.031
 56612.101 18.036 0.042
 56619.059 19.068 0.032
 56620.070 19.178 0.032
 56620.075 19.204 0.028
 56623.055 19.502 0.043
 56631.044 20.181 0.067
filter V
 56594.051 16.595 0.011
 56594.052 16.593 0.009
 56599.073 16.371 0.010
 56600.079 16.339 0.010
 56602.076 16.356 0.012
 56603.045 16.341 0.011
 56604.073 16.355 0.013
 56605.056 16.373 0.009
 56607.083 16.432 0.010
 56609.085 16.484 0.011
 56611.069 16.609 0.010
 56612.093 16.671 0.013
 56619.046 17.071 0.011
 56620.060 17.130 0.012
 56623.059 17.291 0.009
 56631.033 17.726 0.014
 56640.021 18.348 0.028
filter Y
 56607.039 17.471 0.016
 56612.039 17.573 0.023
 56617.064 17.418 0.019
filter Jrc2
 56607.099 17.555 0.018
 56612.065 18.124 0.034
 56617.090 18.340 0.033
