SN2013ay 0.0157 280.6578 -64.9371
filter Jrc2
 56383.415 16.352 0.013
 56384.398 16.391 0.011
 56405.416 17.839 0.030
filter g
 56383.405 16.843 0.009
 56384.385 17.048 0.013
 56386.415 17.373 0.012
 56389.411 17.774 0.016
 56393.383 18.125 0.019
 56397.409 18.408 0.028
 56399.400 18.569 0.025
 56400.399 18.593 0.026
 56403.329 18.707 0.029
 56406.357 18.774 0.029
 56409.389 18.941 0.030
 56413.429 19.141 0.094
 56419.417 19.183 0.034
 56420.425 19.198 0.038
 56426.353 19.299 0.039
 56445.319 19.726 0.041
 56447.241 19.727 0.048
filter i
 56383.409 16.352 0.009
 56384.389 16.378 0.010
 56386.418 16.425 0.009
 56389.415 16.539 0.011
 56393.380 16.721 0.012
 56397.403 17.119 0.014
 56399.407 17.312 0.013
 56400.396 17.391 0.016
 56403.339 17.564 0.017
 56406.367 17.717 0.022
 56409.401 17.893 0.018
 56416.409 18.186 0.030
 56426.362 18.643 0.024
 56445.327 19.332 0.041
 56447.250 19.373 0.045
filter H
 56383.411 15.986 0.018
 56384.415 15.942 0.019
filter r
 56383.407 16.111 0.006
 56384.387 16.186 0.008
 56386.416 16.329 0.008
 56389.413 16.544 0.009
 56393.382 16.833 0.011
 56397.406 17.220 0.016
 56399.404 17.410 0.012
 56400.402 17.471 0.012
 56403.334 17.607 0.016
 56409.395 17.895 0.012
 56419.422 18.320 0.018
 56426.367 18.585 0.021
 56445.323 19.286 0.029
 56447.246 19.370 0.036
filter u
 56383.411 18.913 0.072
 56383.419 18.789 0.062
 56384.394 19.075 0.032
 56393.388 20.015 0.047
 56400.421 20.256 0.069
 56403.347 20.521 0.056
 56406.374 20.656 0.154
 56406.384 20.489 0.091
 56409.411 20.423 0.165
 56417.415 20.903 0.093
 56426.373 21.145 0.111
filter V
 56383.414 16.366 0.008
 56384.399 16.474 0.009
 56386.413 16.708 0.010
 56389.409 17.049 0.011
 56393.393 17.362 0.014
 56397.413 17.689 0.015
 56399.411 17.838 0.012
 56400.407 17.886 0.014
 56403.324 18.032 0.014
 56406.394 18.149 0.022
 56409.382 18.267 0.019
 56413.423 18.505 0.130
 56417.393 18.542 0.018
 56419.410 18.623 0.017
 56420.417 18.618 0.027
 56426.379 18.796 0.021
 56445.314 19.359 0.031
 56447.237 19.416 0.037
filter Y
 56383.394 16.047 0.011
 56384.410 16.042 0.013
 56405.401 16.709 0.014
filter B
 56383.416 17.364 0.020
 56384.402 17.538 0.018
 56386.410 17.918 0.021
 56389.407 18.301 0.030
 56393.396 18.619 0.051
 56397.417 18.836 0.064
 56399.415 18.970 0.052
 56400.412 19.002 0.063
 56403.319 19.111 0.078
 56406.346 19.169 0.071
 56409.369 19.322 0.061
 56409.376 19.380 0.065
 56416.384 19.374 0.139
 56419.404 19.548 0.096
 56420.411 19.501 0.162
 56426.384 19.666 0.118
 56445.310 19.986 0.100
 56447.232 19.933 0.181
