PTF14w 0.0189 180.8804 2.0428
filter B
 56663.309 16.687 0.012
 56664.336 16.497 0.007
 56665.308 16.378 0.006
 56666.322 16.277 0.009
 56667.308 16.218 0.007
 56668.313 16.216 0.016
 56669.306 16.171 0.005
 56670.346 16.208 0.012
 56671.310 16.206 0.011
 56672.340 16.212 0.011
 56673.346 16.298 0.011
 56675.356 16.453 0.014
 56677.306 16.669 0.014
 56680.365 17.105 0.019
 56681.349 17.247 0.013
 56682.319 17.408 0.011
 56684.348 17.689 0.013
 56685.273 17.817 0.015
 56686.326 17.943 0.014
 56687.282 18.058 0.014
 56689.306 18.306 0.016
 56690.288 18.382 0.015
 56694.215 18.726 0.024
 56696.348 18.867 0.019
 56698.317 18.954 0.022
 56699.214 19.017 0.050
 56701.222 19.069 0.045
 56708.250 19.335 0.054
 56709.304 19.301 0.038
 56710.307 19.322 0.032
 56711.328 19.333 0.030
 56712.398 19.450 0.073
 56713.376 19.409 0.035
 56720.288 19.538 0.027
 56725.275 19.604 0.027
 56742.240 19.881 0.026
 56752.124 20.063 0.029
 56758.187 20.223 0.108
 56765.191 20.203 0.062
filter g
 56663.319 16.592 0.007
 56664.340 16.418 0.007
 56665.314 16.303 0.005
 56666.330 16.193 0.012
 56667.293 16.152 0.006
 56668.300 16.106 0.007
 56669.313 16.077 0.005
 56670.341 16.093 0.009
 56671.301 16.090 0.008
 56672.331 16.126 0.006
 56673.350 16.168 0.008
 56675.360 16.305 0.010
 56677.310 16.470 0.011
 56680.350 16.804 0.013
 56681.341 16.935 0.012
 56682.329 17.046 0.007
 56684.336 17.304 0.006
 56685.266 17.420 0.008
 56686.331 17.561 0.007
 56687.286 17.676 0.008
 56689.289 17.890 0.010
 56690.293 18.013 0.010
 56694.219 18.397 0.012
 56696.356 18.547 0.015
 56698.306 18.636 0.011
 56699.206 18.725 0.027
 56701.230 18.738 0.026
 56703.325 18.828 0.065
 56708.238 18.974 0.023
 56709.291 18.939 0.022
 56710.287 18.986 0.019
 56711.310 19.032 0.018
 56712.388 19.111 0.023
 56713.365 19.092 0.018
 56720.300 19.191 0.018
 56725.255 19.281 0.016
 56742.220 19.565 0.020
 56752.105 19.742 0.018
 56758.201 19.952 0.059
 56765.224 19.996 0.046
 56765.226 19.988 0.057
 56795.040 20.514 0.017
filter i
 56663.320 16.855 0.011
 56664.343 16.693 0.008
 56665.318 16.585 0.006
 56666.336 16.527 0.010
 56667.297 16.558 0.007
 56668.304 16.581 0.009
 56669.318 16.615 0.007
 56670.339 16.633 0.014
 56671.304 16.647 0.015
 56672.334 16.657 0.009
 56673.353 16.705 0.011
 56675.363 16.877 0.017
 56677.313 17.086 0.017
 56680.352 17.210 0.018
 56681.338 17.199 0.013
 56682.332 17.188 0.011
 56684.333 17.101 0.010
 56685.262 17.088 0.010
 56686.335 17.050 0.009
 56687.289 17.023 0.008
 56689.293 17.010 0.009
 56690.296 17.045 0.013
 56694.223 17.349 0.014
 56696.355 17.556 0.013
 56698.304 17.718 0.012
 56699.204 17.769 0.014
 56701.234 17.887 0.017
 56703.328 18.080 0.031
 56708.236 18.260 0.021
 56709.290 18.267 0.020
 56710.285 18.367 0.022
 56711.308 18.385 0.021
 56712.386 18.428 0.018
 56713.364 18.500 0.022
 56720.304 18.735 0.023
 56725.260 18.945 0.021
 56735.277 19.349 0.048
 56742.225 19.520 0.029
 56752.090 19.905 0.103
 56752.095 19.869 0.062
 56758.204 20.032 0.078
 56765.205 20.210 0.037
 56795.018 20.944 0.068
filter H
 56666.305 16.371 0.071
 56669.293 16.638 0.027
 56671.277 16.713 0.038
 56674.335 16.926 0.031
 56677.329 17.051 0.025
 56682.363 16.990 0.024
 56700.245 17.433 0.042
 56725.256 18.771 0.128
filter r
 56663.317 16.610 0.010
 56664.342 16.436 0.008
 56665.316 16.314 0.005
 56666.333 16.199 0.007
 56667.295 16.175 0.007
 56668.302 16.141 0.007
 56669.315 16.089 0.005
 56670.340 16.092 0.011
 56671.302 16.076 0.011
 56672.332 16.089 0.007
 56673.351 16.120 0.007
 56675.361 16.234 0.010
 56677.312 16.401 0.014
