comb,m1,m2,m3,Tmax,Tmax_err,st,st_err,gmax,gmax_err,rmax,rmax_err,Jmax,Jmax_err,Hmax,Hmax_err
1,-10.10390803777409,,,56623.27101914888,0.04327207284477875,0.6348281831009779,0.006414857023368142,14.982308452483108,0.0054259459182248535,14.919659131148347,0.005316463252420645,,,15.364003751038434,0.26370360758621103
2,-1.168847857567016,,,56623.27073674646,0.043272729240832315,0.6348166884132203,0.00641487649509869,14.982421541472807,0.005425902241806878,14.919423939923243,0.005316438020849864,,,15.1741788960088,0.10224299031455011
3,-0.1634379656825331,,,56623.270771299016,0.04327233234030211,0.6348183121308771,0.006414825148545639,14.982407931065532,0.005425866936000419,14.91945279843852,0.005316402811557279,,,15.189067320176264,0.09939627776507338
4,0.8030114449211396,,,56623.270766332855,0.5032723799768017,0.6348180127674335,0.006414830670504335,14.982410284707177,0.005425870391089841,14.919448128837168,0.005316404718889143,,,15.181911510937471,0.11722525319394873
5,14.819071741090738,,,56623.27092825891,0.113271963322185,0.6348262747443796,0.006414805997234525,14.982345180274187,0.005425885525902527,14.91958415065239,0.005316406148697476,,,15.203563498797845,0.11680035765362488
6,24.77889017060079,,,56623.27099871828,0.11327194966370985,0.6348278543576364,0.00641483043337142,14.98231491451888,0.005425920312264374,14.919645973818033,0.0053164385450035195,,,15.368276134193284,0.1842099048513837
7,26.794279807043495,,,56623.270970192956,0.11327198949889929,0.6348265885650896,0.006414828945183482,14.98232661248335,0.005425913021545067,14.919621668978047,0.005316433374728448,,,15.34080638968276,0.20353869367179772
8,30.776188827374426,,,56623.27092228373,0.11327208663211488,0.6348245066018697,0.006414830360391825,14.982346284034369,0.005425903934875125,14.919580790738596,0.005316427799257189,,,15.295784088527997,0.25666915913776456
