comb,m1,m2,m3,Tmax,Tmax_err,st,st_err,gmax,gmax_err,rmax,rmax_err,Jmax,Jmax_err,Hmax,Hmax_err
0,-2.8922092890405793,1.1127907109594162,13.985000000000014,833.7872092890406,0.07099215189175,0.8110526726229065,0.005008414088146104,14.31467227654841,0.00459982372646303,14.432322274892508,0.003991452049934946,14.807759093029365,0.020520330011268746,14.98283109750317,0.02182010780862327
1,-2.8961441516333934,2.7738558483666034,18.980000000000018,833.7911441516334,0.07806723269064966,0.8100182504039761,0.005499312808970924,14.314174040119951,0.005068825643997822,14.43221578091267,0.004399797782753622,14.809289273805172,0.022772815625952618,14.96175223883982,0.02464078663980608
2,-2.892600649573751,3.770732683759585,21.960000000000036,833.7876006495737,0.07396843056485145,0.8105372073616557,0.0052110652200771275,14.314380969424656,0.004795525592024476,14.432226169846865,0.0041621975376826634,14.806131306890206,0.021420298553547178,14.97450189388734,0.02362945776065479
3,-2.8870960433763457,5.12457062329031,26.004999999999995,833.7820960433763,0.07283898366005338,0.8114078686979815,0.0051261908196059665,14.31472879126823,0.004714747870575945,14.43228298375112,0.004092220078866639,14.804931422791595,0.021001237698185314,14.980281489950801,0.02321992445170575
4,-2.892593309961512,6.774073356705117,30.969999999999914,833.7875933099615,0.07060812998843351,0.8110451941559836,0.004967772231427399,14.314673763258178,0.0045695879305493676,14.432346813980788,0.003967310589729946,14.810055456354567,0.020354663088675104,14.990792259656521,0.023424061812868935
5,-2.8925241506719885,7.782475849327966,33.99499999999989,833.787524150672,0.07097635949693575,0.8108791707863569,0.004957230214201281,14.314568921897385,0.004598494596072239,14.432321897813091,0.003998319759525926,14.811026263887198,0.020626747520827427,14.99079851311009,0.023286173451980856
6,-2.8929884907357746,8.10534484259756,34.96500000000003,833.7879884907358,0.07086075161459028,0.810819611413017,0.004935556494365325,14.314546923483842,0.004596336191035463,14.43232158220569,0.0039984377788175535,14.810944462711218,0.02063721174103964,14.990464516873068,0.0233441792796044
7,-2.9021278649726128,9.429538801694056,38.96500000000003,833.7971278649726,0.07113388153531328,0.8098242672342301,0.004959962761105432,14.314242972632984,0.004641541135770833,14.432299095479953,0.004036510329306339,14.810201633730017,0.020935093547259184,14.996925909357781,0.02401273575748454
8,-3.8817895567352707,7.106543776598073,18.980000000000018,833.7917895567352,0.07803637543717137,0.8100502609148862,0.005494455144636505,14.314209953578782,0.005058177936906097,14.432242904450208,0.004391162049623734,14.811061643595831,0.030647974455281085,14.951227594150653,0.027152048822606356
9,-3.877786439949432,8.103880226717251,21.960000000000036,833.7877864399494,0.07434995905192375,0.8105402337437243,0.005234645710306658,14.314390325191116,0.004810670485707036,14.43222764805319,0.004176091448485702,14.805274979227285,0.028842825219099633,14.966385192076181,0.026240168596633785
