name,z,ra,dec,st,st_err,s_gr,s_gr_err,gmax,gmax_err,rmax,rmax_err
ASAS15hx,0.0083,205.8195,-31.556,1.0698478530434972,0.007878855020527242,1.1366666669186087,0.0017396932574948647,13.142704031583827,0.003774877776046979,13.288888167213715,0.005043990701193504
SNhunt281,0.0041,226.3753,1.634,0.7006873686787948,0.007796369936620862,0.7380000001707231,0.00247235583331944,13.623478736870311,0.006496323273857994,13.677037234657016,0.006125659336066531
SN2005hc,0.0459,29.1998,-0.2137,1.1288472698259637,0.009119134856984547,1.1750000002597516,0.0017773498295841474,17.274045493772764,0.0025559922036630348,17.395258841473204,0.003587053673271388
SN2012fr,0.0055,53.4004,-36.1261,1.1286373822326006,0.007387148554588881,1.1410000002528249,0.0012489833249722533,11.910051944511892,0.003249931918694987,12.08029296325964,0.004426008028516784
SN2005kc,0.0151,338.5306,5.5684,0.9012939382551479,0.01241232756789966,0.969000000217784,0.002916667940081333,15.469079440478074,0.009867717690421255,15.294734361486269,0.009251336495101691
SN2006kf,0.0213,55.4603,8.1569,0.7457573767571595,0.00782896003174988,0.8010000001835579,0.002305030281624501,15.908527868692337,0.007178229332493442,15.993242492087111,0.006263664003882487
SN2005ki,0.0192,160.1176,9.2023,0.8329832352054501,0.004459618716468449,0.8896666668682883,0.0016815036228977943,15.532277820972668,0.004158801689366597,15.68211907234976,0.0037425712119795447
SN2012hd,0.0119,18.5311,-32.6521,0.8736532918789401,0.008390968062288836,0.9200000002078014,0.002341784898773839,14.804667833587342,0.00803095313629387,14.738089942243327,0.007564469590842623
SN2004eo,0.0157,308.2258,9.9285,0.8172569113059021,0.008551697105845045,0.8720000001980225,0.0024269216652148293,15.035559772480005,0.00998566014578436,15.029248604298585,0.007994604111019004
PTF14w,0.0189,180.8804,2.0428,0.7382169727750266,0.0041114215869790405,0.7850000001802983,0.001218310232220227,16.044397062278005,0.0038221020936512313,16.06490713758387,0.0035208798603682786
SN2013gy,0.014,55.5703,-4.7218,0.898939049456095,0.0068901593426894244,0.9543333335481293,0.002569778278567703,14.691803701299627,0.006860340750704086,14.737863154206586,0.006656463369916873
ASAS15bm,0.0208,226.4649,-5.627,1.0052865487806393,0.010191113919708344,1.1333333335845963,0.0023474158767039363,15.715245059793851,0.006768463467203642,15.648821933169772,0.007929182644319608
SN2007af,0.0055,215.5876,-0.3938,0.9304407070496077,0.0071019008245821295,0.9913333335556672,0.0021827578630828166,13.080572847836413,0.007128154725269046,13.09662641944991,0.006712258950717479
SN2012ht,0.0036,163.3448,16.7764,0.8480711705944612,0.0031459296240211204,0.8890000002014858,0.001307347473365217,12.964198284976337,0.004974512359816194,13.104955117373198,0.004354815546846346
SN2006hx,0.0455,18.4888,0.3717,0.9331854356905617,0.025309080779947195,0.9990000002238958,0.006757587083259903,17.486622884718475,0.03572650804401819,17.43667484164886,0.030815098825702488
SN2005M,0.022,144.3848,23.2007,1.2128860308536482,0.002568599978993323,1.1870000002621963,0.0008245055779409891,15.870452905082157,0.0017817802006103015,16.006133854435532,0.0019339882644711713
SN2009ab,0.0112,64.1516,2.7642,0.8818855375198802,0.007835951542209067,0.9396666668784747,0.0023949826304818654,14.65145074977676,0.006954401462485856,14.70933989164003,0.006469447420019403
SN2008ar,0.0261,186.158,10.8382,1.189216258681556,0.02133836155868493,1.1683333335917268,0.006129413000590803,16.24967035219061,0.014941742522154572,16.38307084220104,0.016230075533226498
SN2013aj,0.0091,208.5028,-7.9288,0.7786324939995716,0.004766213033161006,0.8270000001888548,0.0015706536238994104,14.004747679646803,0.004639728844718152,14.111140247145112,0.004768559272496428
SN2007ca,0.0141,202.7742,-15.1018,1.0524617032469727,0.012917649752446738,1.1423333335864299,0.0035375689269116894,15.753936929162803,0.006004365998679276,15.586398108921056,0.00723802025748875
SN2008hj,0.0379,1.008,-11.1687,0.9983161073784402,0.007152387260334553,1.1153333335809292,0.0017278580304414609,16.742486982024626,0.0036471296166073045,16.858464577888967,0.004273471050160424
ASAS14lw,0.0209,16.7049,-46.9833,1.1375534622310264,0.01897469449533509,1.1570000002560845,0.0035537877872392812,15.541211156443039,0.00773561525998102,15.709042122081728,0.012263034548494966
PTF13ebh,0.0133,35.4999,33.2705,0.6353736913593306,0.006484540936035266,0.7000000001629815,0.0014586123214369439,14.982153573251633,0.005485980576299019,14.922617113968059,0.00537474662560618
ASAS14hu,0.0216,100.8622,-69.6374,1.074060845749807,0.011692774228904773,1.149333333587856,0.0022074710252076306,15.396958532651098,0.00522398075177598,15.560516878093209,0.0071189691041377
SN2006et,0.0222,10.6909,-23.5584,1.1604738135303156,0.008241105178306344,1.1626666669239056,0.0018158180375131313,15.895334746576701,0.003890147986748156,15.84232008940204,0.004174971244309634
SN2012hr,0.0076,95.4102,-59.7141,0.971683342240137,0.004571223948226543,1.0493333335674833,0.001412161193776992,13.57787818637299,0.004439146971534911,13.702004174186893,0.004504661220813398
SN2007on,0.0065,54.7121,-35.575,0.5951977203673873,0.0107105072109887,0.6766666668248945,0.017949731613107724,12.935383349532907,0.00876487247209294,12.971337604729165,0.007988718613218596
SN2009aa,0.0273,170.9262,-22.2707,0.9020982821746841,0.005277796883296876,0.967666666884179,0.0012284850267337089,16.26286240447325,0.004521082679989712,16.3651261153298,0.004799465174473093
SN2008fp,0.0057,109.1358,-29.3255,1.0871145272437228,0.01480109471470096,1.1373333335854112,0.0032607679241884865,13.708784979286369,0.0055073659532122845,13.42102617817828,0.007782185486795322
SN2012gm,0.0148,349.4043,14.0025,0.9843971199666289,0.005603627624261702,1.0996666669110708,0.0009582555473791555,15.240000460287721,0.0022290072250096497,15.149276807352868,0.002620414193961008
ASAS14lp,0.0051,191.2879,-0.459,1.1116774554797313,0.00962908774096564,1.13700000025201,0.001909040310530407,12.041482634145499,0.003658285541156193,11.935673649218742,0.005327988818173004
SN2009I,0.0261,41.2933,-4.7137,1.0728404922771961,0.04384497609611357,1.1540000002554733,0.0102585042159093,17.903946447446465,0.01656018490925996,17.271876423367438,0.020444873022662048
SN2005el,0.0149,77.953,5.1943,0.8513125477328659,0.006439961486835591,0.8990000002035231,0.017563222024250053,14.857039088218988,0.009162889342589079,15.06008319112741,0.006386505886794025
SN2009ds,0.0192,177.2671,-9.7291,1.118328566736297,0.025977502314402576,1.153666666922072,0.003797439122464367,15.42827361251216,0.007056038706732413,15.431344836184724,0.009646450955050423
SN2013M,0.0349,209.9862,-37.8637,0.9146100072992893,0.00731759969888308,0.9816666668870312,0.0026900591080216917,16.59873163786372,0.007151792733888583,16.62379280146406,0.0068245555589278245
LSQ13ry,0.0298,158.2,4.1977,0.8648757929762741,0.004836660952458705,0.9246666668754188,0.0015283916146046114,16.524513412273325,0.0075678070207633626,16.67556021905125,0.00503608580852328
SN2015F,0.0049,114.0657,-69.5064,0.846619470605272,0.006241449507721366,0.894666666869307,0.0018408411772901485,12.682836579231692,0.007861061039814002,12.672300208309514,0.006177728507785526
SN2008bc,0.0151,144.6301,-63.9738,1.0436926575640888,0.008804012396823045,1.1360000002518063,0.001890459801102972,14.71703538612511,0.004646389688014475,14.89717958773016,0.004954525034102135
SN2008hv,0.0125,136.8919,3.3923,0.8490691050490865,0.005116451781507236,0.9003333335371281,0.0014560495411760279,14.699750101656493,0.007117036091712435,14.85104911564798,0.0057422089678735525
ASAS14mw,0.0274,25.3548,-65.617,1.0483648345460304,0.008331585408380426,1.1470000002540472,0.002396672992279511,15.840214195098211,0.004165079809873985,16.013041442106307,0.005919647766116561
SN2007bd,0.031,127.8887,-1.1994,0.8812552612262549,0.008781154498943289,0.9530000002145244,0.0025624581730414853,16.501152662602525,0.010310152165489259,16.605865833168796,0.008950278635918825
SN2008gp,0.0334,50.753,1.3619,0.980112617942394,0.010403225060383225,1.0976666669106634,0.0035404775684828955,16.40992846367109,0.008962204062497937,16.57374083409744,0.009343074991426904
SN2014I,0.03,85.5825,-25.5444,0.8989688604815665,0.0051227387291071175,0.9620000002163579,0.0020626860316992636,16.290937169285716,0.004993328923747278,16.362934777928977,0.005319892935563499
SN2007le,0.0067,354.7017,-6.5226,1.0473986291739954,0.007012576578649308,1.1283333335835777,0.0015893290518426112,13.752397139864836,0.00413749761661268,13.54709349353217,0.0050854347190075365
SN2011iv,0.0065,54.7139,-35.5922,0.6648385755541193,0.00759649706497843,0.7146666668326361,0.0019444547273779291,12.382043472315774,0.0059903822852449395,12.44108187403495,0.004720645629845779
SN2006X,0.0052,185.725,15.8092,1.027339547183923,0.013023140120918236,1.1210000002487504,0.0036013014146104283,14.70735558279293,0.007649049027138049,13.581061987543531,0.010062982151573032
SN2008bf,0.0235,181.0121,20.2452,1.0168229522136791,0.006762455728063782,1.1326666669177938,0.0015794698474031793,15.673233792501808,0.004609961964692483,15.876242046328233,0.004952870972088913
ASAS14my,0.0205,174.6249,-8.9766,0.9143425204687332,0.007975680938352147,0.977333333552815,0.002160181921111078,15.562325982311908,0.008367536649294597,15.60005346453206,0.007906049556716754
SN2007S,0.0139,150.1302,4.4073,1.1422901391931817,0.013823353621173241,1.1500000002546584,0.0028517495677437446,15.589726059704807,0.006284811819680844,15.313445156076304,0.009019341102960193
SN2006ax,0.0167,171.0144,-12.2914,1.0081331821394246,0.007524372400620575,1.1210000002487504,0.017017790072905145,15.018595262981036,0.005963080500569882,15.199255062370332,0.006251579680217966
