Y,B,H,r,g,i,u,J,V,Tmax,Tmax_err,st,st_err,first_phase,name,step,K
3.6712222222219375,1.3993666666666589,3.6696666666660653,1.3989000000001397,1.447103448275874,1.3988666666666782,1.398833333333217,2.1634999999999613,1.4431851851851982,57151.682524220574,0.05219079772484594,1.0698478530434972,0.007878855020527242,-11.489524220574822,ASAS15hx,0,
,,,2.7978000000002794,2.9236428571431525,,,,,57151.71662765385,0.0818965376344447,1.0610737130491714,0.012081078147894228,-11.523627653848962,ASAS15hx,2,
,,,2.8513571428572635,2.8539999999998793,,,,,57151.65487239341,0.06812246703009375,1.0764305793517752,0.0103435424462481,-9.451872393408848,ASAS15hx,2,
,,,2.854214285714469,2.9187692307694726,,,,,57151.71662765005,0.0851093770308141,1.0610737143599869,0.012555023574142982,-8.536627650049923,ASAS15hx,2,
,,,2.91892307692335,2.916692307692406,,,,,57151.62488156648,0.08110506764984171,1.079641978334774,0.011611184523734526,-7.382881566481956,ASAS15hx,2,
,,,2.9167692307696247,2.7361666666668802,,,,,57151.70948163678,0.12528550572940675,1.0619231051640239,0.016035441375327093,-3.419481636781711,ASAS15hx,2,
,,,2.736333333333581,2.5764166666667734,,,,,57151.54526255605,0.18916351845266471,1.0879649284270538,0.020207918834550167,-0.3032625560517772,ASAS15hx,2,
,,,2.5762500000000728,2.6216363636366706,,,,,57151.32354107897,0.2879647605457593,1.0883056745549093,0.03927119537168131,0.9624589210288832,ASAS15hx,2,
,,,4.196700000000419,4.440888888888973,,,,,57151.60278805877,0.09878872493186726,1.0723121942519587,0.013718206592376204,-11.409788058772392,ASAS15hx,3,
,,,4.328222222222798,4.324555555555788,,,,,57151.74789009112,0.09839674705290831,1.0628105375684036,0.015652585786188465,-9.544890091121488,ASAS15hx,3,
,,,4.3251111111110525,4.3309999999999285,,,,,57151.683947422316,0.09045769874402931,1.070713912882806,0.013532477492516253,-8.503947422315832,ASAS15hx,3,
,,,4.331000000000738,4.489875000000211,,,,,57151.60278805877,0.10516862870402952,1.0723121942519587,0.014604146137059704,-7.360788058773323,ASAS15hx,3,
,,,4.490000000000691,4.10425000000032,,,,,57151.76517275498,0.13270223466929704,1.0604698070262053,0.019362162521762642,-3.475172754981031,ASAS15hx,3,
,,,4.104500000000371,3.86462500000016,,,,,57151.430998722826,0.20239583444166742,1.0993800300595478,0.024548424877759895,-0.1889987228278187,ASAS15hx,3,
,,,3.864375000000109,3.982142857142857,,,,,57151.30120203506,0.3424058480598564,1.0974891767408805,0.045084400855259305,0.9847979649421177,ASAS15hx,3,
,,,5.7098571428578,5.847285714286305,,,,,57151.715346231336,0.13023645324173086,1.0701974616922862,0.02173136693013253,-11.522346231336996,ASAS15hx,4,
,,,5.702714285714527,5.707999999999759,,,,,57151.66593396502,0.09562576908203407,1.0744219663157417,0.013054926429392077,-9.462933965020056,ASAS15hx,4,
