name,Tmax_gr,Tmax_err_gr,Tmax_grJH,Tmax_err_grJH,Tmax_AllBands,Tmax_err_AllBands,gmax_gr,gmax_err_gr,gmax_grJH,gmax_err_grJH,gmax_AllBands,gmax_err_AllBands,rmax_gr,rmax_err_gr,rmax_grJH,rmax_err_grJH,rmax_AllBands,rmax_err_AllBands,Jmax_gp,Jmax_err_gp,Jmax_grJH,Jmax_err_grJH,Jmax_AllBands,Jmax_err_AllBands,Hmax_gp,Hmax_err_gp,Hmax_grJH,Hmax_err_grJH,Hmax_AllBands,Hmax_err_AllBands
SN2005hc,1.1281509892495507,0.03137234744353818,1.1289117491484228,0.031205561170164813,1.1926947540864399,0.0305296777567538,17.27381757039148,0.014234506362714585,17.271802141924752,0.014224394932695537,17.261646926101676,0.01453245603154594,17.39493152915608,0.02229581011671605,17.39872418747693,0.022275188618665155,17.41873013668633,0.02241368207879378,17.60782546583713,1.1272160625937975,17.96212811229612,0.048523529220162225,17.927304740980183,0.05286117147503892,17.27719617053874,0.4553828004909615,18.003140920818826,0.07944675844500484,18.04154742288219,0.09670301170016722
SN2005kc,0.9012981342768225,0.03245548663515589,0.9055845830391502,0.031209038354527326,0.8984934100755222,0.030543371356776657,15.464982543330315,0.017117495997680296,15.466691990849714,0.015683535624618244,15.460162099056245,0.015664359018606997,15.304736144171743,0.023859237936019184,15.302013523162595,0.023001927449876954,15.303543852996986,0.023131532091371268,15.48033370485552,0.013576576862465595,15.402359610769247,0.04751554213976004,15.394389470223086,0.04806372029923597,15.048976622499563,0.7830199264422654,15.594544264554626,0.059597481000172876,15.593735859638105,0.06039260551851468
SN2006kf,0.7459316877986688,0.031017788361158597,0.7430516958104045,0.03053405376928158,0.7328445544275891,0.030258339933337663,15.908352304250402,0.01575632884562385,15.907451137844596,0.01502805762635224,15.896519913908167,0.015057302352390138,15.99314516345437,0.0228864839189506,15.988735077283673,0.02252890876248669,15.988007888031895,0.022631534225921433,16.39440933916284,0.013236687510526892,16.259179787852293,0.04563328592016988,16.257498221804063,0.04590459208322493,15.827874980778626,0.37624130388867527,16.38919646231061,0.06234691453496963,16.403918540634766,0.06369180354933769
SN2005ki,0.8330283669679123,0.030331651727716416,0.8294818053598911,0.030281165934484055,0.8258947932611158,0.030120285977565702,15.53223243031912,0.014607958713582458,15.530672179048242,0.014544688866683916,15.532746013821136,0.014513181173469695,15.682160016316876,0.022317783365770026,15.683264611499014,0.022284617668191568,15.68200133144036,0.022310088363839766,16.072869421627924,0.013258504009174995,16.124798660120923,0.045994136800913944,16.11464937875152,0.04624864427032891,16.230379151273308,0.027829828203882342,16.269499462107408,0.0582900692850339,16.28207874262474,0.05871100902397703
SN2004eo,0.8174936271069381,0.031203698378175906,0.81808912794573,0.030945252204118423,0.81639006671055,0.030357597988775308,15.03440221705815,0.017322122470252367,15.034252429582827,0.01675334412579396,15.030383807807675,0.01631673931642921,15.028798301708141,0.023413861494557178,15.028017048552009,0.02317247603185596,15.024144424301118,0.023206955427863395,15.507536275166672,0.011015146321484882,15.422794667557723,0.05188216492615149,15.417056677382424,0.052458465788025266,15.700388736515889,0.022260636554353345,15.612700861936855,0.06653131556479376,15.62459639416261,0.06733022808734662
SN2007ba,0.588017208016159,0.033248858387519974,0.5867480333883802,0.03210233761869077,0.5416465282601163,0.030685843998707704,17.582886252435586,0.01866050213801919,17.58275579376191,0.017315089907511877,17.540098445932667,0.017443962289012946,17.378978772562267,0.025643109774384706,17.369548744561072,0.024568331988316275,17.352441397332502,0.02532261476769481,17.6063511923372,0.023196692196740244,17.61722947379529,0.05358612276355273,17.601188760485144,0.05605000749772833,17.278292161381,0.15004722169422588,17.519294922104304,0.09862081351773874,17.589361976151263,0.10735390043422617
SN2006bh,0.811096452314627,0.030457273209896118,0.8054919999622904,0.030322720001395242,0.802146682528914,0.030125765230263786,14.314958079729774,0.014806564328667048,14.311996297791724,0.014664643100888245,14.311959878968777,0.014543094458319812,14.431995305108094,0.022394142864421242,14.431912298263356,0.022331861423036573,14.434456251202638,0.022304807649122294,14.805025150312295,0.015062826416991176,14.811154047358514,0.04639110593469896,14.806956413979773,0.04630657532561225,15.010284695692881,0.011150483653075263,14.949181077872234,0.05663049649863784,14.954593037779897,0.05657543956396268
SN2006gt,0.5878120558318398,0.035169645656922814,0.5849713804723774,0.03331490725054291,0.554698112790878,0.030897087552259977,18.099224294436755,0.01589118317584055,18.101233952102017,0.015563451779680965,18.04843222011819,0.016009085552566995,18.06735657355234,0.023217189188014672,18.05526582234829,0.02303580007090657,18.06981443871194,0.023464499521099916,17.696513482817092,1.0447571990551712,18.094416263114457,0.06507680889076957,18.11917220770673,0.06347846709113092,17.945032188383422,0.33886157014538243,18.2889056982339,0.10976549152765486,18.385235989119096,0.12336319662918539
SN2007af,0.9311967227445604,0.030906766706493945,0.9347868842352478,0.030287330191475312,0.9254390604039407,0.030128141642116378,13.081144251990015,0.015989046211904043,13.08365257403487,0.014940507554887341,13.0760537657589,0.014917045665037662,13.09630731885476,0.023117937182911608,13.098228982512937,0.022533713090197003,13.092363475634885,0.022531632527628118,13.502006846223852,0.005153282645429072,13.473466331510224,0.0446207623407415,13.467473522126875,0.044684395950367044,13.642739799036475,0.00824835338969706,13.622700889848756,0.05577176026917707,13.618251988275942,0.05582720433065827
SN2009ad,1.017860416721089,0.0316067324571559,1.0194048919220884,0.030983670814919775,1.0145266517933977,0.030621593203019288,16.137663767518944,0.015458886959569014,16.137645485644953,0.014909083716869722,16.135525464317364,0.01523379959662761,16.256337117529135,0.02319059434601364,16.256295561024608,0.022739383325307175,16.266535062030552,0.023008887375331084,16.40406837767491,0.8208492912736033,16.768570907712935,0.04642841727652899,16.70024927548583,0.0480512621091142,16.330597066184275,0.24173349814686135,17.069623803698885,0.06431515275121438,17.10967047732014,0.07032735502645829
