name,z,Tmax,Tmax_err,st,st_err
ASAS15hx,0.0083,57151.63674017705,0.0305981659184436,1.0663456018822626,0.0048738000517662
SNhunt281,0.0041,57112.68603467698,0.0384394783608186,0.6812468306679608,0.0043383527594608
SN2005hc,0.0459,53667.152509505846,0.05837749087727,1.1928599356519836,0.0056157190940327
LSQ11ot,0.0273,55927.64974718743,0.0496044139613588,0.9837534033946228,0.004968644413521
SN2012fr,0.0055,56243.3111455137,0.0245880091097336,1.116510411853506,0.0045514900785428
SN2005kc,0.0151,53697.76447708543,0.0418629270769628,0.8994609745079016,0.0057128686412009
SN2006kf,0.0213,54041.318700373566,0.0377312717808863,0.7335609736081632,0.003931189896987
SN2011jt,0.0278,55928.61802663575,0.463310736288616,0.9467315456798828,0.0285796361110342
SN2005ki,0.0192,53705.34216958375,0.0321337618673774,0.8256496607146071,0.0027221729707154
ASAS15dd,0.0244,57076.28443582778,0.1628084416100745,0.8289917994552537,0.0051029043403887
SN2009P,0.0251,54868.40374984546,0.2745581168191698,1.0932897104157453,0.0300470323067054
SN2008hu,0.0497,54806.52244699655,0.1756672969299003,0.7853520255515047,0.0082405133293155
SN2012hd,0.0119,56265.53027484128,0.0401017159675292,0.8707990443500807,0.0048422085802839
CSP13abm,0.0282,56658.37648369895,0.0757148454456342,1.1175137090193683,0.0117148083346696
SN2013bc,0.0225,56384.43017946021,0.580361566629589,0.4607729499555649,0.024374871030372
ASAS14hp,0.0389,56929.57529121771,0.0624265207976998,1.0849146319862495,0.0097515994849159
ASAS15hf,0.0062,57137.24523962022,0.0439523086873957,0.9175163846451072,0.0048278697219243
LSQ12cda,0.1375,56042.6412063061,1.261639095084128,0.8872359740990705,0.0483804627491727
SN2006ev,0.0287,53989.72673501264,0.6179260969055391,0.8465203848294115,0.0192041815147941
ASAS15gr,0.0243,57126.47420755114,0.1429534251046894,1.0723324103751508,0.0087318014248224
SN2006D,0.0085,53757.55047127228,0.1017595800033827,0.8144042661102577,0.0027530965136887
CSP14adc,0.0324,56968.64869952126,0.0995959688898783,0.7919053073039777,0.0057288600570468
SN2013hn,0.0151,56642.90397991281,0.6892505839880693,0.8224068474099452,0.0223103361695277
PTF14uo,0.0912,56720.46401519253,0.5499774661608983,1.0383038795033752,0.0179545008667336
SN2008ff,0.0192,54704.66731904935,0.4109879651088894,1.1893122283842683,0.0105366604474976
SN2008bt,0.0154,54572.283756306126,0.1332874388584025,0.4683225827543968,0.0084947247437448
SN2004eo,0.0157,53278.559496601,0.0402682170703996,0.8195075333251093,0.0046385714917356
PTF11pbp,0.0289,55871.75399587922,0.0430065383546844,1.1893970315708695,0.0057471238252693
SN2014at,0.0322,56774.07935189132,0.0471042023448109,0.9303805419766858,0.0043199775452386
SN2013az,0.0373,56380.925185333566,0.6258581600547781,0.7623267350692332,0.0207012395531695
PTF13dwl,0.0874,56606.19198542045,0.627000882950449,1.1896796791068458,0.0359148864776202
PTF13dyt,0.1099,56610.44347255612,0.4992576717523083,0.668327662024196,0.062013683453806
SN2012G,0.0258,55948.82832249699,0.0507581431763523,1.1528946325594152,0.0060795844670433
SN2007ba,0.0385,54197.57629316064,0.0558735486522112,0.5428718620739235,0.0063727642054263
SN2012hl,0.033,56272.00893390559,0.2385445287252093,0.9230986212230634,0.0308012464457207
ASAS15al,0.0338,57033.03889243711,0.2240623737235556,1.1023054990354828,0.0278595992975775
SN2007ux,0.0309,54466.89536111741,0.0740926651996659,0.5932172969579218,0.0057065815566888
SN2005hj,0.058,53673.65505190961,0.2248246875994566,1.2791060103303964,0.0161853931724156
SN2005iq,0.034,53687.585114603375,0.040801162119325,0.8717842469569559,0.0043822361258154
