name,z,ra,dec,st,st_err,s_gr,s_gr_err,gmax,gmax_err,rmax,rmax_err,Jmax,Jmax_err
ASAS15hx,0.0083,205.8195,-31.556,1.0558841591819426,0.006923686546141597,1.1336666669179976,0.0017166928324280496,13.140266049508062,0.0040879698580778894,13.284602804073943,0.005114690040241034,13.881764127032048,0.018815090012477394
SNhunt281,0.0041,226.3753,1.634,0.6979165838671408,0.007503010053701477,0.7360000001703156,0.002341526713106555,13.622486844435066,0.006275832265798201,13.676459485004694,0.005942205394436056,13.855825832980312,0.02505309497398923
SN2005hc,0.0459,29.1998,-0.2137,1.133020868496753,0.00822046682472814,1.1723333335925417,0.0016607912769980224,17.272595741010047,0.002418359819710977,17.39824570506603,0.003310082601769941,17.982172347770256,0.01970186164622277
SN2012fr,0.0055,53.4004,-36.1261,1.1054273588174999,0.006053662137483021,1.138333333585615,0.0013252339835779128,11.90609799818457,0.003835142706752343,12.072213075250005,0.004748927624533899,12.774590495195577,0.012563363956855395
SN2005kc,0.0151,338.5306,5.5684,0.902049861632472,0.00955235094468956,0.9683333335509815,0.0022025547452047887,15.469349138241768,0.007773041028869124,15.291170951159195,0.007345137195811995,15.406104468804536,0.01933357317124747
SN2006kf,0.0213,55.4603,8.1569,0.7458529135017222,0.0060170277072330285,0.8013333335169591,0.0017662228396566847,15.909138852250727,0.005682991572772111,15.989187308576746,0.005004698873570503,16.260383834656167,0.012500635658870093
SN2005ki,0.0192,160.1176,9.2023,0.8295791460057503,0.00436489833356247,0.881000000199856,0.0015926891871954826,15.530755193570881,0.004160470473175605,15.683247203729447,0.0037416182949859154,16.12684998459035,0.014113938607463112
SN2012hd,0.0119,18.5311,-32.6521,0.8730031783958919,0.008103411364461795,0.9196666668744001,0.002234121291764687,14.80402713745861,0.007823227240839422,14.736780128142563,0.007375515256854841,14.965149276684835,0.0344555468346022
SN2004eo,0.0157,308.2258,9.9285,0.8178068064250443,0.007820923255499832,0.87133333353122,0.002168729386232777,15.035599554635832,0.00926242088250916,15.027891885966536,0.007453836941302954,15.424377353622074,0.02822141014391879
PTF14w,0.0189,180.8804,2.0428,0.737785718146774,0.00396707709301403,0.783333333513292,0.0011737374341023246,16.043658113391995,0.003689697823084643,16.063874515490582,0.003400592559567745,16.37799274671067,0.02091666864768769
