SN2005W 0.0089 27.6907 21.7598
filter V
 53404.025 14.908 0.006
 53406.042 14.611 0.007
 53408.033 14.417 0.006
 53409.030 14.359 0.006
 53410.033 14.311 0.007
 53411.029 14.277 0.006
 53412.030 14.276 0.006
 53413.028 14.249 0.011
 53414.017 14.297 0.011
 53415.017 14.277 0.009
 53416.013 14.278 0.010
 53417.016 14.289 0.009
 53418.013 14.335 0.009
 53419.010 14.369 0.016
 53420.018 14.372 0.013
 53421.017 14.471 0.019
 53422.012 14.522 0.025
 53425.013 14.686 0.017
 53426.006 14.764 0.017
 53427.008 14.855 0.014
 53429.006 14.945 0.013
filter B
 53404.029 15.043 0.006
 53406.044 14.757 0.006
 53408.037 14.562 0.006
 53409.032 14.502 0.006
 53410.035 14.468 0.006
 53411.032 14.442 0.006
 53412.032 14.463 0.007
 53413.029 14.469 0.017
 53414.019 14.495 0.011
 53415.020 14.525 0.012
 53416.016 14.562 0.014
 53417.018 14.666 0.014
 53418.015 14.727 0.021
 53419.012 14.814 0.030
 53420.019 14.896 0.022
 53421.018 14.989 0.020
 53425.014 15.383 0.040
 53426.007 15.525 0.034
 53427.010 15.680 0.035
 53429.008 15.866 0.035
filter u
 53404.035 15.637 0.016
 53406.039 15.314 0.015
 53408.031 15.163 0.018
 53409.028 15.108 0.021
 53410.029 15.112 0.018
 53411.027 15.116 0.021
 53412.028 15.120 0.021
 53413.027 15.184 0.048
 53414.022 15.272 0.032
 53415.022 15.343 0.042
 53416.018 15.454 0.046
 53417.021 15.516 0.033
 53418.019 15.606 0.028
 53419.016 15.753 0.048
 53422.008 16.143 0.104
 53425.011 16.656 0.151
filter g
 53404.039 14.937 0.006
 53408.029 14.454 0.009
 53409.023 14.400 0.007
 53410.024 14.318 0.012
 53411.022 14.336 0.007
 53412.023 14.356 0.007
 53413.023 14.333 0.009
 53414.024 14.338 0.007
 53415.024 14.384 0.007
 53416.020 14.428 0.009
 53417.023 14.477 0.011
 53418.024 14.468 0.010
 53419.019 14.540 0.013
 53420.008 14.584 0.025
 53421.019 14.700 0.013
 53422.004 14.827 0.033
 53425.007 15.011 0.023
 53426.000 15.127 0.031
 53427.002 15.189 0.026
 53429.010 15.378 0.015
filter r
 53404.042 14.774 0.006
 53406.033 14.508 0.006
 53407.035 14.477 0.025
 53408.026 14.341 0.007
 53409.025 14.284 0.006
 53410.026 14.231 0.012
 53411.024 14.224 0.007
 53412.024 14.195 0.006
 53413.024 14.189 0.007
 53414.025 14.167 0.006
 53415.026 14.208 0.006
 53416.022 14.217 0.009
 53416.026 14.211 0.008
 53417.025 14.256 0.009
 53417.030 14.245 0.009
 53419.021 14.333 0.008
 53420.004 14.431 0.030
 53421.011 14.442 0.038
 53422.005 14.609 0.017
 53425.008 14.758 0.013
 53426.001 14.757 0.018
 53427.004 14.855 0.013
 53429.011 14.846 0.009
filter i
 53404.045 14.999 0.006
 53406.035 14.759 0.006
 53408.027 14.645 0.007
 53409.026 14.653 0.006
 53410.027 14.643 0.008
 53411.026 14.666 0.006
 53412.026 14.735 0.007
 53413.025 14.758 0.011
 53414.027 14.783 0.011
 53415.028 14.795 0.010
 53416.024 14.838 0.011
 53417.027 14.891 0.013
 53419.023 14.975 0.011
 53420.007 15.068 0.046
 53422.006 15.177 0.040
 53425.010 15.367 0.017
 53426.002 15.380 0.030
 53427.005 15.352 0.025
 53429.013 15.285 0.013
