SN2008cc 0.0104 315.8734 -67.1836
filter V
 54582.344 14.566 0.005
 54583.344 14.642 0.004
 54587.324 14.914 0.005
 54589.329 15.053 0.005
 54591.310 15.196 0.005
 54592.371 15.274 0.006
 54595.342 15.519 0.006
 54597.292 15.711 0.005
 54606.276 16.328 0.009
 54616.235 16.651 0.012
 54618.241 16.715 0.017
 54624.293 16.894 0.008
 54628.283 17.000 0.014
 54630.280 17.065 0.010
 54644.209 17.424 0.011
 54646.225 17.441 0.017
 54648.263 17.520 0.010
 54650.303 17.550 0.019
 54651.285 17.598 0.012
 54653.269 17.622 0.012
 54654.364 17.669 0.011
filter B
 54582.350 15.027 0.004
 54583.349 15.163 0.004
 54587.327 15.635 0.005
 54589.331 15.954 0.006
 54591.313 16.221 0.007
 54592.375 16.342 0.007
 54595.346 16.649 0.010
 54597.296 16.837 0.009
 54606.279 17.389 0.014
 54616.237 17.613 0.015
 54624.297 17.758 0.015
 54628.285 17.821 0.020
 54630.283 17.857 0.015
 54644.212 18.073 0.021
 54646.228 18.114 0.021
 54648.266 18.129 0.020
 54650.306 18.147 0.019
 54651.288 18.161 0.019
 54653.273 18.198 0.017
 54654.369 18.228 0.018
filter u
 54582.357 16.051 0.008
 54583.355 16.212 0.008
 54587.321 16.813 0.013
 54589.325 17.135 0.015
 54591.307 17.422 0.018
 54592.381 17.530 0.014
 54595.352 17.795 0.014
 54597.302 17.967 0.017
 54606.273 18.393 0.040
 54616.231 18.768 0.039
 54618.237 18.809 0.049
 54624.304 18.972 0.023
 54628.289 19.053 0.036
 54630.277 19.115 0.036
 54644.206 19.509 0.048
 54646.222 19.463 0.064
 54648.271 19.499 0.057
 54650.299 19.593 0.057
 54651.281 19.644 0.054
 54653.264 19.592 0.060
 54654.360 19.610 0.061
filter r
 54582.369 14.650 0.005
 54583.365 14.740 0.005
 54587.314 14.898 0.005
 54589.319 14.947 0.006
 54591.301 14.976 0.005
 54592.391 15.010 0.005
 54595.361 15.160 0.005
 54597.312 15.336 0.005
 54606.267 16.014 0.007
 54616.225 16.404 0.007
 54618.231 16.490 0.007
 54624.315 16.715 0.007
 54628.273 16.849 0.007
 54630.271 16.936 0.008
 54644.200 17.405 0.012
 54646.216 17.482 0.010
 54648.279 17.547 0.010
 54650.292 17.625 0.012
 54651.275 17.665 0.012
 54653.255 17.729 0.011
 54654.351 17.754 0.014
filter i
 54582.374 15.354 0.005
 54583.368 15.414 0.005
 54587.317 15.437 0.005
 54589.322 15.382 0.007
 54591.303 15.304 0.005
 54592.394 15.297 0.007
 54595.364 15.271 0.005
 54597.316 15.382 0.005
 54606.269 16.114 0.009
 54616.228 16.595 0.008
 54618.234 16.697 0.015
 54624.320 16.929 0.009
 54628.276 17.072 0.010
 54630.273 17.185 0.012
 54644.203 17.681 0.012
 54646.218 17.732 0.015
 54648.282 17.825 0.015
 54650.295 17.849 0.019
 54651.278 17.915 0.021
 54653.260 17.992 0.016
 54654.355 17.981 0.014
filter g
 54583.361 14.868 0.004
 54587.312 15.274 0.005
 54589.317 15.514 0.007
 54591.298 15.745 0.008
 54592.387 15.878 0.011
 54595.357 16.204 0.009
 54606.264 16.957 0.010
 54616.223 17.226 0.016
 54618.229 17.240 0.014
 54624.311 17.389 0.009
 54628.270 17.446 0.009
 54630.268 17.500 0.010
 54644.197 17.684 0.020
 54646.213 17.742 0.024
 54648.276 17.786 0.009
 54650.289 17.807 0.020
 54651.272 17.828 0.024
 54653.251 17.847 0.016
 54654.346 17.888 0.013
filter Y
 54588.382 15.110 0.013
 54588.390 15.095 0.014
 54590.377 14.975 0.011
 54590.385 15.005 0.012
 54593.437 14.729 0.012
 54593.446 14.725 0.011
 54594.349 14.674 0.013
 54594.359 14.656 0.012
 54598.378 14.596 0.011
 54598.386 14.575 0.011
 54607.349 15.228 0.012
 54607.358 15.202 0.012
 54617.368 15.760 0.015
 54617.376 15.808 0.013
 54625.313 16.254 0.016
 54625.322 16.262 0.019
 54629.271 16.510 0.014
 54645.310 17.254 0.023
 54645.318 17.198 0.026
filter J
 54588.398 15.965 0.028
 54588.406 16.031 0.025
 54590.393 15.874 0.021
 54590.403 15.873 0.019
 54593.455 15.652 0.021
 54593.464 15.630 0.018
 54594.367 15.588 0.020
 54594.376 15.546 0.021
 54598.394 15.503 0.019
 54598.403 15.518 0.017
 54607.331 16.529 0.007
 54607.339 16.564 0.008
filter H
 54588.414 15.000 0.018
 54588.433 15.047 0.020
 54590.410 14.956 0.017
 54590.423 14.955 0.021
 54593.472 14.875 0.027
 54594.385 14.828 0.018
 54594.399 14.840 0.020
 54598.411 15.050 0.016
 54598.423 15.082 0.021
 54607.368 15.711 0.020
 54607.376 15.716 0.020
 54625.361 16.363 0.084
 54629.334 16.655 0.102
