SN2014I 0.0300 85.5825 -25.5444
filter Y
 56696.051 17.589 0.019
 56697.037 17.587 0.018
 56698.068 17.605 0.019
 56699.048 17.583 0.019
 56700.208 17.588 0.021
 56701.058 17.521 0.018
 56702.101 17.471 0.018
 56703.134 17.477 0.018
 56704.075 17.485 0.018
 56705.021 17.478 0.018
 56706.076 17.469 0.019
 56707.069 17.499 0.015
 56708.095 17.454 0.017
 56709.091 17.514 0.017
 56710.089 17.491 0.018
 56711.089 17.495 0.016
 56712.084 17.531 0.015
 56713.098 17.596 0.017
 56714.052 17.633 0.018
 56714.053 17.633 0.020
 56715.027 17.723 0.017
 56717.099 17.869 0.022
 56718.045 17.959 0.032
 56720.067 18.108 0.024
 56722.024 18.188 0.027
 56726.044 18.388 0.016
 56733.001 18.722 0.029
 56742.026 19.050 0.026
 56749.983 19.330 0.037
 56751.997 19.439 0.039
 56758.997 19.663 0.039
filter u
 56676.164 17.017 0.012
 56677.090 16.896 0.012
 56678.192 16.791 0.012
 56679.162 16.694 0.026
 56680.161 16.699 0.010
 56681.141 16.685 0.009
 56682.208 16.695 0.009
 56684.129 16.787 0.009
 56685.148 16.870 0.011
 56686.160 16.958 0.011
 56687.122 17.057 0.012
 56688.164 17.182 0.012
 56689.118 17.313 0.014
 56692.105 17.738 0.018
 56694.093 17.982 0.019
 56696.061 18.348 0.024
 56697.041 18.419 0.030
 56698.072 18.591 0.035
 56699.051 18.767 0.033
 56700.210 18.921 0.090
 56700.213 19.119 0.120
 56701.060 19.113 0.042
 56702.103 19.179 0.050
 56703.136 19.279 0.141
 56704.078 19.473 0.056
 56705.024 19.626 0.044
 56706.079 19.623 0.041
 56707.072 19.846 0.064
 56708.098 19.872 0.052
 56709.094 20.035 0.049
 56710.092 20.135 0.052
 56711.093 20.055 0.051
 56712.088 20.278 0.057
 56713.102 20.353 0.060
 56714.058 20.340 0.093
 56714.060 20.319 0.098
 56714.061 20.445 0.095
 56714.063 20.359 0.082
 56715.029 20.383 0.074
 56717.103 20.523 0.057
 56717.108 20.416 0.055
 56718.051 20.641 0.088
 56718.059 20.633 0.072
 56720.072 20.633 0.058
 56722.030 20.730 0.064
 56726.050 20.867 0.099
 56742.031 21.149 0.087
 56749.994 21.322 0.080
 56750.005 21.146 0.076
filter J
 56676.169 17.014 0.018
 56677.137 16.887 0.016
 56680.073 16.761 0.019
 56681.151 16.828 0.016
 56700.116 18.396 0.028
 56703.087 18.293 0.032
 56707.121 18.089 0.021
 56709.128 17.939 0.022
