LSQ14ba 0.0775 165.3459 -15.6195
filter V
 56666.278 19.269 0.022
 56667.244 19.127 0.019
 56668.256 19.085 0.020
 56669.295 19.005 0.015
 56670.307 18.910 0.017
 56671.276 18.909 0.024
 56672.251 18.838 0.023
 56673.331 18.786 0.031
 56675.266 18.854 0.037
 56677.290 18.911 0.027
 56680.266 18.939 0.029
 56681.284 19.037 0.019
 56684.274 19.198 0.015
 56687.270 19.359 0.018
 56691.142 19.659 0.021
 56693.247 19.822 0.020
 56695.285 19.919 0.022
 56697.217 20.107 0.032
 56698.226 20.218 0.038
filter B
 56666.281 19.381 0.025
 56667.240 19.236 0.022
 56668.259 19.164 0.018
 56669.299 19.096 0.016
 56670.311 19.038 0.016
 56671.279 18.997 0.028
 56672.246 18.996 0.032
 56673.336 19.008 0.039
 56675.271 18.956 0.042
 56677.294 19.137 0.033
 56680.269 19.441 0.040
 56681.279 19.448 0.019
 56684.270 19.786 0.021
 56687.274 20.088 0.024
 56691.147 20.522 0.032
 56691.371 20.503 0.033
 56693.253 20.788 0.039
 56695.250 21.006 0.045
 56697.211 21.112 0.057
 56698.234 21.108 0.081
filter r
 56666.285 19.243 0.017
 56667.248 19.147 0.016
 56668.248 19.075 0.020
 56669.287 19.000 0.014
 56670.299 18.956 0.016
 56671.269 18.901 0.023
 56672.258 18.886 0.019
 56673.319 18.860 0.021
 56675.256 18.897 0.036
 56677.281 18.871 0.024
 56680.272 18.971 0.036
 56681.288 19.004 0.015
 56684.279 19.146 0.013
 56687.259 19.304 0.014
 56691.132 19.508 0.018
 56691.387 19.538 0.019
 56693.235 19.556 0.020
 56695.229 19.655 0.022
 56697.225 19.749 0.021
 56698.216 19.757 0.027
 56699.171 19.763 0.027
 56701.153 19.898 0.038
 56703.240 19.996 0.096
 56707.185 20.279 0.036
 56708.299 20.320 0.050
 56709.227 20.459 0.032
 56710.249 20.492 0.039
 56711.249 20.497 0.029
 56712.258 20.490 0.025
 56713.246 20.669 0.034
filter i
 56666.288 19.320 0.025
 56667.251 19.226 0.031
 56668.252 19.216 0.025
 56669.290 19.173 0.025
 56670.303 19.187 0.018
 56671.272 19.260 0.030
 56672.263 19.222 0.029
 56673.324 19.246 0.032
 56675.260 19.271 0.048
 56677.285 19.288 0.032
 56680.274 19.393 0.048
 56681.292 19.466 0.025
 56684.284 19.726 0.027
 56687.264 19.886 0.027
 56691.136 19.901 0.037
 56691.381 19.948 0.029
 56693.240 19.867 0.025
 56695.235 19.789 0.028
 56697.229 19.826 0.030
 56698.221 19.779 0.030
 56699.175 19.762 0.028
 56701.158 19.868 0.043
 56703.226 19.659 0.060
 56707.190 20.037 0.028
 56708.305 20.109 0.043
 56710.254 20.238 0.039
 56711.255 20.368 0.034
 56712.263 20.351 0.041
 56713.251 20.473 0.044
filter Y
 56668.306 19.003 0.019
 56671.201 19.028 0.023
 56674.250 19.251 0.024
 56677.258 19.383 0.027
 56679.294 19.459 0.029
filter J
 56668.333 19.073 0.026
 56671.236 19.234 0.039
 56674.290 19.524 0.054
 56677.293 19.681 0.047
 56679.344 19.839 0.035
filter H
 56679.308 19.818 0.055
