LSQ14jp 0.0454 194.3396 -15.7926
filter B
 56684.312 19.361 0.015
 56685.232 19.127 0.013
 56685.351 19.067 0.014
 56687.381 18.700 0.015
 56689.370 18.462 0.012
 56690.279 18.392 0.010
 56691.303 18.360 0.011
 56692.243 18.357 0.012
 56693.296 18.404 0.015
 56694.297 18.400 0.013
 56697.352 18.624 0.014
 56698.254 18.702 0.014
 56699.231 18.867 0.021
 56700.378 19.000 0.016
 56702.282 19.349 0.053
 56704.224 19.669 0.071
 56720.331 21.245 0.062
 56721.364 21.173 0.062
 56742.303 21.591 0.079
 56751.328 21.965 0.130
filter V
 56684.317 19.196 0.016
 56685.356 18.943 0.014
 56687.377 18.587 0.011
 56689.362 18.369 0.014
 56690.275 18.320 0.013
 56691.299 18.240 0.013
 56692.248 18.220 0.013
 56693.292 18.214 0.016
 56694.292 18.195 0.013
 56695.315 18.220 0.012
 56697.347 18.290 0.010
 56698.250 18.309 0.011
 56699.227 18.356 0.014
 56700.382 18.441 0.011
 56702.287 18.565 0.024
 56704.222 18.792 0.035
 56713.406 19.665 0.086
 56720.326 20.165 0.037
 56721.369 20.250 0.037
 56742.307 20.840 0.048
 56751.345 21.018 0.115
filter r
 56684.323 19.077 0.012
 56685.362 18.847 0.012
 56686.385 18.628 0.014
 56687.368 18.493 0.012
 56689.354 18.244 0.010
 56690.266 18.217 0.010
 56691.291 18.156 0.013
 56692.252 18.109 0.011
 56693.282 18.074 0.013
 56694.283 18.092 0.012
 56695.306 18.065 0.016
 56697.338 18.116 0.009
 56698.241 18.159 0.010
 56699.219 18.211 0.013
 56700.387 18.289 0.009
 56702.291 18.413 0.020
 56704.216 18.494 0.030
 56705.346 18.523 0.023
 56709.279 18.696 0.016
 56710.325 18.768 0.016
 56711.359 18.838 0.015
 56712.338 18.902 0.012
 56713.402 19.066 0.036
 56720.320 19.592 0.034
 56721.374 19.631 0.036
 56727.317 19.904 0.023
 56742.311 20.319 0.041
 56751.351 20.410 0.095
 56751.368 20.653 0.058
 56751.373 20.558 0.059
filter i
 56684.328 19.202 0.019
 56685.371 18.929 0.017
 56687.372 18.632 0.015
 56689.358 18.458 0.013
 56690.270 18.443 0.016
 56691.295 18.456 0.017
 56692.256 18.448 0.014
 56693.287 18.446 0.019
 56694.287 18.461 0.017
 56695.310 18.463 0.019
 56697.342 18.581 0.013
 56698.245 18.669 0.016
 56699.223 18.718 0.020
 56700.391 18.814 0.018
 56702.294 18.933 0.024
 56704.218 18.882 0.028
 56705.349 18.870 0.029
 56709.283 18.765 0.017
 56710.329 18.845 0.020
 56711.363 18.832 0.018
 56712.342 18.889 0.020
 56713.404 18.874 0.035
 56721.376 19.690 0.047
 56727.321 20.015 0.034
 56751.383 20.827 0.106
filter Y
 56699.220 18.555 0.016
 56701.257 18.601 0.016
 56703.197 18.536 0.020
filter H
 56699.255 18.732 0.037
 56701.276 18.877 0.045
 56703.231 18.844 0.066
filter J
 56699.295 19.027 0.023
 56701.297 19.189 0.028
 56703.268 19.100 0.035
