PTF14yy 0.0430 186.5382 9.9789
filter B
 56726.184 19.054 0.020
 56727.203 18.885 0.019
 56728.260 18.781 0.019
 56729.243 18.674 0.022
 56730.249 18.582 0.033
 56735.206 18.575 0.034
 56735.213 18.567 0.036
 56735.215 18.669 0.040
 56736.277 18.734 0.027
 56736.281 18.715 0.032
 56741.192 19.128 0.021
 56742.149 19.217 0.020
 56743.170 19.273 0.113
 56745.177 19.609 0.022
 56749.201 20.167 0.031
 56765.175 21.362 0.148
 56765.181 21.479 0.195
 56772.124 21.733 0.076
 56783.084 21.951 0.135
filter V
 56726.188 18.880 0.023
 56727.199 18.703 0.022
 56728.256 18.572 0.021
 56729.247 18.514 0.021
 56730.255 18.416 0.027
 56731.238 18.348 0.045
 56731.241 18.324 0.035
 56735.218 18.330 0.028
 56736.273 18.412 0.030
 56741.189 18.575 0.021
 56742.145 18.642 0.021
 56743.165 18.677 0.056
 56745.172 18.859 0.021
 56749.207 19.173 0.021
 56765.166 20.385 0.077
 56765.170 20.354 0.067
 56772.131 20.569 0.034
 56783.071 20.947 0.063
 56783.075 20.915 0.067
filter Y
 56726.189 18.284 0.014
 56729.218 18.083 0.017
 56732.185 18.224 0.020
filter r
 56726.193 18.638 0.017
 56727.190 18.504 0.016
 56728.248 18.371 0.014
 56729.251 18.278 0.013
 56730.259 18.216 0.017
 56731.229 18.136 0.026
 56735.221 18.097 0.020
 56736.265 18.122 0.017
 56741.182 18.406 0.013
 56742.138 18.487 0.014
 56743.157 18.508 0.016
 56745.163 18.648 0.015
 56749.212 18.787 0.016
 56751.175 18.857 0.015
 56752.202 18.859 0.015
 56754.184 18.918 0.014
 56755.175 18.910 0.020
 56756.119 18.998 0.021
 56757.152 19.074 0.018
 56758.145 19.109 0.027
 56765.160 19.674 0.029
 56772.138 19.902 0.025
 56783.059 20.381 0.038
filter i
 56726.197 18.751 0.022
 56727.194 18.605 0.018
 56728.252 18.498 0.014
 56729.255 18.436 0.020
 56730.263 18.386 0.024
 56731.232 18.387 0.040
 56735.223 18.496 0.028
 56735.226 18.478 0.025
 56736.269 18.490 0.025
 56741.185 18.941 0.021
 56742.141 19.035 0.024
 56743.161 19.066 0.045
 56745.167 19.217 0.020
 56749.218 19.117 0.020
 56751.185 19.074 0.019
 56752.198 19.057 0.022
 56754.180 18.966 0.018
 56755.170 18.956 0.022
 56756.123 18.931 0.022
 56757.147 18.957 0.021
 56758.149 18.985 0.027
 56765.155 19.598 0.033
 56772.145 19.974 0.031
 56783.064 20.461 0.049
filter H
 56726.210 17.973 0.040
filter J
 56726.229 18.148 0.014
 56729.243 17.915 0.017
 56732.208 18.141 0.019
