SN2013U 0.0345 150.3000 0.3284
filter B
 56331.160 17.151 0.016
 56332.228 17.123 0.013
 56336.270 17.106 0.013
 56337.268 17.141 0.016
 56338.225 17.096 0.021
 56339.205 17.092 0.021
 56340.240 17.209 0.022
 56341.230 17.284 0.014
 56342.266 17.343 0.017
 56343.233 17.426 0.013
 56344.198 17.493 0.013
 56345.170 17.562 0.013
 56346.178 17.631 0.019
 56351.267 18.127 0.022
 56354.223 18.450 0.017
 56360.146 18.962 0.035
 56364.211 19.357 0.031
 56367.107 19.403 0.027
 56372.057 19.545 0.036
filter V
 56331.164 17.082 0.012
 56332.230 17.013 0.011
 56336.267 16.938 0.011
 56337.266 16.971 0.013
 56338.222 16.959 0.013
 56339.210 16.974 0.011
 56340.244 16.993 0.015
 56341.233 17.015 0.013
 56342.262 17.042 0.013
 56343.259 17.049 0.013
 56344.201 17.105 0.012
 56345.167 17.152 0.012
 56346.182 17.200 0.016
 56351.270 17.493 0.016
 56354.217 17.695 0.013
 56360.141 18.004 0.014
 56364.206 18.221 0.015
 56367.097 18.311 0.014
 56372.063 18.585 0.018
 56379.131 18.898 0.033
filter g
 56331.168 17.064 0.010
 56332.208 17.014 0.009
 56336.253 16.964 0.011
 56337.250 17.005 0.011
 56338.208 17.017 0.012
 56339.213 17.051 0.012
 56340.248 17.090 0.012
 56341.237 17.136 0.012
 56342.240 17.182 0.012
 56343.239 17.236 0.010
 56344.204 17.309 0.011
 56345.147 17.344 0.012
 56346.190 17.429 0.014
 56351.273 17.823 0.019
 56354.204 18.086 0.015
 56360.128 18.585 0.020
 56364.192 18.852 0.016
 56367.116 19.039 0.015
 56369.084 19.135 0.021
 56372.067 19.312 0.021
 56379.166 19.556 0.043
 56387.070 19.779 0.025
filter r
 56331.171 17.061 0.010
 56332.210 17.012 0.009
 56336.255 16.913 0.010
 56337.253 16.916 0.010
 56338.211 16.915 0.014
 56339.216 16.888 0.012
 56340.251 16.903 0.013
 56341.239 16.906 0.011
 56342.243 16.933 0.013
 56343.242 16.952 0.011
 56344.207 16.995 0.009
 56345.150 17.038 0.011
 56346.199 17.061 0.013
 56351.277 17.317 0.010
 56354.229 17.432 0.009
 56360.132 17.579 0.015
 56364.197 17.690 0.010
 56367.123 17.789 0.012
 56369.090 17.869 0.014
 56372.072 18.027 0.011
 56379.148 18.407 0.019
 56387.077 18.664 0.017
filter i
 56331.174 17.324 0.013
 56332.222 17.345 0.012
 56336.258 17.318 0.013
 56337.256 17.376 0.014
 56338.214 17.374 0.015
 56339.219 17.366 0.019
 56340.257 17.409 0.021
 56341.242 17.411 0.014
 56342.248 17.437 0.017
 56343.245 17.482 0.013
 56344.210 17.505 0.015
 56345.153 17.523 0.014
 56346.217 17.642 0.053
 56351.282 17.776 0.015
 56354.212 17.806 0.016
 56360.136 17.787 0.016
 56364.201 17.791 0.013
 56367.129 17.805 0.014
 56369.096 17.853 0.016
 56372.076 17.989 0.016
 56379.160 18.391 0.024
 56387.083 18.792 0.021
filter u
 56331.178 17.513 0.019
 56331.186 17.501 0.016
 56332.217 17.471 0.015
 56336.262 17.582 0.016
 56337.261 17.668 0.018
 56338.218 17.733 0.018
 56339.226 17.797 0.016
 56340.264 17.890 0.016
 56342.255 18.088 0.016
 56343.252 18.177 0.017
 56344.217 18.313 0.018
 56345.178 18.412 0.024
 56346.209 18.601 0.054
filter Y
 56342.129 17.746 0.019
 56343.118 17.804 0.020
 56344.222 17.663 0.027
 56345.131 17.513 0.021
 56346.098 17.546 0.023
 56350.198 17.700 0.023
 56352.193 17.558 0.017
 56354.155 17.469 0.023
filter H
 56342.151 17.492 0.026
 56343.141 17.504 0.028
 56346.115 17.656 0.041
 56352.221 17.559 0.025
 56354.162 17.484 0.039
filter J
 56342.166 17.563 0.013
 56343.156 17.669 0.013
 56344.249 17.727 0.017
 56345.102 17.793 0.018
 56346.076 17.948 0.021
 56350.191 18.340 0.033
 56352.234 18.296 0.017
 56354.169 18.362 0.027
