SN2006D 0.0085 193.1414 -9.7752
filter V
 53751.331 14.709 0.006
 53752.361 14.554 0.006
 53754.268 14.349 0.007
 53760.301 14.211 0.009
 53761.308 14.235 0.006
 53762.313 14.262 0.008
 53763.308 14.315 0.007
 53764.353 14.379 0.009
 53765.337 14.430 0.007
 53767.347 14.571 0.006
 53772.321 14.951 0.006
 53773.227 15.022 0.006
 53774.339 15.106 0.007
 53778.377 15.404 0.008
 53781.250 15.598 0.017
 53783.246 15.729 0.010
 53785.331 15.893 0.008
 53786.392 15.971 0.007
 53788.368 16.125 0.009
 53790.327 16.210 0.009
 53795.346 16.435 0.008
 53798.323 16.530 0.009
 53799.330 16.565 0.008
 53802.310 16.660 0.009
 53804.351 16.712 0.008
 53805.304 16.748 0.009
 53809.264 16.855 0.014
 53815.252 17.011 0.009
 53818.309 17.109 0.009
 53819.297 17.138 0.009
 53824.288 17.281 0.007
 53831.250 17.459 0.009
 53835.241 17.567 0.009
 53840.195 17.664 0.013
 53845.180 17.803 0.009
 53850.200 17.940 0.011
 53858.138 18.143 0.014
 53861.131 18.226 0.011
 53862.201 18.241 0.012
 53870.165 18.420 0.019
 53891.119 18.850 0.020
filter B
 53751.337 14.763 0.009
 53752.364 14.604 0.007
 53754.270 14.425 0.009
 53760.304 14.408 0.009
 53761.311 14.476 0.006
 53762.316 14.562 0.007
 53763.311 14.652 0.008
 53764.356 14.764 0.008
 53765.340 14.865 0.008
 53767.351 15.084 0.006
 53772.323 15.732 0.006
 53773.222 15.843 0.006
 53774.341 15.984 0.007
 53778.380 16.441 0.010
 53785.335 16.972 0.010
 53786.395 17.041 0.011
 53788.373 17.145 0.007
 53790.329 17.227 0.010
 53795.343 17.435 0.011
 53798.325 17.482 0.011
 53799.333 17.492 0.010
 53802.313 17.559 0.012
 53804.355 17.624 0.012
 53805.308 17.626 0.011
 53809.266 17.686 0.022
 53815.254 17.799 0.014
 53818.313 17.857 0.014
 53819.302 17.891 0.011
 53824.292 17.966 0.009
 53831.262 18.100 0.012
 53835.247 18.170 0.013
 53840.199 18.244 0.018
 53845.185 18.285 0.013
 53850.205 18.400 0.014
 53858.156 18.532 0.016
