ASAS14hu 0.0216 100.8622 -69.6374
filter B
 56928.314 15.963 0.008
 56929.322 15.868 0.006
 56930.339 15.775 0.006
 56931.361 15.714 0.006
 56932.357 15.660 0.008
 56936.338 15.632 0.007
 56937.312 15.657 0.009
 56938.381 15.691 0.008
 56939.356 15.742 0.010
 56942.347 15.877 0.012
 56943.315 15.968 0.010
 56944.347 16.021 0.010
 56948.343 16.357 0.009
 56949.348 16.463 0.009
 56950.304 16.561 0.009
 56954.328 16.965 0.012
 56955.334 17.077 0.011
 56956.338 17.162 0.013
 56958.294 17.340 0.009
 56961.285 17.619 0.011
 56963.280 17.777 0.018
 56964.340 17.845 0.015
 56965.305 17.886 0.023
 56971.343 18.267 0.030
 56972.285 18.381 0.021
 56976.303 18.507 0.018
 56977.303 18.564 0.019
 56978.353 18.587 0.018
 56984.284 18.683 0.012
 56995.224 18.801 0.026
 57001.226 18.957 0.026
 57004.247 18.967 0.020
 57005.263 19.002 0.017
 57013.229 19.115 0.016
 57023.276 19.250 0.024
 57030.215 19.333 0.030
 57036.145 19.506 0.019
 57064.140 19.955 0.029
 57076.149 20.174 0.027
filter V
 56928.315 16.008 0.010
 56929.324 15.909 0.007
 56930.338 15.816 0.008
 56931.360 15.748 0.007
 56932.355 15.693 0.007
 56936.339 15.635 0.009
 56937.311 15.638 0.011
 56938.380 15.654 0.009
 56939.355 15.643 0.008
 56942.345 15.757 0.011
 56943.316 15.799 0.009
 56944.346 15.838 0.010
 56948.342 16.081 0.008
 56949.345 16.134 0.007
 56950.303 16.209 0.008
 56954.326 16.416 0.013
 56955.333 16.439 0.013
 56956.337 16.495 0.013
 56958.295 16.603 0.008
 56961.283 16.743 0.009
 56963.278 16.810 0.012
 56964.338 16.888 0.012
 56965.304 16.942 0.015
 56971.341 17.326 0.013
 56972.283 17.400 0.015
 56976.302 17.593 0.017
 56977.301 17.667 0.015
 56978.351 17.690 0.016
 56984.278 17.876 0.013
 56995.221 18.199 0.019
 57001.230 18.341 0.018
 57004.251 18.396 0.016
 57005.259 18.404 0.013
 57013.224 18.625 0.014
 57023.273 18.837 0.037
 57030.222 19.028 0.030
 57036.149 19.103 0.017
 57064.144 19.406 0.031
 57076.143 19.788 0.023
filter g
 56928.316 15.943 0.008
 56929.325 15.827 0.006
 56930.332 15.737 0.005
 56931.353 15.676 0.005
 56932.348 15.627 0.008
 56936.346 15.587 0.007
 56937.307 15.596 0.009
 56938.374 15.625 0.008
 56939.350 15.665 0.009
 56942.340 15.781 0.011
 56943.317 15.832 0.009
 56944.339 16.017 0.025
 56948.338 16.165 0.007
 56949.341 16.250 0.006
 56950.300 16.331 0.008
 56954.320 16.638 0.010
 56955.326 16.729 0.010
 56956.330 16.805 0.013
 56958.297 16.990 0.009
 56961.277 17.223 0.009
 56963.275 17.380 0.011
 56964.333 17.450 0.012
 56965.298 17.508 0.016
 56971.272 17.950 0.048
 56972.274 18.015 0.020
 56976.295 18.194 0.018
 56977.294 18.226 0.019
 56978.344 18.252 0.018
 56984.267 18.412 0.011
 56995.207 18.562 0.021
 57004.254 18.708 0.017
 57005.248 18.734 0.016
 57013.207 18.859 0.013
 57023.259 18.950 0.034
 57030.227 19.092 0.031
 57036.152 19.209 0.016
 57064.147 19.401 0.020
 57076.131 19.790 0.019
filter r
 56928.317 16.043 0.009
 56929.326 15.943 0.008
 56930.333 15.850 0.008
 56931.355 15.785 0.007
 56932.349 15.740 0.009
 56936.345 15.638 0.007
 56937.306 15.651 0.012
 56938.375 15.633 0.010
 56939.350 15.661 0.009
 56942.341 15.795 0.013
 56943.318 15.843 0.009
 56944.340 15.901 0.035
 56948.336 16.212 0.009
 56949.337 16.267 0.010
 56950.297 16.315 0.013
 56954.321 16.451 0.014
 56955.327 16.454 0.013
 56956.331 16.446 0.012
 56958.298 16.467 0.009
 56961.274 16.492 0.008
 56963.272 16.532 0.012
 56964.331 16.540 0.011
 56965.296 16.583 0.016
 56971.273 16.931 0.015
 56972.275 16.997 0.013
 56976.292 17.203 0.013
 56977.292 17.288 0.014
 56978.341 17.310 0.014
 56984.268 17.539 0.011
 56995.209 17.906 0.015
 57001.234 18.071 0.017
 57004.257 18.215 0.014
 57005.244 18.208 0.013
 57013.210 18.464 0.013
 57023.260 18.782 0.027
 57030.225 18.995 0.026
 57036.155 19.113 0.018
 57064.151 19.962 0.031
 57076.125 20.295 0.036
filter i
 56928.318 16.444 0.014
 56929.327 16.366 0.010
 56930.334 16.326 0.009
 56931.356 16.306 0.009
 56932.352 16.296 0.011
 56936.343 16.380 0.012
 56937.305 16.419 0.017
 56938.376 16.403 0.014
 56939.351 16.440 0.013
 56942.342 16.581 0.021
 56943.319 16.663 0.015
 56944.341 16.694 0.040
 56948.337 17.102 0.015
 56949.340 17.163 0.013
 56950.298 17.225 0.014
 56954.322 17.168 0.017
 56955.328 17.154 0.017
 56956.332 17.156 0.019
 56958.299 17.090 0.012
 56961.275 17.007 0.011
 56963.274 16.946 0.016
 56964.332 16.925 0.014
 56965.297 16.938 0.021
 56971.274 17.070 0.021
 56972.276 17.214 0.013
 56976.293 17.450 0.018
 56977.293 17.546 0.019
 56978.343 17.561 0.017
 56984.270 17.865 0.016
 56995.211 18.328 0.023
 57001.236 18.508 0.041
 57004.259 18.646 0.021
 57005.246 18.674 0.026
 57013.213 18.973 0.025
 57023.262 19.207 0.048
 57030.230 19.469 0.048
 57036.158 19.724 0.046
 57064.154 20.526 0.065
 57076.137 20.695 0.056
filter u
 56928.320 16.702 0.016
 56929.329 16.557 0.012
 56930.336 16.448 0.014
 56931.358 16.348 0.015
 56932.353 16.306 0.013
 56936.341 16.359 0.014
 56937.309 16.413 0.017
 56938.378 16.488 0.015
 56939.353 16.558 0.019
 56942.344 16.778 0.024
 56943.321 16.834 0.016
 56944.344 16.877 0.036
 56948.340 17.327 0.024
 56949.343 17.467 0.026
 56950.301 17.641 0.037
 56954.324 18.152 0.042
 56955.331 18.265 0.034
 56956.334 18.372 0.036
 56958.303 18.567 0.032
 56961.280 18.834 0.035
 56963.276 19.042 0.065
 56964.335 19.046 0.042
 56965.301 19.220 0.060
 56971.278 19.573 0.198
 56972.279 19.493 0.063
 56976.298 19.648 0.062
