SN2012hr 0.0076 95.4102 -59.7141
filter B
 56279.327 14.672 0.008
 56280.278 14.461 0.009
 56281.283 14.278 0.008
 56282.273 14.136 0.007
 56283.190 14.018 0.009
 56284.268 13.933 0.008
 56285.180 13.861 0.009
 56286.225 13.813 0.010
 56288.366 13.794 0.008
 56289.206 13.773 0.009
 56290.195 13.780 0.010
 56291.231 13.825 0.014
 56292.233 13.858 0.013
 56293.233 13.910 0.011
 56294.246 13.963 0.009
 56295.187 14.023 0.007
 56296.194 14.092 0.009
 56297.268 14.179 0.007
 56298.283 14.270 0.007
 56299.196 14.349 0.008
 56300.143 14.441 0.008
 56301.158 14.563 0.007
 56304.177 14.916 0.009
 56305.166 15.026 0.008
 56306.170 15.139 0.010
 56307.133 15.254 0.011
 56308.136 15.339 0.012
 56309.070 15.456 0.010
 56310.124 15.572 0.010
 56311.153 15.665 0.011
 56312.143 15.760 0.011
 56314.146 15.916 0.011
 56315.159 16.009 0.011
 56316.108 16.074 0.011
 56317.145 16.174 0.012
 56318.119 16.241 0.009
 56319.105 16.308 0.009
 56320.085 16.385 0.009
 56321.077 16.444 0.010
 56322.106 16.490 0.010
 56323.134 16.554 0.010
 56324.088 16.595 0.008
 56325.107 16.657 0.010
 56326.100 16.691 0.008
 56327.086 16.737 0.008
 56328.117 16.765 0.008
 56329.068 16.782 0.010
 56330.063 16.815 0.008
 56331.057 16.838 0.010
 56332.063 16.863 0.008
 56336.099 16.949 0.009
 56337.098 16.963 0.010
 56338.122 16.994 0.011
 56340.131 17.020 0.011
 56343.098 17.064 0.011
 56346.158 17.160 0.036
 56351.124 17.206 0.015
 56353.143 17.226 0.014
 56355.133 17.254 0.017
 56358.055 17.321 0.020
 56365.046 17.380 0.014
 56371.036 17.460 0.012
 56377.065 17.558 0.014
 56385.042 17.679 0.013
 56390.986 17.768 0.016
 56423.036 18.298 0.010
 56581.347 20.629 0.033
 56584.344 20.670 0.175
 56584.347 20.583 0.105
 56594.304 20.805 0.041
 56594.312 20.767 0.035
filter V
 56279.330 14.651 0.008
 56280.272 14.453 0.013
 56281.286 14.274 0.012
 56282.276 14.143 0.012
 56283.193 14.030 0.014
 56284.272 13.965 0.007
 56285.177 13.878 0.014
 56286.227 13.828 0.013
 56288.364 13.778 0.008
 56289.204 13.764 0.014
 56290.194 13.730 0.013
 56291.232 13.756 0.015
 56292.232 13.769 0.015
 56293.235 13.794 0.016
 56294.245 13.798 0.013
 56295.183 13.847 0.012
 56296.192 13.870 0.013
 56297.269 13.922 0.013
 56298.281 13.968 0.013
 56299.199 14.008 0.013
 56300.142 14.074 0.012
 56301.156 14.129 0.012
 56304.175 14.335 0.012
 56305.168 14.386 0.013
 56306.168 14.445 0.013
 56307.134 14.509 0.014
 56308.134 14.566 0.015
 56309.066 14.620 0.013
 56310.122 14.682 0.013
 56311.155 14.749 0.014
 56312.140 14.805 0.013
 56314.148 14.921 0.014
 56315.158 14.994 0.013
 56316.106 15.045 0.012
 56317.143 15.108 0.014
 56318.116 15.165 0.013
 56319.107 15.254 0.014
 56320.087 15.304 0.013
 56321.079 15.386 0.014
 56322.109 15.453 0.014
 56323.136 15.518 0.013
 56324.085 15.567 0.012
 56325.111 15.618 0.013
 56326.102 15.659 0.014
 56327.088 15.727 0.013
 56328.115 15.774 0.014
 56329.070 15.796 0.014
 56330.065 15.865 0.019
 56331.055 15.861 0.015
 56332.066 15.905 0.014
 56336.097 16.002 0.013
 56337.095 16.040 0.014
 56338.120 16.077 0.016
 56340.133 16.125 0.017
 56343.101 16.209 0.016
 56346.156 16.247 0.022
 56351.123 16.415 0.016
 56353.142 16.458 0.016
 56355.131 16.495 0.017
 56358.057 16.580 0.016
 56365.044 16.746 0.025
 56371.038 16.894 0.017
 56377.062 17.029 0.020
 56385.044 17.205 0.016
 56390.990 17.340 0.019
 56423.029 17.980 0.013
 56581.354 20.439 0.037
 56583.362 20.253 0.140
 56584.339 20.341 0.083
 56584.342 20.400 0.121
 56586.283 20.392 0.122
 56594.320 20.583 0.122
 56594.329 20.724 0.048
 56641.269 21.250 0.088
filter r
 56279.333 14.653 0.007
 56280.266 14.464 0.009
 56281.292 14.302 0.009
 56282.281 14.174 0.006
 56283.199 14.064 0.009
 56284.277 14.003 0.009
 56285.169 13.916 0.010
 56286.219 13.886 0.008
 56288.357 13.841 0.006
 56289.194 13.841 0.010
 56290.189 13.837 0.010
 56291.234 13.830 0.009
 56292.222 13.825 0.010
 56293.238 13.848 0.010
 56294.238 13.889 0.008
 56295.171 13.946 0.009
 56296.181 14.000 0.008
 56297.280 14.064 0.006
 56298.270 14.140 0.007
 56299.209 14.210 0.010
 56300.135 14.280 0.007
 56301.150 14.338 0.006
