SN2005ki 0.0192 160.1176 9.2023
filter V
 53695.353 16.968 0.009
 53702.336 15.780 0.006
 53703.349 15.737 0.006
 53706.329 15.680 0.007
 53707.344 15.695 0.006
 53712.342 15.878 0.006
 53716.348 16.167 0.006
 53720.331 16.439 0.011
 53721.346 16.487 0.010
 53728.343 17.012 0.009
 53730.343 17.183 0.013
 53736.319 17.618 0.025
 53738.355 17.716 0.011
 53740.354 17.791 0.012
 53741.325 17.841 0.011
 53745.277 17.979 0.013
 53748.275 18.076 0.014
 53751.290 18.209 0.024
 53752.277 18.165 0.025
 53761.282 18.436 0.014
 53762.290 18.454 0.012
 53763.286 18.480 0.020
 53764.295 18.492 0.015
 53765.280 18.537 0.014
 53771.262 18.689 0.014
 53772.349 18.730 0.016
 53774.250 18.785 0.016
 53775.121 18.788 0.019
 53778.240 18.814 0.034
 53783.201 18.978 0.030
 53784.242 18.986 0.020
 53795.226 19.294 0.020
 53798.239 19.367 0.024
 53804.233 19.537 0.034
 53805.155 19.502 0.044
 53818.155 19.820 0.026
 53819.181 19.864 0.026
 53823.144 19.906 0.031
 53831.122 20.087 0.045
 53838.144 20.053 0.124
 53840.106 20.143 0.083
 53846.123 20.295 0.041
 53858.047 20.525 0.057
 53861.005 20.531 0.092
filter B
 53695.356 16.970 0.013
 53702.339 15.729 0.008
 53703.353 15.701 0.008
 53706.332 15.701 0.007
 53707.349 15.733 0.008
 53712.344 16.035 0.007
 53716.352 16.463 0.009
 53720.335 17.007 0.012
 53721.349 17.160 0.013
 53728.346 17.987 0.016
 53730.349 18.215 0.011
 53736.323 18.574 0.011
 53738.359 18.642 0.015
 53740.358 18.712 0.015
 53741.328 18.724 0.014
 53745.281 18.876 0.015
 53748.279 18.927 0.031
 53751.295 18.941 0.044
 53752.283 19.031 0.052
 53761.286 19.138 0.016
 53762.294 19.214 0.018
 53763.290 19.199 0.026
 53764.299 19.217 0.019
 53765.284 19.222 0.018
 53771.266 19.320 0.017
 53772.353 19.330 0.021
 53774.255 19.356 0.019
 53775.125 19.341 0.026
 53778.246 19.444 0.053
 53783.205 19.514 0.046
 53784.248 19.481 0.038
 53795.222 19.730 0.024
 53798.243 19.783 0.025
 53804.239 19.841 0.048
 53805.161 19.757 0.051
 53818.160 20.135 0.033
 53819.186 20.176 0.030
 53823.152 20.256 0.032
 53831.126 20.282 0.052
 53838.148 20.398 0.175
 53840.110 20.510 0.121
 53846.130 20.573 0.045
 53858.051 20.851 0.056
 53861.009 20.890 0.127
filter g
 53695.359 16.866 0.009
 53702.322 15.665 0.007
 53703.361 15.632 0.007
 53706.341 15.597 0.006
 53707.359 15.634 0.006
 53712.329 15.877 0.006
 53713.350 15.966 0.006
 53716.355 16.242 0.006
 53720.317 16.657 0.009
 53721.334 16.773 0.008
 53728.354 17.623 0.009
 53730.361 17.814 0.011
 53736.306 18.194 0.011
 53738.347 18.287 0.011
 53740.346 18.346 0.011
 53741.312 18.379 0.011
 53745.261 18.473 0.013
 53748.256 18.579 0.022
 53751.311 18.621 0.030
 53752.303 18.690 0.035
 53754.241 18.658 0.020
 53761.263 18.806 0.012
 53762.271 18.825 0.012
 53763.267 18.838 0.014
 53764.276 18.858 0.012
 53765.260 18.871 0.011
 53771.238 18.975 0.012
 53772.330 18.991 0.013
 53774.231 19.017 0.014
 53775.102 19.045 0.019
 53778.260 19.048 0.034
 53783.182 19.211 0.032
 53784.263 19.167 0.020
 53790.204 19.294 0.012
 53795.230 19.373 0.015
 53798.227 19.423 0.014
 53804.245 19.510 0.026
 53805.167 19.544 0.046
 53818.166 19.805 0.022
 53819.192 19.821 0.018
 53823.133 19.869 0.019
 53831.110 20.000 0.032
 53838.130 20.095 0.104
 53840.094 20.041 0.059
 53846.136 20.249 0.027
 53858.036 20.424 0.033
 53860.993 20.451 0.072
filter r
 53695.362 16.960 0.009
 53702.325 15.789 0.006
 53703.364 15.751 0.006
 53706.345 15.686 0.006
 53707.362 15.685 0.006
 53712.332 15.955 0.006
 53713.352 16.058 0.006
 53716.358 16.306 0.006
 53720.320 16.440 0.010
 53721.337 16.433 0.009
 53728.357 16.651 0.008
 53730.365 16.806 0.009
 53736.309 17.270 0.009
 53738.349 17.381 0.009
 53740.349 17.464 0.009
 53741.315 17.526 0.009
 53745.270 17.698 0.010
 53748.260 17.766 0.012
 53751.315 17.908 0.014
 53752.308 17.930 0.018
 53754.245 18.040 0.014
 53761.267 18.250 0.010
 53762.275 18.309 0.011
 53763.271 18.333 0.012
 53764.280 18.370 0.012
 53765.264 18.406 0.011
 53771.242 18.634 0.011
 53772.334 18.655 0.012
 53774.235 18.710 0.014
 53775.106 18.727 0.017
 53778.264 18.863 0.031
 53783.186 18.998 0.023
 53784.268 19.037 0.020
 53790.208 19.278 0.016
 53795.234 19.451 0.020
 53798.231 19.535 0.019
 53804.249 19.777 0.041
 53805.171 19.793 0.045
 53818.171 20.165 0.029
 53819.197 20.207 0.031
 53823.136 20.276 0.035
 53831.114 20.525 0.055
 53840.098 20.792 0.091
 53846.141 20.852 0.055
 53858.040 21.129 0.073
filter i
 53695.364 17.093 0.012
 53702.327 16.160 0.007
 53703.367 16.208 0.009
 53706.348 16.298 0.007
 53707.365 16.323 0.009
 53712.335 16.711 0.009
 53713.355 16.839 0.009
 53716.361 17.031 0.011
 53720.323 17.019 0.012
 53721.339 16.968 0.010
 53728.360 16.777 0.009
 53730.367 16.859 0.013
 53736.311 17.359 0.011
 53738.352 17.510 0.010
 53740.351 17.642 0.010
 53741.318 17.666 0.010
 53745.266 17.857 0.014
 53748.263 18.020 0.015
 53751.319 18.123 0.019
 53752.312 18.227 0.034
 53754.249 18.272 0.019
 53761.271 18.564 0.016
 53762.279 18.605 0.018
 53763.274 18.585 0.030
 53764.283 18.685 0.017
 53765.268 18.695 0.017
 53771.247 18.951 0.020
 53772.338 18.978 0.020
 53774.238 19.070 0.023
 53775.110 19.120 0.028
 53778.269 19.118 0.039
 53783.189 19.346 0.041
 53784.272 19.410 0.032
 53790.211 19.638 0.030
 53795.238 19.722 0.038
 53798.235 19.890 0.033
 53804.255 20.067 0.060
 53805.176 19.971 0.058
 53818.175 20.397 0.065
 53819.202 20.410 0.043
 53823.140 20.451 0.064
 53840.102 20.740 0.121
 53846.146 20.936 0.109
filter u
 53695.367 17.164 0.042
 53702.331 16.025 0.018
 53703.356 16.035 0.019
 53706.336 16.166 0.018
 53707.354 16.255 0.019
 53712.338 16.733 0.019
 53713.359 16.881 0.021
 53716.365 17.330 0.034
 53720.326 17.985 0.034
 53721.343 18.150 0.034
 53728.350 19.002 0.045
 53730.356 19.275 0.056
 53736.315 19.659 0.058
 53740.362 19.762 0.075
 53741.321 19.838 0.085
 53745.273 19.852 0.082
 53748.269 19.887 0.110
 53751.303 19.768 0.109
 53752.296 19.900 0.118
 53761.276 20.308 0.066
 53762.284 20.307 0.060
 53763.280 20.076 0.107
 53764.289 20.290 0.063
 53765.274 20.320 0.069
 53771.253 20.373 0.076
 53772.343 20.404 0.078
 53774.244 20.395 0.180
 53775.115 20.587 0.114
 53783.195 20.731 0.175
 53784.256 20.849 0.184
filter Y
 53696.300 16.726 0.023
 53696.309 16.664 0.020
 53701.296 16.130 0.015
 53701.304 16.144 0.014
 53704.329 16.296 0.021
 53708.353 16.703 0.018
 53708.362 16.684 0.020
 53709.331 16.748 0.023
 53709.340 16.762 0.020
 53714.352 17.060 0.023
 53714.360 17.047 0.023
 53715.361 17.125 0.027
 53719.351 16.912 0.021
 53719.360 16.929 0.028
 53724.345 16.533 0.024
 53724.353 16.508 0.023
 53732.347 16.211 0.016
 53732.355 16.215 0.020
 53750.339 17.392 0.018
 53756.303 17.752 0.026
 53756.309 17.786 0.030
filter J
 53696.317 16.650 0.033
 53696.326 16.644 0.028
 53701.313 16.088 0.019
 53701.321 16.063 0.016
 53705.335 16.276 0.033
 53708.319 16.518 0.033
 53708.327 16.624 0.034
 53709.315 16.672 0.029
 53709.323 16.684 0.032
 53714.335 17.682 0.055
 53714.343 17.737 0.053
 53715.344 17.818 0.067
 53715.353 17.828 0.060
 53724.362 17.534 0.053
 53724.376 17.512 0.098
 53732.364 17.388 0.044
 53732.373 17.268 0.041
 53750.348 18.804 0.042
 53750.356 18.904 0.045
 53756.317 19.467 0.146
 53756.325 19.373 0.101
filter H
 53697.328 16.520 0.054
 53701.329 16.219 0.028
 53708.336 16.718 0.049
 53708.345 16.695 0.061
 53709.348 16.713 0.057
 53709.357 16.771 0.073
 53714.369 16.999 0.045
 53715.325 16.962 0.060
 53715.334 17.019 0.054
 53717.360 17.012 0.052
 53717.369 17.023 0.063
 53719.369 16.888 0.055
 53719.378 16.913 0.058
 53750.364 17.802 0.032
 53750.371 17.781 0.036
 53756.334 18.054 0.065
 53756.342 18.062 0.069
