SN2005ke 0.0049 53.7681 -24.9441
filter V
 53689.176 16.244 0.010
 53690.256 15.766 0.009
 53694.250 14.753 0.008
 53695.222 14.616 0.010
 53698.225 14.297 0.006
 53699.223 14.247 0.009
 53702.213 14.249 0.011
 53703.264 14.286 0.009
 53706.212 14.555 0.011
 53707.316 14.683 0.010
 53712.217 15.180 0.010
 53713.185 15.275 0.008
 53716.155 15.516 0.006
 53720.188 15.804 0.010
 53721.161 15.870 0.010
 53725.230 16.099 0.009
 53730.213 16.328 0.009
 53736.179 16.533 0.009
 53737.180 16.561 0.010
 53741.155 16.713 0.009
 53746.185 16.864 0.011
 53750.105 17.001 0.010
 53755.144 17.143 0.009
 53761.202 17.319 0.011
 53763.093 17.370 0.014
 53764.111 17.412 0.013
 53765.093 17.444 0.015
 53767.042 17.490 0.009
 53771.079 17.604 0.012
 53773.073 17.662 0.015
 53774.927 17.722 0.014
 53778.056 17.802 0.018
 53784.039 17.970 0.015
 53786.049 18.053 0.016
 53798.045 18.373 0.019
 53804.059 18.509 0.025
 53809.049 18.649 0.049
 53818.993 18.989 0.029
 53967.335 20.867 0.167
filter B
 53689.181 16.631 0.011
 53690.264 16.143 0.010
 53694.254 15.219 0.009
 53695.225 15.104 0.007
 53698.227 14.901 0.006
 53699.225 14.929 0.012
 53702.215 15.128 0.012
 53703.268 15.297 0.013
 53706.216 15.767 0.014
 53707.323 15.925 0.008
 53712.219 16.574 0.012
 53713.187 16.638 0.012
 53716.160 16.845 0.009
 53720.190 17.027 0.012
 53721.163 17.094 0.011
 53725.233 17.236 0.011
 53730.218 17.383 0.011
 53736.182 17.525 0.014
 53737.184 17.559 0.013
 53741.158 17.638 0.011
 53746.190 17.733 0.017
 53750.109 17.821 0.016
 53755.147 17.943 0.015
 53761.205 18.096 0.015
 53763.097 18.098 0.016
 53764.114 18.116 0.015
 53765.096 18.155 0.021
 53767.048 18.186 0.012
 53771.082 18.251 0.016
 53773.068 18.298 0.016
 53774.930 18.339 0.020
 53778.061 18.364 0.023
 53784.043 18.522 0.016
 53786.054 18.549 0.022
 53798.049 18.810 0.022
 53804.064 18.855 0.029
 53809.053 19.090 0.084
 53818.998 19.154 0.026
 53967.335 20.661 0.143
filter u
 53689.185 17.489 0.026
 53690.270 16.910 0.016
 53694.259 16.287 0.013
 53695.219 16.245 0.014
 53698.221 16.182 0.012
 53699.220 16.234 0.015
 53702.210 16.564 0.016
 53703.271 16.715 0.017
 53706.221 17.261 0.019
 53707.326 17.457 0.022
 53712.214 18.074 0.027
 53713.181 18.143 0.028
 53716.165 18.241 0.034
 53720.184 18.387 0.039
 53721.155 18.424 0.036
 53725.226 18.528 0.035
 53730.223 18.668 0.036
 53736.176 18.807 0.041
 53737.176 18.882 0.042
 53741.148 19.022 0.053
 53746.179 19.222 0.056
 53750.115 19.108 0.060
 53755.140 19.318 0.048
 53761.197 19.569 0.077
 53763.089 19.720 0.062
 53764.106 19.703 0.081
 53765.087 19.792 0.059
 53771.075 19.920 0.073
 53773.088 20.127 0.095
 53774.922 20.162 0.126
 53778.067 20.219 0.145
 53784.049 20.208 0.075
 53786.059 20.357 0.099
filter g
 53689.190 16.390 0.009
 53690.274 15.916 0.009
 53694.263 14.932 0.007
 53695.212 14.813 0.007
 53698.214 14.546 0.006
 53699.213 14.524 0.008
 53702.203 14.661 0.010
 53703.275 14.759 0.007
 53706.225 15.182 0.008
 53707.330 15.364 0.008
 53712.207 15.983 0.006
 53713.174 16.078 0.007
 53716.171 16.295 0.006
 53720.176 16.526 0.009
 53721.148 16.567 0.008
 53725.216 16.754 0.006
 53730.228 16.911 0.007
 53736.168 17.069 0.010
 53737.168 17.087 0.008
 53741.140 17.189 0.007
 53746.167 17.313 0.011
 53750.120 17.383 0.011
 53755.130 17.504 0.008
 53761.188 17.645 0.009
 53763.079 17.701 0.013
 53764.097 17.715 0.011
 53765.078 17.733 0.011
 53767.053 17.765 0.009
 53771.063 17.836 0.011
 53773.077 17.885 0.013
 53774.913 17.974 0.013
 53778.072 18.029 0.016
 53784.055 18.124 0.012
 53786.065 18.194 0.014
 53798.031 18.456 0.016
 53804.077 18.588 0.028
 53809.035 18.770 0.039
 53819.012 18.922 0.020
 53967.377 20.720 0.149
filter r
 53689.194 16.140 0.008
 53690.278 15.672 0.008
 53694.267 14.658 0.006
 53695.214 14.520 0.008
 53698.216 14.175 0.006
 53703.279 14.075 0.006
 53706.231 14.237 0.011
 53707.333 14.311 0.006
 53712.209 14.718 0.006
 53713.176 14.818 0.007
 53716.175 15.047 0.006
 53720.179 15.405 0.008
 53721.150 15.497 0.006
 53725.218 15.773 0.006
 53730.231 16.056 0.008
 53736.170 16.346 0.008
 53737.170 16.388 0.008
 53741.143 16.578 0.007
 53746.172 16.798 0.009
 53750.123 16.961 0.009
 53755.133 17.201 0.009
 53761.190 17.470 0.009
 53763.082 17.549 0.011
 53764.099 17.594 0.012
 53765.080 17.639 0.013
 53767.057 17.736 0.009
 53771.068 17.889 0.012
 53773.079 17.990 0.014
 53774.915 18.066 0.015
 53778.075 18.195 0.016
 53784.058 18.434 0.018
 53786.068 18.508 0.017
 53798.034 18.968 0.019
 53804.080 19.226 0.055
 53809.037 19.371 0.049
 53819.016 19.741 0.038
filter i
 53689.197 16.169 0.009
