SN2013aa 0.0040 218.1412 -44.2244
filter B
 56338.360 11.885 0.006
 56339.369 11.811 0.009
 56340.384 11.759 0.007
 56341.390 11.707 0.006
 56342.386 11.699 0.006
 56343.375 11.692 0.009
 56344.392 11.694 0.009
 56345.381 11.742 0.015
 56346.394 11.755 0.013
 56351.398 12.019 0.009
 56352.384 12.103 0.012
 56353.390 12.165 0.010
 56354.377 12.250 0.009
 56355.356 12.330 0.009
 56356.414 12.444 0.012
 56357.356 12.533 0.009
 56358.342 12.643 0.013
 56359.393 12.754 0.008
 56360.357 12.854 0.010
 56364.402 13.300 0.009
 56365.396 13.399 0.011
 56366.327 13.503 0.008
 56367.360 13.593 0.012
 56368.332 13.694 0.011
 56370.389 13.908 0.011
 56371.372 13.985 0.009
 56372.372 14.071 0.010
 56373.405 14.145 0.008
 56374.419 14.225 0.009
 56376.406 14.367 0.009
 56377.347 14.391 0.012
 56378.425 14.459 0.012
 56379.302 14.503 0.012
 56380.319 14.563 0.012
 56381.307 14.597 0.011
 56382.382 14.658 0.009
 56384.410 14.719 0.009
 56386.402 14.774 0.005
 56393.400 14.926 0.005
 56397.385 14.986 0.007
 56400.258 15.035 0.008
 56403.227 15.077 0.008
 56406.215 15.126 0.007
 56409.300 15.167 0.005
 56417.188 15.287 0.005
 56422.360 15.369 0.005
 56426.157 15.423 0.007
 56434.230 15.552 0.007
 56436.313 15.566 0.010
 56444.130 15.692 0.006
 56446.178 15.717 0.008
 56448.226 15.761 0.007
 56653.354 18.724 0.022
 56685.319 19.232 0.013
 56707.342 19.552 0.041
 56714.318 19.713 0.025
 56714.319 19.728 0.026
 56714.321 19.724 0.025
 56724.322 19.820 0.021
 56756.234 20.359 0.027
 56762.270 20.311 0.065
 56762.272 20.552 0.076
 56783.370 20.791 0.046
 56885.032 22.646 0.120
filter V
 56338.362 11.860 0.006
 56339.371 11.780 0.009
 56340.386 11.704 0.006
 56341.389 11.650 0.006
 56342.382 11.644 0.006
 56343.374 11.630 0.009
 56344.391 11.617 0.008
 56345.380 11.620 0.013
 56346.393 11.628 0.012
 56351.397 11.813 0.011
 56352.383 11.831 0.014
 56353.391 11.903 0.012
 56354.376 11.935 0.009
 56355.355 12.016 0.012
 56356.413 12.085 0.010
 56357.357 12.166 0.009
 56358.341 12.207 0.012
 56359.392 12.276 0.007
 56360.358 12.309 0.011
 56364.401 12.547 0.009
 56365.398 12.591 0.009
 56366.326 12.649 0.007
 56367.362 12.690 0.012
 56368.334 12.757 0.011
 56370.390 12.892 0.009
 56371.374 12.931 0.011
 56372.371 12.999 0.009
 56373.406 13.059 0.008
 56374.420 13.134 0.009
 56376.407 13.220 0.012
 56377.346 13.291 0.015
 56378.423 13.377 0.011
 56379.300 13.394 0.013
 56380.318 13.482 0.013
 56381.305 13.523 0.013
 56382.381 13.582 0.010
 56384.412 13.670 0.009
 56386.400 13.731 0.007
 56393.403 13.945 0.007
 56397.384 14.052 0.006
 56400.260 14.127 0.006
 56403.226 14.210 0.007
 56406.218 14.290 0.007
 56409.296 14.367 0.005
 56417.190 14.562 0.005
 56422.357 14.689 0.005
 56426.156 14.787 0.006
 56434.228 14.988 0.007
 56436.312 15.034 0.008
 56444.132 15.208 0.005
 56446.176 15.229 0.008
 56448.224 15.295 0.006
 56685.314 19.025 0.012
 56707.339 19.441 0.035
 56714.314 19.569 0.020
 56714.315 19.511 0.020
 56714.316 19.505 0.020
 56724.326 19.637 0.021
 56756.238 20.116 0.024
 56762.267 20.117 0.062
 56783.375 20.655 0.052
filter g
 56338.367 11.834 0.005
 56339.375 11.748 0.009
 56340.389 11.689 0.007
 56341.385 11.652 0.005
 56342.377 11.640 0.005
 56343.370 11.634 0.007
 56344.388 11.636 0.007
 56345.373 11.672 0.011
 56346.389 11.669 0.011
 56351.392 11.909 0.009
 56351.393 11.908 0.009
 56352.379 11.948 0.011
 56353.392 11.991 0.008
 56354.370 12.067 0.007
 56355.350 12.135 0.010
 56356.410 12.210 0.007
 56357.359 12.297 0.008
 56358.337 12.361 0.009
 56359.388 12.462 0.005
 56360.359 12.536 0.009
 56364.394 12.889 0.005
 56365.399 12.977 0.009
 56366.321 13.055 0.013
 56367.363 13.152 0.009
 56368.336 13.238 0.010
 56369.340 13.329 0.009
 56370.391 13.438 0.007
 56371.375 13.522 0.009
 56372.366 13.613 0.009
 56373.407 13.687 0.006
 56374.421 13.759 0.009
 56376.408 13.903 0.008
 56377.339 13.947 0.012
 56378.427 14.004 0.013
 56379.291 14.051 0.015
 56379.293 14.052 0.011
 56380.311 14.114 0.013
 56381.301 14.158 0.012
 56382.375 14.201 0.009
 56384.413 14.285 0.008
 56386.392 14.353 0.006
 56389.419 14.403 0.006
 56393.405 14.501 0.005
 56397.378 14.577 0.005
 56400.266 14.631 0.005
 56403.218 14.671 0.007
 56406.222 14.734 0.006
 56409.280 14.781 0.005
 56417.192 14.917 0.005
 56422.343 14.997 0.005
 56426.148 15.055 0.006
 56434.221 15.210 0.006
 56436.299 15.244 0.007
 56444.134 15.357 0.005
 56446.166 15.376 0.006
 56448.214 15.425 0.005
 56685.309 18.872 0.009
 56707.331 19.215 0.021
 56714.323 19.378 0.012
 56714.324 19.370 0.013
 56714.325 19.369 0.013
 56724.330 19.466 0.011
 56756.242 19.982 0.018
 56762.252 20.045 0.071
 56762.254 20.090 0.068
 56885.042 22.275 0.064
filter i
 56338.369 12.155 0.009
 56339.377 12.149 0.010
 56340.391 12.136 0.008
 56341.387 12.156 0.006
 56342.380 12.181 0.005
 56343.372 12.235 0.009
 56344.390 12.280 0.008
 56345.376 12.318 0.016
 56346.391 12.353 0.015
 56351.395 12.635 0.012
 56352.381 12.748 0.017
 56353.395 12.814 0.010
 56354.373 12.910 0.012
 56355.352 13.006 0.012
 56356.412 13.096 0.015
 56357.361 13.146 0.011
 56358.339 13.155 0.011
 56359.390 13.160 0.008
 56360.361 13.146 0.014
 56364.396 13.035 0.007
 56365.401 13.002 0.011
 56366.320 12.975 0.015
 56367.365 12.944 0.012
 56368.338 12.912 0.016
 56369.342 12.866 0.012
 56370.394 12.848 0.009
 56371.377 12.841 0.009
 56372.368 12.848 0.009
 56373.409 12.864 0.009
 56374.423 12.891 0.009
 56376.410 12.965 0.010
 56377.342 12.983 0.015
 56378.429 13.098 0.016
 56379.295 13.118 0.018
 56380.310 13.254 0.020
 56381.300 13.310 0.016
 56382.374 13.365 0.009
 56384.415 13.498 0.008
 56386.395 13.599 0.007
 56389.421 13.738 0.007
 56393.407 13.916 0.008
 56397.376 14.065 0.006
 56400.264 14.175 0.006
 56403.221 14.271 0.008
 56406.228 14.405 0.007
 56409.275 14.512 0.005
 56417.196 14.796 0.005
 56422.348 14.985 0.005
 56426.150 15.113 0.008
 56434.220 15.375 0.008
 56436.305 15.449 0.010
 56444.138 15.685 0.005
 56446.169 15.733 0.010
 56448.217 15.791 0.010
 56653.363 19.041 0.035
 56685.298 19.388 0.017
 56714.331 19.692 0.024
 56714.333 19.713 0.027
 56714.334 19.734 0.025
 56724.338 19.863 0.037
 56756.250 20.220 0.033
 56762.259 20.371 0.090
 56762.261 20.291 0.074
 56783.382 20.463 0.067
filter r
 56338.370 11.862 0.009
 56339.373 11.815 0.012
 56340.390 11.738 0.009
 56341.386 11.694 0.006
 56342.379 11.706 0.006
 56343.371 11.668 0.008
 56344.389 11.688 0.009
 56345.375 11.691 0.013
 56346.390 11.671 0.011
 56351.394 11.884 0.010
 56352.380 11.965 0.012
 56353.394 12.034 0.011
 56354.372 12.118 0.008
 56355.351 12.212 0.010
 56356.411 12.286 0.009
 56357.360 12.335 0.009
 56358.338 12.403 0.010
 56359.389 12.443 0.007
 56360.360 12.469 0.009
 56364.398 12.520 0.007
 56365.400 12.532 0.009
 56366.319 12.545 0.010
 56367.364 12.563 0.012
 56368.337 12.588 0.011
 56369.341 12.587 0.010
 56370.393 12.648 0.008
 56371.376 12.668 0.009
 56372.367 12.711 0.010
 56373.408 12.757 0.007
 56374.422 12.802 0.009
 56376.409 12.918 0.011
 56377.341 12.974 0.012
 56378.428 13.066 0.012
 56379.294 13.125 0.013
 56380.309 13.174 0.014
 56381.299 13.225 0.013
 56382.373 13.313 0.008
 56384.414 13.424 0.009
 56386.394 13.502 0.005
 56389.420 13.633 0.007
 56393.406 13.769 0.005
 56397.377 13.899 0.006
 56400.263 14.002 0.006
 56403.219 14.090 0.008
 56406.225 14.193 0.007
 56409.271 14.283 0.006
 56417.194 14.532 0.005
 56422.345 14.702 0.005
 56426.149 14.817 0.006
 56434.217 15.075 0.006
 56436.302 15.156 0.009
 56444.136 15.368 0.005
 56446.167 15.418 0.007
 56448.215 15.496 0.006
 56653.360 20.017 0.052
 56685.304 20.520 0.030
 56714.327 20.975 0.045
 56714.328 21.131 0.056
 56714.330 21.102 0.049
 56756.246 21.616 0.062
filter u
 56338.371 12.189 0.014
 56339.376 12.140 0.015
 56340.388 12.114 0.012
 56341.388 12.114 0.012
 56342.381 12.125 0.012
 56343.373 12.143 0.013
