SN2008gl 0.0340 20.2284 4.8053
filter V
 54765.187 16.969 0.006
 54766.190 16.925 0.005
 54768.115 16.871 0.007
 54770.110 16.871 0.008
 54772.184 16.910 0.007
 54776.117 17.092 0.007
 54779.099 17.294 0.009
 54781.127 17.419 0.020
 54783.179 17.585 0.014
 54789.159 17.991 0.010
 54792.064 18.136 0.012
 54795.137 18.491 0.012
 54801.197 18.910 0.017
 54802.104 18.969 0.016
 54806.112 19.094 0.020
 54809.143 19.081 0.045
 54814.081 19.253 0.028
 54818.081 19.467 0.023
 54820.074 19.466 0.022
 54824.032 19.540 0.037
 54831.086 19.701 0.032
 54844.033 19.954 0.086
filter B
 54765.193 16.962 0.007
 54766.197 16.922 0.006
 54768.119 16.906 0.007
 54770.114 16.949 0.008
 54772.189 17.065 0.008
 54776.126 17.386 0.008
 54779.103 17.704 0.012
 54781.132 17.960 0.025
 54783.184 18.233 0.030
 54789.164 18.996 0.016
 54792.069 19.289 0.018
 54795.141 19.566 0.023
 54801.202 19.974 0.036
 54802.108 19.987 0.030
 54806.116 20.014 0.053
 54818.086 20.269 0.042
 54820.080 20.256 0.036
 54824.038 20.341 0.058
 54831.091 20.376 0.042
filter u
 54765.201 17.542 0.013
 54766.205 17.514 0.013
 54768.110 17.581 0.018
 54770.104 17.699 0.014
 54772.178 17.905 0.015
 54776.134 18.415 0.019
 54779.092 18.798 0.030
 54781.121 19.094 0.078
 54783.173 19.537 0.115
 54789.172 20.125 0.051
 54792.058 20.468 0.052
 54795.131 20.677 0.065
 54802.098 20.975 0.090
 54820.090 21.515 0.114
 54824.047 21.654 0.129
 54831.078 21.612 0.113
filter g
 54765.208 16.857 0.005
 54766.212 16.815 0.005
 54768.097 16.788 0.006
 54770.089 16.817 0.006
 54772.164 16.905 0.006
 54776.142 17.165 0.006
 54779.078 17.453 0.009
 54781.107 17.681 0.017
 54783.159 17.913 0.015
 54789.182 18.555 0.010
 54792.044 18.874 0.011
 54795.116 19.158 0.013
 54801.207 19.519 0.015
 54802.083 19.552 0.017
 54806.091 19.676 0.028
 54809.123 19.667 0.056
 54814.057 19.814 0.028
 54818.057 19.871 0.020
 54820.100 19.949 0.022
 54824.056 20.004 0.022
 54831.062 20.071 0.026
 54844.057 20.287 0.044
filter r
 54765.213 16.922 0.006
 54766.216 16.883 0.005
 54768.102 16.824 0.005
 54770.093 16.813 0.007
 54772.168 16.845 0.007
 54776.147 17.097 0.006
 54779.082 17.328 0.008
 54781.111 17.444 0.019
 54783.163 17.499 0.012
 54789.187 17.612 0.009
 54792.048 17.747 0.011
 54795.120 17.999 0.010
 54801.212 18.433 0.011
 54802.087 18.452 0.011
 54806.095 18.597 0.013
 54809.127 18.734 0.027
 54814.061 18.892 0.016
 54818.061 19.004 0.016
 54820.104 19.092 0.016
 54824.061 19.238 0.018
 54831.066 19.381 0.019
 54844.062 19.866 0.041
filter i
 54765.218 17.310 0.009
 54766.221 17.361 0.007
 54768.106 17.400 0.008
 54770.098 17.381 0.009
 54772.172 17.431 0.009
 54776.153 17.829 0.011
 54779.086 18.076 0.013
 54781.115 18.130 0.049
 54783.167 18.082 0.018
 54789.193 17.894 0.012
 54792.052 17.867 0.011
 54795.125 18.037 0.014
 54801.216 18.552 0.017
 54802.092 18.554 0.016
 54806.100 18.785 0.019
 54809.131 18.992 0.044
 54814.066 19.169 0.026
 54818.066 19.329 0.028
 54820.109 19.431 0.030
 54824.066 19.606 0.045
 54831.071 19.876 0.034
 54844.067 20.296 0.075
filter Y
 54767.203 17.682 0.040
 54767.211 17.665 0.032
 54769.145 17.829 0.041
 54769.153 17.791 0.048
 54771.148 17.885 0.100
 54771.156 18.029 0.100
 54778.153 18.359 0.062
 54778.162 18.410 0.066
 54782.152 18.255 0.066
 54782.160 18.243 0.071
 54784.174 18.388 0.092
 54784.181 18.316 0.076
 54788.141 17.730 0.038
 54788.150 17.715 0.039
 54796.162 17.441 0.033
 54796.170 17.456 0.042
 54800.157 17.871 0.043
 54800.166 17.793 0.050
 54815.066 18.913 0.116
 54816.073 19.048 0.124
filter J
 54767.219 17.275 0.040
 54767.230 17.251 0.033
 54769.162 17.539 0.100
 54769.173 17.364 0.044
 54771.172 17.578 0.037
 54771.184 17.524 0.049
 54778.172 18.653 0.139
 54778.184 18.686 0.133
 54782.180 18.806 0.186
 54788.159 18.448 0.105
 54788.171 18.460 0.124
 54796.183 18.301 0.109
 54796.194 18.348 0.118
 54800.175 18.403 0.116
 54800.187 18.480 0.130
filter H
 54767.241 17.430 0.097
 54767.250 17.442 0.086
 54769.184 17.853 0.133
 54769.192 17.634 0.111
 54771.195 17.923 0.147
 54771.204 17.644 0.129
 54788.184 17.945 0.147
 54788.197 17.809 0.152
