PTF14yw 0.0170 176.2649 19.9737
filter B
 56725.203 16.008 0.012
 56726.177 15.936 0.017
 56727.174 15.904 0.016
 56728.192 15.858 0.017
 56729.177 15.815 0.015
 56730.204 15.820 0.016
 56734.193 15.993 0.017
 56735.198 16.060 0.016
 56736.188 16.147 0.017
 56741.138 16.669 0.014
 56743.137 16.913 0.022
 56745.140 17.212 0.018
 56751.132 17.916 0.022
 56756.098 18.444 0.026
 56758.124 18.586 0.037
 56761.098 18.603 0.043
 56763.160 18.799 0.036
 56765.116 18.816 0.028
 56765.119 18.838 0.031
 56767.134 18.888 0.022
filter V
 56725.204 16.040 0.012
 56726.176 15.949 0.014
 56727.175 15.901 0.011
 56728.191 15.870 0.017
 56729.176 15.850 0.014
 56730.206 15.849 0.013
 56734.190 15.937 0.013
 56735.197 15.966 0.011
 56736.186 16.014 0.010
 56741.139 16.370 0.016
 56743.136 16.536 0.043
 56745.139 16.585 0.017
 56751.135 16.994 0.020
 56756.100 17.416 0.023
 56758.121 17.572 0.017
 56761.096 17.801 0.024
 56765.123 17.958 0.018
 56767.138 18.006 0.023
filter g
 56725.205 15.978 0.011
 56726.170 15.904 0.009
 56727.176 15.815 0.011
 56728.188 15.801 0.013
 56729.170 15.772 0.013
 56730.208 15.818 0.010
 56734.175 15.926 0.011
 56735.192 15.992 0.012
 56736.178 16.062 0.009
 56741.140 16.458 0.014
 56743.130 16.685 0.017
 56745.130 16.878 0.013
 56751.141 17.591 0.022
 56756.102 18.082 0.023
 56758.107 18.146 0.029
 56761.087 18.432 0.036
 56763.144 18.486 0.063
 56765.130 18.492 0.037
 56767.144 18.591 0.028
 56774.109 18.724 0.071
filter H
 56725.206 16.807 0.305
filter r
 56725.206 16.064 0.016
 56726.171 15.987 0.013
 56727.178 15.946 0.019
 56728.186 15.874 0.021
 56729.171 15.828 0.014
 56730.209 15.858 0.016
 56734.177 15.970 0.016
 56735.191 16.020 0.016
 56736.180 16.103 0.013
 56741.141 16.585 0.018
 56743.130 16.613 0.020
 56745.132 16.651 0.019
 56751.140 16.718 0.019
 56756.104 17.109 0.023
 56758.109 17.205 0.017
 56761.089 17.486 0.027
 56765.129 17.658 0.027
 56767.143 17.751 0.038
filter i
 56725.208 16.555 0.021
 56726.172 16.457 0.023
 56727.183 16.510 0.024
 56728.187 16.586 0.034
 56729.175 16.580 0.027
 56730.210 16.536 0.020
 56734.178 16.719 0.032
 56735.190 16.829 0.027
 56736.181 16.964 0.026
 56741.142 17.370 0.038
 56743.131 17.361 0.038
 56745.133 17.179 0.033
 56751.138 16.970 0.028
 56756.106 17.250 0.027
 56758.111 17.378 0.019
 56761.090 17.714 0.036
 56765.126 17.931 0.041
 56767.142 17.912 0.051
filter u
 56725.209 16.435 0.025
 56726.174 16.490 0.026
 56727.180 16.409 0.026
 56728.189 16.411 0.027
 56729.173 16.416 0.031
 56730.211 16.533 0.033
 56734.181 16.862 0.031
 56735.194 16.916 0.030
 56736.183 17.082 0.031
 56741.144 17.698 0.030
 56743.133 18.015 0.080
 56745.136 18.188 0.033
 56751.144 18.863 0.043
 56756.109 19.517 0.057
 56758.116 19.910 0.131
 56761.104 19.832 0.141
 56765.135 19.797 0.118
 56765.143 19.728 0.096
filter J
 56725.216 16.438 0.033
