SN2006kf 0.0213 55.4603 8.1569
filter V
 54036.300 16.934 0.007
 54038.266 16.741 0.007
 54039.253 16.694 0.007
 54042.240 16.623 0.009
 54048.263 16.795 0.007
 54052.283 17.087 0.008
 54056.219 17.418 0.008
 54060.174 17.731 0.009
 54065.202 18.169 0.012
 54068.201 18.420 0.016
 54069.196 18.481 0.017
 54075.209 18.776 0.032
 54080.201 18.930 0.023
 54084.153 19.033 0.018
 54087.175 19.161 0.017
 54091.173 19.249 0.022
 54096.135 19.396 0.032
 54102.144 19.485 0.093
 54119.123 19.987 0.028
 54127.127 20.228 0.059
filter B
 54036.307 17.078 0.007
 54038.271 16.908 0.007
 54039.258 16.841 0.007
 54042.245 16.832 0.009
 54048.269 17.267 0.010
 54056.223 18.425 0.011
 54060.182 18.930 0.014
 54065.209 19.447 0.024
 54068.207 19.607 0.078
 54068.239 19.608 0.025
 54069.202 19.619 0.035
 54080.208 20.154 0.055
 54084.157 20.181 0.040
 54087.179 20.273 0.040
 54091.180 20.216 0.040
 54096.139 20.381 0.075
 54119.135 20.896 0.050
 54127.140 21.010 0.157
filter u
 54036.312 17.617 0.018
 54038.278 17.481 0.015
 54039.265 17.475 0.016
 54042.236 17.595 0.022
 54048.273 18.339 0.036
 54052.279 19.007 0.043
 54056.214 19.762 0.083
 54060.188 20.270 0.081
 54065.215 20.735 0.110
filter g
 54036.317 16.939 0.007
 54038.284 16.749 0.007
 54039.271 16.704 0.007
 54042.223 16.682 0.008
 54048.279 17.007 0.007
 54052.266 17.385 0.008
 54056.201 17.907 0.008
 54060.195 18.410 0.009
 54068.221 19.155 0.016
 54069.223 19.214 0.025
 54080.223 19.562 0.030
 54084.136 19.723 0.019
 54087.157 19.777 0.017
 54096.117 19.989 0.047
 54119.096 20.373 0.023
 54123.158 20.451 0.022
filter r
 54036.322 16.769 0.007
 54038.289 16.590 0.007
 54039.276 16.551 0.007
 54042.227 16.492 0.007
 54048.284 16.748 0.006
 54052.270 17.018 0.009
 54056.205 17.153 0.006
 54060.200 17.293 0.009
 54065.229 17.684 0.010
 54068.226 17.960 0.011
 54069.228 18.044 0.012
 54075.196 18.366 0.016
 54080.229 18.569 0.016
 54084.140 18.734 0.014
 54087.162 18.840 0.014
 54091.201 18.980 0.018
 54096.122 19.151 0.026
 54102.134 19.374 0.070
 54119.106 19.970 0.026
 54123.167 20.106 0.040
filter i
 54036.327 16.880 0.007
 54038.294 16.787 0.009
 54039.281 16.808 0.008
 54042.232 16.922 0.009
 54048.289 17.325 0.009
 54052.274 17.567 0.010
 54056.210 17.444 0.009
 54060.205 17.393 0.010
 54065.234 17.577 0.012
 54068.231 17.853 0.013
 54069.232 17.960 0.012
 54075.200 18.331 0.020
 54080.234 18.608 0.022
 54084.144 18.788 0.019
 54087.166 18.935 0.020
 54091.206 19.124 0.024
 54096.126 19.364 0.036
 54119.114 20.247 0.051
 54127.163 20.449 0.112
filter J
 54037.287 16.406 0.017
 54037.293 16.398 0.017
 54037.309 16.365 0.025
 54037.318 16.397 0.024
 54039.251 16.431 0.017
 54039.258 16.421 0.017
 54041.224 16.529 0.028
 54041.233 16.574 0.030
 54043.175 16.740 0.044
 54043.184 16.688 0.034
 54045.244 17.023 0.071
 54045.253 17.020 0.060
 54047.243 17.439 0.066
 54047.254 17.456 0.067
 54049.270 17.763 0.027
 54049.276 17.808 0.026
 54053.231 18.003 0.116
 54053.240 17.972 0.105
 54057.207 17.917 0.096
 54057.223 17.709 0.091
 54066.287 17.584 0.021
 54066.295 17.519 0.022
 54070.229 17.871 0.095
 54070.237 17.800 0.100
 54074.226 18.393 0.130
 54078.169 18.614 0.113
 54078.185 18.856 0.134
filter Y
 54037.291 16.473 0.022
 54037.300 16.508 0.022
 54037.332 16.535 0.021
 54037.339 16.526 0.020
 54039.236 16.574 0.023
 54039.243 16.588 0.023
 54041.207 16.699 0.028
 54041.216 16.707 0.036
 54043.158 16.865 0.036
 54043.167 16.865 0.033
 54045.226 17.031 0.042
 54045.235 16.973 0.040
 54047.225 17.167 0.028
 54047.234 17.144 0.040
 54049.255 17.317 0.025
 54049.261 17.314 0.026
 54053.214 17.152 0.027
 54053.223 17.114 0.027
 54057.189 16.874 0.027
 54057.198 16.875 0.029
 54066.272 16.619 0.026
 54066.279 16.611 0.023
 54070.220 16.822 0.023
 54074.200 17.110 0.028
 54074.209 17.165 0.031
 54078.145 17.389 0.039
 54078.157 17.360 0.023
 54083.179 17.601 0.038
 54083.191 17.654 0.059
 54100.106 18.521 0.047
 54100.112 18.652 0.048
 54111.168 19.043 0.134
 54124.108 19.277 0.123
 54124.123 19.527 0.152
filter H
 54037.326 16.522 0.052
 54037.340 16.566 0.062
 54041.242 16.701 0.060
 54041.255 16.787 0.067
 54043.193 16.913 0.087
 54043.206 16.729 0.067
 54045.262 16.907 0.107
 54045.280 16.866 0.111
 54047.280 16.938 0.097
 54053.248 17.093 0.080
 54053.261 17.104 0.092
 54057.232 16.899 0.079
 54057.245 16.761 0.079
 54070.246 17.404 0.106
 54074.234 17.446 0.103
 54074.248 17.740 0.158
 54078.201 17.765 0.127
 54078.219 17.756 0.187
