LSQ14fms 0.0779 3.7492 -51.2110
filter B
 56927.139 19.102 0.016
 56928.143 19.086 0.014
 56929.165 19.064 0.017
 56930.114 19.038 0.016
 56931.161 19.130 0.019
 56932.176 19.140 0.022
 56936.125 19.410 0.047
 56937.157 19.498 0.048
 56938.168 19.653 0.122
 56938.170 19.631 0.098
 56939.166 19.696 0.065
 56940.141 19.809 0.059
 56941.127 19.934 0.052
 56942.132 20.073 0.034
 56943.092 20.209 0.027
 56944.108 20.368 0.027
 56948.071 20.797 0.032
 56949.140 20.854 0.039
 56950.112 21.079 0.039
 56955.214 21.492 0.078
 56958.159 21.835 0.098
filter V
 56927.143 18.986 0.016
 56928.139 18.965 0.015
 56929.161 18.926 0.014
 56930.119 18.875 0.016
 56931.157 18.938 0.016
 56932.181 18.917 0.017
 56936.121 19.032 0.033
 56937.152 19.018 0.030
 56938.165 19.096 0.057
 56938.166 19.081 0.056
 56939.163 19.146 0.038
 56940.138 19.282 0.039
 56941.131 19.286 0.038
 56942.137 19.345 0.025
 56943.088 19.441 0.023
 56944.113 19.555 0.020
 56948.064 19.878 0.020
 56949.133 19.969 0.024
 56950.105 20.051 0.026
 56955.219 20.419 0.037
 56958.154 20.719 0.059
filter r
 56927.147 18.893 0.014
 56928.131 18.863 0.015
 56929.152 18.786 0.013
 56930.123 18.761 0.013
 56931.153 18.781 0.016
 56932.185 18.778 0.014
 56936.117 18.803 0.018
 56937.148 18.835 0.023
 56938.158 18.887 0.048
 56938.160 18.979 0.049
 56939.158 18.969 0.028
 56940.132 18.978 0.026
 56941.135 19.095 0.027
 56942.141 19.130 0.021
 56943.081 19.170 0.019
 56944.117 19.235 0.017
 56948.053 19.471 0.022
 56949.117 19.526 0.022
 56950.096 19.499 0.020
 56955.201 19.761 0.025
 56958.146 20.025 0.030
filter i
 56927.151 19.184 0.026
 56928.134 19.143 0.020
 56929.157 19.190 0.026
 56930.126 19.162 0.021
 56931.149 19.206 0.026
 56932.188 19.177 0.019
 56936.113 19.290 0.032
 56937.145 19.289 0.034
 56938.161 19.309 0.064
 56938.162 19.372 0.064
 56939.160 19.482 0.050
 56940.135 19.505 0.037
 56941.137 19.646 0.049
 56942.143 19.547 0.033
 56943.084 19.569 0.031
 56944.120 19.573 0.029
 56948.057 19.580 0.031
 56949.121 19.547 0.026
 56949.126 19.513 0.023
 56950.100 19.529 0.027
 56955.204 19.554 0.033
 56958.150 19.710 0.034
filter Y
 56929.191 19.111 0.071
 56931.190 19.145 0.054
 56943.986 19.231 0.077
filter J
 56931.222 19.409 0.107
