comb,m1,m2,m3,Tmax,Tmax_err,st,st_err,gmax,gmax_err,rmax,rmax_err,Jmax,Jmax_err,Hmax,Hmax_err
0,-8.182417013325903,,,54883.281250346656,0.0721003636671952,0.8819423212606851,0.00786274582726034,14.651674024759457,0.006977027649968398,14.708050658433198,0.0064910163504555635,15.022360909042794,0.05465938255404975,15.251386991833465,0.07453923570026219
1,2.739161042532942,,,54883.28100562414,0.5321178173463472,0.8819545822454107,0.007864481675676313,14.651708970044105,0.006978336218086755,14.70794132008763,0.0064922906443714385,14.98086695588823,0.10580787544084701,15.206253294004842,0.09718725246476478
2,3.738096227411006,,,54883.28090377259,0.5321252792276373,0.8819603105590058,0.007865233915903698,14.651724883268384,0.0069789098479120446,14.707891298037154,0.006492851631169546,14.958658504776883,0.11625746770857236,15.172679408078054,0.09852282430010863
3,5.739917569349927,,,54883.280582430656,0.53214930672633,0.8819733028827722,0.0078676203763232,14.651764843249277,0.006980726759020343,14.707762366596809,0.006494602918867973,14.94387039471189,0.13200121502259254,15.210440494761531,0.10610907298379381
4,7.751596133704879,,,54883.28040386628,0.5321621258007854,0.8819806203430047,0.007868892916709733,14.651787270066228,0.006981692327070899,14.707691094603147,0.006495536039567671,14.934050129028899,0.15027155598432587,15.216942678153904,0.10103665342026416
5,9.760002188522776,,,54883.280664478145,0.5321423453078737,0.881966281844237,0.021606901141031754,14.651747295841727,0.006980168040879911,14.707818122181074,0.0064940496091140144,14.99173596006399,0.19523371433683506,15.26526495768384,0.10942090994269668
6,17.732688430231065,,,54883.27964490311,0.14221956050067866,0.8820171870481547,0.021614647259319594,14.651893755132068,0.0069860925430448645,14.70735216962562,0.006499803051293315,14.847772092187896,0.20192194664503182,15.14100536613646,0.0822171762495684
