comb,m1,m2,m3,Tmax,Tmax_err,st,st_err,gmax,gmax_err,rmax,rmax_err,Jmax,Jmax_err,Hmax,Hmax_err
1,-3.2244991110600267,,,647.0194991110601,0.06818246690797684,0.8510346645531865,0.006562312667696155,14.856968230443648,0.009338524507921142,15.059705534691432,0.006503806957302973,,,15.69973958808484,0.04324946426125997
2,1.775493025075093,,,647.019506974925,0.5281804387770381,0.8510343108564368,0.006562124665172531,14.856965375948642,0.00933826492167909,15.059711851865718,0.0065036210424058065,,,15.674972127801952,0.09739763902796693
3,6.7954518242056565,,,647.0195481757944,0.5281687670024301,0.8510352960911306,0.006561028535496447,14.856942053459818,0.009336709246434798,15.05977454142376,0.006502544674795039,,,15.682745898443361,0.08746760899542458
4,10.7454142073218,,,647.0195857926782,0.13815603623070558,0.851037175855426,0.006559822476075488,14.856916984607453,0.0093349821709573,15.059844013753214,0.006501360508631478,,,15.701953098905324,0.08073841403865264
5,13.815430592121743,,,647.0195694078784,0.13816066781381986,0.8510367675129251,0.006560257291567103,14.856926303304697,0.009335599763510227,15.059818918035456,0.006501787984020197,,,15.687073539222787,0.08355144405655852
6,21.78553002887702,,,647.0194699711229,0.1381901555499998,0.8510337770516615,0.00656303406613666,14.856984957661659,0.009339550137628314,15.059659961849546,0.006504513870334091,,,15.54026677244773,0.07387199529314374
7,30.815494308813186,,,647.0195056911869,0.13818176484328715,0.8510338084997937,0.006562254122013462,14.85696790074246,0.009338455930978899,15.059704056224287,0.006503747807003152,,,15.665255490393644,0.10175924092780941
8,33.765348618968005,,,647.019651381032,0.13813596737580208,0.8510394347878002,0.006557930087424765,14.856877199911732,0.009332285946267473,15.059952445725475,0.006499502598753644,,,15.910001303094006,0.13076799524773505
9,34.81541418248992,,,647.0195858175102,0.13815718531091317,0.8510366133088119,0.006559936138500591,14.856919116625805,0.009335152254036581,15.059837076325714,0.006501472015630063,,,15.790903381904206,0.11115983639836452
