comb,m1,m2,m3,Tmax,Tmax_err,st,st_err,gmax,gmax_err,rmax,rmax_err,Jmax,Jmax_err,Hmax,Hmax_err
0,-12.36415535526612,,,56395.52159979972,0.04572766023969165,0.8648036431070445,0.004823942463111272,16.523874553481633,0.007549428162943374,16.676236265871623,0.005023390587729519,,,17.932303008350562,0.24247759216274772
1,-11.378965168485593,,,56395.52129850182,0.04571867679472795,0.8648027327025891,0.004822712145200587,16.523984997720618,0.007547346503081385,16.67595193632125,0.00502193895443179,,,17.756755372312046,0.17314539519638283
2,-10.424644096674456,,,56395.52075520779,0.045702237860904826,0.8648012697576468,0.004820470497599735,16.524185205241675,0.007543549306623236,16.675437586642033,0.005019291799583753,,,17.497152733735774,0.1129865726386016
3,3.5496722649768344,,,56395.520327735016,0.04568990211290925,0.8648000758603942,0.004818769198320157,16.524342802393992,0.007540659465537122,16.67503227827281,0.005017274763814879,,,17.27999814674,0.0987853821491647
4,4.517472177903983,,,56395.520384964955,0.04569121976226136,0.8647996937427193,0.004818952818836476,16.524323697476486,0.007540978751204157,16.675078223483972,0.005017497168728668,,,17.27900074900391,0.10489312125406984
