PTF10bjs 195.29673  53.815969  0.030027 0.000006
PTF10mwb 259.45792  40.881111  0.031300 0.000060
PTF10ufj 36.41308   24.76489   0.077000 0.005000
SN2004eo 308.225792 9.928528   0.015700 0.000002
SN2004ey 327.282542 0.444222   0.015800 0.000002
SN2005M  144.384833 23.200750  0.022000 0.000047
SN2005el 77.953000  5.194278   0.014900 0.000017
SN2005eq 47.205458  -7.033250  0.029000 0.000010
SN2005hc 29.199750  -0.213722  0.045900 0.000011
SN2005iq 359.635417 -18.709167 0.034000 0.000123
SN2005kc 338.530583 5.568417   0.015100 0.000002
SN2005ki 160.117583 9.202333   0.019200 0.000008
SN2006X  185.724958 15.809194  0.005200 0.000003
SN2006ax 171.014417 -12.291444 0.016700 0.000019
SN2006et 10.690917  -23.558444 0.022600 0.000150
SN2006hx 18.488792  0.371667   0.045500 0.000011
SN2006kf 55.460333  8.156944   0.021251 0.000180
SN2006le 75.174958  62.255278  0.017432 0.000023
SN2006lf 69.622875  44.033750  0.013189 0.000017
SN2007S  150.130250 4.407278   0.013900 0.000017
SN2007ai 243.223917 -21.630194 0.031700 0.000137
SN2007as 141.900042 -80.177556 0.017600 0.000460
SN2007bc 169.810708 20.809028  0.020800 0.000007
SN2007bd 127.888667 -1.199444  0.030900 0.000100
SN2007bm 171.259583 -9.798278  0.006200 0.000002
SN2007ca 202.774208 -15.101833 0.014100 0.000010
SN2007le 354.701708 -6.522583  0.006700 0.000002
SN2007on 54.712083  -35.575000 0.006500 0.000013
SN2008bc 144.630125 -63.973778 0.015100 0.000120
SN2008bf 181.012083 20.245167  0.023500 0.000010
SN2008fp 109.135833 -29.325500 0.005700 0.000067
SN2008gl 20.228417  4.805306   0.034000 0.000117
SN2008gp 50.753042  1.361889   0.033400 0.000071
SN2008hj 1.007958   -11.168750 0.037900 0.000130
SN2008hv 136.891917 3.392250   0.012600 0.000005
SN2009aa 170.926167 -22.270694 0.027300 0.000047
SN2009ab 64.151625  2.764167   0.011200 0.000020
SN2009ad 75.889083  6.659917   0.028400 0.000005
SN2009ag 107.920042 -26.685083 0.008600 0.000007
SN2009al 162.841958 8.578528   0.022100 0.000080
SN2009bv 196.83529  35.784389  0.036675 0.000018
SN2010ag 255.97346  31.501722  0.033791 0.000011
SN2010ai 194.85012  27.996417  0.018369 0.000001
SN2010ju 85.483292  18.497500  0.015244 0.000013
SN2010kg 70.035     7.35       0.016632 0.000007
SN2011ao 178.46263  33.362861  0.010694 0.000002
